year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Beef,meat,USA,アメリカ合衆国,215108,MT,44.4,215108960,JPY_1000,44.4,AgriChart_Dummy
2010,Beef,meat,AUS,オーストラリア,163198,MT,33.7,163198040,JPY_1000,33.7,AgriChart_Dummy
2010,Beef,meat,NZL,ニュージーランド,59204,MT,12.2,59204000,JPY_1000,12.2,AgriChart_Dummy
2010,Beef,meat,CAN,カナダ,32365,MT,6.7,32365072,JPY_1000,6.7,AgriChart_Dummy
2010,Beef,meat,MEX,メキシコ,14346,MT,3.0,14346391,JPY_1000,3.0,AgriChart_Dummy
2011,Beef,meat,USA,アメリカ合衆国,218953,MT,44.2,218953856,JPY_1000,44.2,AgriChart_Dummy
2011,Beef,meat,AUS,オーストラリア,167007,MT,33.7,167007344,JPY_1000,33.7,AgriChart_Dummy
2011,Beef,meat,NZL,ニュージーランド,60936,MT,12.3,60936800,JPY_1000,12.3,AgriChart_Dummy
2011,Beef,meat,CAN,カナダ,33520,MT,6.8,33520979,JPY_1000,6.8,AgriChart_Dummy
2011,Beef,meat,MEX,メキシコ,14959,MT,3.0,14959731,JPY_1000,3.0,AgriChart_Dummy
2012,Beef,meat,USA,アメリカ合衆国,222659,MT,44.0,222659360,JPY_1000,44.0,AgriChart_Dummy
2012,Beef,meat,AUS,オーストラリア,170761,MT,33.7,170761640,JPY_1000,33.7,AgriChart_Dummy
2012,Beef,meat,NZL,ニュージーランド,62669,MT,12.4,62669600,JPY_1000,12.4,AgriChart_Dummy
2012,Beef,meat,CAN,カナダ,34688,MT,6.9,34688752,JPY_1000,6.9,AgriChart_Dummy
2012,Beef,meat,MEX,メキシコ,15584,MT,3.1,15584072,JPY_1000,3.1,AgriChart_Dummy
2013,Beef,meat,USA,アメリカ合衆国,226225,MT,43.7,226225471,JPY_1000,43.7,AgriChart_Dummy
2013,Beef,meat,AUS,オーストラリア,174460,MT,33.7,174460927,JPY_1000,33.7,AgriChart_Dummy
2013,Beef,meat,NZL,ニュージーランド,64402,MT,12.5,64402399,JPY_1000,12.5,AgriChart_Dummy
2013,Beef,meat,CAN,カナダ,35868,MT,6.9,35868390,JPY_1000,6.9,AgriChart_Dummy
2013,Beef,meat,MEX,メキシコ,16219,MT,3.1,16219414,JPY_1000,3.1,AgriChart_Dummy
2014,Beef,meat,USA,アメリカ合衆国,229652,MT,43.5,229652191,JPY_1000,43.5,AgriChart_Dummy
2014,Beef,meat,AUS,オーストラリア,178105,MT,33.7,178105208,JPY_1000,33.7,AgriChart_Dummy
2014,Beef,meat,NZL,ニュージーランド,66135,MT,12.5,66135199,JPY_1000,12.5,AgriChart_Dummy
2014,Beef,meat,CAN,カナダ,37059,MT,7.0,37059894,JPY_1000,7.0,AgriChart_Dummy
2014,Beef,meat,MEX,メキシコ,16865,MT,3.2,16865758,JPY_1000,3.2,AgriChart_Dummy
2015,Beef,meat,USA,アメリカ合衆国,232939,MT,43.3,232939520,JPY_1000,43.3,AgriChart_Dummy
2015,Beef,meat,AUS,オーストラリア,181694,MT,33.8,181694480,JPY_1000,33.8,AgriChart_Dummy
2015,Beef,meat,NZL,ニュージーランド,67868,MT,12.6,67868000,JPY_1000,12.6,AgriChart_Dummy
2015,Beef,meat,CAN,カナダ,38263,MT,7.1,38263264,JPY_1000,7.1,AgriChart_Dummy
2015,Beef,meat,MEX,メキシコ,17523,MT,3.3,17523104,JPY_1000,3.3,AgriChart_Dummy
2016,Beef,meat,USA,アメリカ合衆国,236087,MT,43.0,236087456,JPY_1000,43.0,AgriChart_Dummy
2016,Beef,meat,AUS,オーストラリア,185228,MT,33.8,185228744,JPY_1000,33.8,AgriChart_Dummy
2016,Beef,meat,NZL,ニュージーランド,69600,MT,12.7,69600800,JPY_1000,12.7,AgriChart_Dummy
2016,Beef,meat,CAN,カナダ,39478,MT,7.2,39478499,JPY_1000,7.2,AgriChart_Dummy
2016,Beef,meat,MEX,メキシコ,18191,MT,3.3,18191451,JPY_1000,3.3,AgriChart_Dummy
2017,Beef,meat,USA,アメリカ合衆国,239096,MT,42.8,239096000,JPY_1000,42.8,AgriChart_Dummy
2017,Beef,meat,AUS,オーストラリア,188708,MT,33.8,188708000,JPY_1000,33.8,AgriChart_Dummy
2017,Beef,meat,NZL,ニュージーランド,71333,MT,12.8,71333600,JPY_1000,12.8,AgriChart_Dummy
2017,Beef,meat,CAN,カナダ,40705,MT,7.3,40705600,JPY_1000,7.3,AgriChart_Dummy
2017,Beef,meat,MEX,メキシコ,18870,MT,3.4,18870800,JPY_1000,3.4,AgriChart_Dummy
2018,Beef,meat,USA,アメリカ合衆国,241965,MT,42.5,241965152,JPY_1000,42.5,AgriChart_Dummy
2018,Beef,meat,AUS,オーストラリア,192132,MT,33.8,192132248,JPY_1000,33.8,AgriChart_Dummy
2018,Beef,meat,NZL,ニュージーランド,73066,MT,12.8,73066400,JPY_1000,12.8,AgriChart_Dummy
