year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Chicken,meat,BRA,ブラジル,366218,MT,80.9,94221280,JPY_1000,80.9,AgriChart_Dummy
2010,Chicken,meat,THA,タイ,52633,MT,11.6,13585596,JPY_1000,11.7,AgriChart_Dummy
2010,Chicken,meat,CHL,チリ,19844,MT,4.4,5116800,JPY_1000,4.4,AgriChart_Dummy
2010,Chicken,meat,CHN,中華人民共和国,8326,MT,1.8,2144578,JPY_1000,1.8,AgriChart_Dummy
2010,Chicken,meat,FRA,フランス,5423,MT,1.2,1397083,JPY_1000,1.2,AgriChart_Dummy
2011,Chicken,meat,BRA,ブラジル,372764,MT,80.8,95905408,JPY_1000,80.8,AgriChart_Dummy
2011,Chicken,meat,THA,タイ,53862,MT,11.7,13902705,JPY_1000,11.7,AgriChart_Dummy
2011,Chicken,meat,CHL,チリ,20424,MT,4.4,5266560,JPY_1000,4.4,AgriChart_Dummy
2011,Chicken,meat,CHN,中華人民共和国,8624,MT,1.9,2221171,JPY_1000,1.9,AgriChart_Dummy
2011,Chicken,meat,FRA,フランス,5654,MT,1.2,1456811,JPY_1000,1.2,AgriChart_Dummy
2012,Chicken,meat,BRA,ブラジル,379072,MT,80.7,97528480,JPY_1000,80.6,AgriChart_Dummy
2012,Chicken,meat,THA,タイ,55072,MT,11.7,14215236,JPY_1000,11.8,AgriChart_Dummy
2012,Chicken,meat,CHL,チリ,21005,MT,4.5,5416320,JPY_1000,4.5,AgriChart_Dummy
2012,Chicken,meat,CHN,中華人民共和国,8924,MT,1.9,2298550,JPY_1000,1.9,AgriChart_Dummy
2012,Chicken,meat,FRA,フランス,5890,MT,1.3,1517611,JPY_1000,1.3,AgriChart_Dummy
2013,Chicken,meat,BRA,ブラジル,385144,MT,80.5,99090495,JPY_1000,80.5,AgriChart_Dummy
2013,Chicken,meat,THA,タイ,56265,MT,11.8,14523187,JPY_1000,11.8,AgriChart_Dummy
