year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Pork,meat,USA,アメリカ合衆国,290663,MT,40.7,139554160,JPY_1000,40.6,AgriChart_Dummy
2010,Pork,meat,CAN,カナダ,163198,MT,22.8,78437592,JPY_1000,22.8,AgriChart_Dummy
2010,Pork,meat,DNK,デンマーク,114800,MT,16.1,55186000,JPY_1000,16.1,AgriChart_Dummy
2010,Pork,meat,ESP,スペイン,83269,MT,11.6,40063560,JPY_1000,11.7,AgriChart_Dummy
2010,Pork,meat,MEX,メキシコ,62868,MT,8.8,30119911,JPY_1000,8.8,AgriChart_Dummy
2011,Pork,meat,USA,アメリカ合衆国,295859,MT,40.4,142048576,JPY_1000,40.4,AgriChart_Dummy
2011,Pork,meat,CAN,カナダ,167007,MT,22.8,80268451,JPY_1000,22.8,AgriChart_Dummy
2011,Pork,meat,DNK,デンマーク,118160,MT,16.1,56801200,JPY_1000,16.1,AgriChart_Dummy
2011,Pork,meat,ESP,スペイン,86243,MT,11.8,41494416,JPY_1000,11.8,AgriChart_Dummy
2011,Pork,meat,MEX,メキシコ,65556,MT,8.9,31407603,JPY_1000,8.9,AgriChart_Dummy
2012,Pork,meat,USA,アメリカ合衆国,300866,MT,40.1,144452560,JPY_1000,40.1,AgriChart_Dummy
2012,Pork,meat,CAN,カナダ,170761,MT,22.7,82072872,JPY_1000,22.8,AgriChart_Dummy
2012,Pork,meat,DNK,デンマーク,121520,MT,16.2,58416400,JPY_1000,16.2,AgriChart_Dummy
2012,Pork,meat,ESP,スペイン,89247,MT,11.9,42939960,JPY_1000,11.9,AgriChart_Dummy
2012,Pork,meat,MEX,メキシコ,68292,MT,9.1,32718392,JPY_1000,9.1,AgriChart_Dummy
2013,Pork,meat,USA,アメリカ合衆国,305684,MT,39.8,146766111,JPY_1000,39.8,AgriChart_Dummy
2013,Pork,meat,CAN,カナダ,174460,MT,22.7,83850854,JPY_1000,22.7,AgriChart_Dummy
2013,Pork,meat,DNK,デンマーク,124879,MT,16.3,60031599,JPY_1000,16.3,AgriChart_Dummy
2013,Pork,meat,ESP,スペイン,92282,MT,12.0,44400191,JPY_1000,12.0,AgriChart_Dummy
2013,Pork,meat,MEX,メキシコ,71076,MT,9.3,34052278,JPY_1000,9.2,AgriChart_Dummy
2014,Pork,meat,USA,アメリカ合衆国,310315,MT,39.5,148989232,JPY_1000,39.5,AgriChart_Dummy
2014,Pork,meat,CAN,カナダ,178105,MT,22.7,85602398,JPY_1000,22.7,AgriChart_Dummy
2014,Pork,meat,DNK,デンマーク,128239,MT,16.3,61646799,JPY_1000,16.3,AgriChart_Dummy
2014,Pork,meat,ESP,スペイン,95348,MT,12.1,45875111,JPY_1000,12.2,AgriChart_Dummy
2014,Pork,meat,MEX,メキシコ,73909,MT,9.4,35409262,JPY_1000,9.4,AgriChart_Dummy
2015,Pork,meat,USA,アメリカ合衆国,314757,MT,39.2,151121920,JPY_1000,39.2,AgriChart_Dummy
2015,Pork,meat,CAN,カナダ,181694,MT,22.6,87327504,JPY_1000,22.6,AgriChart_Dummy
2015,Pork,meat,DNK,デンマーク,131600,MT,16.4,63262000,JPY_1000,16.4,AgriChart_Dummy
2015,Pork,meat,ESP,スペイン,98444,MT,12.3,47364720,JPY_1000,12.3,AgriChart_Dummy
2015,Pork,meat,MEX,メキシコ,76789,MT,9.6,36789344,JPY_1000,9.5,AgriChart_Dummy
2016,Pork,meat,USA,アメリカ合衆国,319010,MT,38.9,153164176,JPY_1000,38.9,AgriChart_Dummy
2016,Pork,meat,CAN,カナダ,185228,MT,22.6,89026171,JPY_1000,22.6,AgriChart_Dummy
2016,Pork,meat,DNK,デンマーク,134960,MT,16.4,64877200,JPY_1000,16.5,AgriChart_Dummy
2016,Pork,meat,ESP,スペイン,101570,MT,12.4,48869016,JPY_1000,12.4,AgriChart_Dummy
2016,Pork,meat,MEX,メキシコ,79718,MT,9.7,38192523,JPY_1000,9.7,AgriChart_Dummy
2017,Pork,meat,USA,アメリカ合衆国,323076,MT,38.6,155116000,JPY_1000,38.6,AgriChart_Dummy
2017,Pork,meat,CAN,カナダ,188708,MT,22.5,90698400,JPY_1000,22.5,AgriChart_Dummy
2017,Pork,meat,DNK,デンマーク,138320,MT,16.5,66492400,JPY_1000,16.5,AgriChart_Dummy
2017,Pork,meat,ESP,スペイン,104728,MT,12.5,50388000,JPY_1000,12.5,AgriChart_Dummy
2017,Pork,meat,MEX,メキシコ,82695,MT,9.9,39618800,JPY_1000,9.8,AgriChart_Dummy
2018,Pork,meat,USA,アメリカ合衆国,326952,MT,38.3,156977392,JPY_1000,38.2,AgriChart_Dummy
2018,Pork,meat,CAN,カナダ,192132,MT,22.5,92344190,JPY_1000,22.5,AgriChart_Dummy
2018,Pork,meat,DNK,デンマーク,141680,MT,16.6,68107600,JPY_1000,16.6,AgriChart_Dummy
2018,Pork,meat,ESP,スペイン,107915,MT,12.6,51921672,JPY_1000,12.7,AgriChart_Dummy
2018,Pork,meat,MEX,メキシコ,85720,MT,10.0,41068174,JPY_1000,10.0,AgriChart_Dummy
2019,Pork,meat,USA,アメリカ合衆国,330641,MT,38.0,158748352,JPY_1000,37.9,AgriChart_Dummy
