year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Rice,grain,USA,アメリカ合衆国,366218,MT,50.3,215108960,JPY_1000,50.3,AgriChart_Dummy
2010,Rice,grain,AUS,オーストラリア,163198,MT,22.4,95697280,JPY_1000,22.4,AgriChart_Dummy
2010,Rice,grain,THA,タイ,86920,MT,11.9,51250000,JPY_1000,12.0,AgriChart_Dummy
2010,Rice,grain,VNM,ベトナム,65358,MT,9.0,38413884,JPY_1000,9.0,AgriChart_Dummy
2010,Rice,grain,CHN,中華人民共和国,45968,MT,6.3,26965208,JPY_1000,6.3,AgriChart_Dummy
2011,Rice,grain,USA,アメリカ合衆国,372764,MT,50.0,218953856,JPY_1000,50.0,AgriChart_Dummy
2011,Rice,grain,AUS,オーストラリア,167007,MT,22.4,97931008,JPY_1000,22.4,AgriChart_Dummy
2011,Rice,grain,THA,タイ,89464,MT,12.0,52750000,JPY_1000,12.1,AgriChart_Dummy
2011,Rice,grain,VNM,ベトナム,67692,MT,9.1,39785822,JPY_1000,9.1,AgriChart_Dummy
2011,Rice,grain,CHN,中華人民共和国,47933,MT,6.4,28118028,JPY_1000,6.4,AgriChart_Dummy
2012,Rice,grain,USA,アメリカ合衆国,379072,MT,49.8,222659360,JPY_1000,49.8,AgriChart_Dummy
2012,Rice,grain,AUS,オーストラリア,170761,MT,22.4,100132480,JPY_1000,22.4,AgriChart_Dummy
2012,Rice,grain,THA,タイ,92008,MT,12.1,54250000,JPY_1000,12.1,AgriChart_Dummy
2012,Rice,grain,VNM,ベトナム,70051,MT,9.2,41171844,JPY_1000,9.2,AgriChart_Dummy
2012,Rice,grain,CHN,中華人民共和国,49934,MT,6.6,29291528,JPY_1000,6.5,AgriChart_Dummy
2013,Rice,grain,USA,アメリカ合衆国,385144,MT,49.5,226225471,JPY_1000,49.5,AgriChart_Dummy
2013,Rice,grain,AUS,オーストラリア,174460,MT,22.4,102301695,JPY_1000,22.4,AgriChart_Dummy
2013,Rice,grain,THA,タイ,94551,MT,12.1,55749999,JPY_1000,12.2,AgriChart_Dummy
2013,Rice,grain,VNM,ベトナム,72433,MT,9.3,42571948,JPY_1000,9.3,AgriChart_Dummy
2013,Rice,grain,CHN,中華人民共和国,51970,MT,6.7,30485705,JPY_1000,6.7,AgriChart_Dummy
2014,Rice,grain,USA,アメリカ合衆国,390978,MT,49.2,229652191,JPY_1000,49.2,AgriChart_Dummy
2014,Rice,grain,AUS,オーストラリア,178105,MT,22.4,104438655,JPY_1000,22.4,AgriChart_Dummy
2014,Rice,grain,THA,タイ,97095,MT,12.2,57249999,JPY_1000,12.3,AgriChart_Dummy
2014,Rice,grain,VNM,ベトナム,74839,MT,9.4,43986136,JPY_1000,9.4,AgriChart_Dummy
2014,Rice,grain,CHN,中華人民共和国,54041,MT,6.8,31700561,JPY_1000,6.8,AgriChart_Dummy
2015,Rice,grain,USA,アメリカ合衆国,396574,MT,48.9,232939520,JPY_1000,48.9,AgriChart_Dummy
2015,Rice,grain,AUS,オーストラリア,181694,MT,22.4,106543360,JPY_1000,22.4,AgriChart_Dummy
2015,Rice,grain,THA,タイ,99640,MT,12.3,58750000,JPY_1000,12.3,AgriChart_Dummy
2015,Rice,grain,VNM,ベトナム,77269,MT,9.5,45414408,JPY_1000,9.5,AgriChart_Dummy
2015,Rice,grain,CHN,中華人民共和国,56147,MT,6.9,32936096,JPY_1000,6.9,AgriChart_Dummy
2016,Rice,grain,USA,アメリカ合衆国,401934,MT,48.6,236087456,JPY_1000,48.6,AgriChart_Dummy
2016,Rice,grain,AUS,オーストラリア,185228,MT,22.4,108615808,JPY_1000,22.3,AgriChart_Dummy
2016,Rice,grain,THA,タイ,102184,MT,12.4,60250000,JPY_1000,12.4,AgriChart_Dummy
2016,Rice,grain,VNM,ベトナム,79723,MT,9.6,46856762,JPY_1000,9.6,AgriChart_Dummy
2016,Rice,grain,CHN,中華人民共和国,58288,MT,7.0,34192308,JPY_1000,7.0,AgriChart_Dummy
2017,Rice,grain,USA,アメリカ合衆国,407056,MT,48.3,239096000,JPY_1000,48.3,AgriChart_Dummy
2017,Rice,grain,AUS,オーストラリア,188708,MT,22.4,110656000,JPY_1000,22.3,AgriChart_Dummy
2017,Rice,grain,THA,タイ,104728,MT,12.4,61750000,JPY_1000,12.5,AgriChart_Dummy
2017,Rice,grain,VNM,ベトナム,82201,MT,9.7,48313200,JPY_1000,9.8,AgriChart_Dummy
2017,Rice,grain,CHN,中華人民共和国,60465,MT,7.2,35469200,JPY_1000,7.2,AgriChart_Dummy
2018,Rice,grain,USA,アメリカ合衆国,411940,MT,48.0,241965152,JPY_1000,48.0,AgriChart_Dummy
2018,Rice,grain,AUS,オーストラリア,192132,MT,22.4,112663936,JPY_1000,22.3,AgriChart_Dummy
2018,Rice,grain,THA,タイ,107272,MT,12.5,63250000,JPY_1000,12.5,AgriChart_Dummy
2018,Rice,grain,VNM,ベトナム,84703,MT,9.9,49783720,JPY_1000,9.9,AgriChart_Dummy
2018,Rice,grain,CHN,中華人民共和国,62677,MT,7.3,36766769,JPY_1000,7.3,AgriChart_Dummy
2019,Rice,grain,USA,アメリカ合衆国,416588,MT,47.7,244694912,JPY_1000,47.7,AgriChart_Dummy
2019,Rice,grain,AUS,オーストラリア,195501,MT,22.4,114639616,JPY_1000,22.3,AgriChart_Dummy
2019,Rice,grain,THA,タイ,109816,MT,12.6,64750000,JPY_1000,12.6,AgriChart_Dummy
2019,Rice,grain,VNM,ベトナム,87229,MT,10.0,51268324,JPY_1000,10.0,AgriChart_Dummy
2019,Rice,grain,CHN,中華人民共和国,64924,MT,7.4,38085017,JPY_1000,7.4,AgriChart_Dummy
