year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Sugarcane,sugar,THA,タイ,5173281,MT,71.7,94221280,JPY_1000,71.6,AgriChart_Dummy
2010,Sugarcane,sugar,AUS,オーストラリア,1341470,MT,18.6,24522428,JPY_1000,18.6,AgriChart_Dummy
2010,Sugarcane,sugar,ZAF,南アフリカ共和国,435420,MT,6.0,7945799,JPY_1000,6.0,AgriChart_Dummy
2010,Sugarcane,sugar,PHL,フィリピン,190105,MT,2.6,3472175,JPY_1000,2.6,AgriChart_Dummy
2010,Sugarcane,sugar,FJI,フィジー,79618,MT,1.1,1457172,JPY_1000,1.1,AgriChart_Dummy
2011,Sugarcane,sugar,THA,タイ,5265749,MT,71.5,95905408,JPY_1000,71.4,AgriChart_Dummy
2011,Sugarcane,sugar,AUS,オーストラリア,1372782,MT,18.6,25094820,JPY_1000,18.7,AgriChart_Dummy
2011,Sugarcane,sugar,ZAF,南アフリカ共和国,448164,MT,6.1,8178360,JPY_1000,6.1,AgriChart_Dummy
2011,Sugarcane,sugar,PHL,フィリピン,196895,MT,2.7,3596182,JPY_1000,2.7,AgriChart_Dummy
2011,Sugarcane,sugar,FJI,フィジー,83022,MT,1.1,1519470,JPY_1000,1.1,AgriChart_Dummy
2012,Sugarcane,sugar,THA,タイ,5354865,MT,71.3,97528480,JPY_1000,71.2,AgriChart_Dummy
2012,Sugarcane,sugar,AUS,オーストラリア,1403642,MT,18.7,25658948,JPY_1000,18.7,AgriChart_Dummy
2012,Sugarcane,sugar,ZAF,南アフリカ共和国,460908,MT,6.1,8410920,JPY_1000,6.1,AgriChart_Dummy
2012,Sugarcane,sugar,PHL,フィリピン,203754,MT,2.7,3721463,JPY_1000,2.7,AgriChart_Dummy
2012,Sugarcane,sugar,FJI,フィジー,86487,MT,1.2,1582884,JPY_1000,1.2,AgriChart_Dummy
2013,Sugarcane,sugar,THA,タイ,5440629,MT,71.1,99090495,JPY_1000,71.1,AgriChart_Dummy
2013,Sugarcane,sugar,AUS,オーストラリア,1434050,MT,18.7,26214809,JPY_1000,18.8,AgriChart_Dummy
2013,Sugarcane,sugar,ZAF,南アフリカ共和国,473651,MT,6.2,8643480,JPY_1000,6.2,AgriChart_Dummy
2013,Sugarcane,sugar,PHL,フィリピン,210683,MT,2.8,3848016,JPY_1000,2.8,AgriChart_Dummy
2013,Sugarcane,sugar,FJI,フィジー,90013,MT,1.2,1647416,JPY_1000,1.2,AgriChart_Dummy
2014,Sugarcane,sugar,THA,タイ,5523040,MT,70.9,100591455,JPY_1000,70.9,AgriChart_Dummy
2014,Sugarcane,sugar,AUS,オーストラリア,1464006,MT,18.8,26762405,JPY_1000,18.9,AgriChart_Dummy
2014,Sugarcane,sugar,ZAF,南アフリカ共和国,486395,MT,6.2,8876040,JPY_1000,6.3,AgriChart_Dummy
2014,Sugarcane,sugar,PHL,フィリピン,217681,MT,2.8,3975843,JPY_1000,2.8,AgriChart_Dummy
2014,Sugarcane,sugar,FJI,フィジー,93600,MT,1.2,1713066,JPY_1000,1.2,AgriChart_Dummy
2015,Sugarcane,sugar,THA,タイ,5602099,MT,70.8,102031360,JPY_1000,70.7,AgriChart_Dummy
2015,Sugarcane,sugar,AUS,オーストラリア,1493509,MT,18.9,27301736,JPY_1000,18.9,AgriChart_Dummy
2015,Sugarcane,sugar,ZAF,南アフリカ共和国,499140,MT,6.3,9108600,JPY_1000,6.3,AgriChart_Dummy
2015,Sugarcane,sugar,PHL,フィリピン,224750,MT,2.8,4104942,JPY_1000,2.8,AgriChart_Dummy
2015,Sugarcane,sugar,FJI,フィジー,97248,MT,1.2,1779833,JPY_1000,1.2,AgriChart_Dummy
2016,Sugarcane,sugar,THA,タイ,5677805,MT,70.6,103410208,JPY_1000,70.5,AgriChart_Dummy
2016,Sugarcane,sugar,AUS,オーストラリア,1522560,MT,18.9,27832800,JPY_1000,19.0,AgriChart_Dummy
2016,Sugarcane,sugar,ZAF,南アフリカ共和国,511884,MT,6.4,9341160,JPY_1000,6.4,AgriChart_Dummy
2016,Sugarcane,sugar,PHL,フィリピン,231888,MT,2.9,4235314,JPY_1000,2.9,AgriChart_Dummy
2016,Sugarcane,sugar,FJI,フィジー,100957,MT,1.3,1847718,JPY_1000,1.3,AgriChart_Dummy
2017,Sugarcane,sugar,THA,タイ,5750160,MT,70.4,104728000,JPY_1000,70.3,AgriChart_Dummy
2017,Sugarcane,sugar,AUS,オーストラリア,1551160,MT,19.0,28355600,JPY_1000,19.0,AgriChart_Dummy
2017,Sugarcane,sugar,ZAF,南アフリカ共和国,524628,MT,6.4,9573720,JPY_1000,6.4,AgriChart_Dummy
2017,Sugarcane,sugar,PHL,フィリピン,239096,MT,2.9,4366960,JPY_1000,2.9,AgriChart_Dummy
2017,Sugarcane,sugar,FJI,フィジー,104728,MT,1.3,1916720,JPY_1000,1.3,AgriChart_Dummy
2018,Sugarcane,sugar,THA,タイ,5819161,MT,70.2,105984736,JPY_1000,70.1,AgriChart_Dummy
2018,Sugarcane,sugar,AUS,オーストラリア,1579306,MT,19.0,28870133,JPY_1000,19.1,AgriChart_Dummy
2018,Sugarcane,sugar,ZAF,南アフリカ共和国,537372,MT,6.5,9806280,JPY_1000,6.5,AgriChart_Dummy
2018,Sugarcane,sugar,PHL,フィリピン,246373,MT,3.0,4499878,JPY_1000,3.0,AgriChart_Dummy
2018,Sugarcane,sugar,FJI,フィジー,108559,MT,1.3,1986839,JPY_1000,1.3,AgriChart_Dummy
2019,Sugarcane,sugar,THA,タイ,5884811,MT,70.0,107180416,JPY_1000,69.9,AgriChart_Dummy
2019,Sugarcane,sugar,AUS,オーストラリア,1607001,MT,19.1,29376401,JPY_1000,19.2,AgriChart_Dummy
2019,Sugarcane,sugar,ZAF,南アフリカ共和国,550116,MT,6.5,10038840,JPY_1000,6.5,AgriChart_Dummy
2019,Sugarcane,sugar,PHL,フィリピン,253720,MT,3.0,4634069,JPY_1000,3.0,AgriChart_Dummy
2019,Sugarcane,sugar,FJI,フィジー,112451,MT,1.3,2058076,JPY_1000,1.3,AgriChart_Dummy
2020,Sugarcane,sugar,THA,タイ,5947108,MT,69.8,108315040,JPY_1000,69.7,AgriChart_Dummy
2020,Sugarcane,sugar,AUS,オーストラリア,1634244,MT,19.2,29874404,JPY_1000,19.2,AgriChart_Dummy
2020,Sugarcane,sugar,ZAF,南アフリカ共和国,562860,MT,6.6,10271400,JPY_1000,6.6,AgriChart_Dummy
2020,Sugarcane,sugar,PHL,フィリピン,261137,MT,3.1,4769533,JPY_1000,3.1,AgriChart_Dummy
2020,Sugarcane,sugar,FJI,フィジー,116404,MT,1.4,2130430,JPY_1000,1.4,AgriChart_Dummy
2021,Sugarcane,sugar,THA,タイ,6006053,MT,69.6,109388607,JPY_1000,69.5,AgriChart_Dummy
2021,Sugarcane,sugar,AUS,オーストラリア,1661034,MT,19.2,30364140,JPY_1000,19.3,AgriChart_Dummy
2021,Sugarcane,sugar,ZAF,南アフリカ共和国,575603,MT,6.7,10503959,JPY_1000,6.7,AgriChart_Dummy
2021,Sugarcane,sugar,PHL,フィリピン,268623,MT,3.1,4906270,JPY_1000,3.1,AgriChart_Dummy
2021,Sugarcane,sugar,FJI,フィジー,120419,MT,1.4,2203902,JPY_1000,1.4,AgriChart_Dummy
