year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Tuna,fish,TWN,台湾,94221,MT,30.3,94221280,JPY_1000,30.3,AgriChart_Dummy
2010,Tuna,fish,KOR,大韓民国,71516,MT,23.0,71516628,JPY_1000,23.0,AgriChart_Dummy
2010,Tuna,fish,IDN,インドネシア,59368,MT,19.1,59368000,JPY_1000,19.1,AgriChart_Dummy
2010,Tuna,fish,CHN,中華人民共和国,48390,MT,15.6,48390496,JPY_1000,15.6,AgriChart_Dummy
2010,Tuna,fish,ESP,スペイン,37330,MT,12.0,37330664,JPY_1000,12.0,AgriChart_Dummy
2011,Tuna,fish,TWN,台湾,95905,MT,30.0,95905408,JPY_1000,30.0,AgriChart_Dummy
2011,Tuna,fish,KOR,大韓民国,73185,MT,22.9,73185940,JPY_1000,22.9,AgriChart_Dummy
2011,Tuna,fish,IDN,インドネシア,61105,MT,19.1,61105600,JPY_1000,19.1,AgriChart_Dummy
2011,Tuna,fish,CHN,中華人民共和国,50118,MT,15.7,50118745,JPY_1000,15.7,AgriChart_Dummy
2011,Tuna,fish,ESP,スペイン,38926,MT,12.2,38926630,JPY_1000,12.2,AgriChart_Dummy
2012,Tuna,fish,TWN,台湾,97528,MT,29.8,97528480,JPY_1000,29.8,AgriChart_Dummy
2012,Tuna,fish,KOR,大韓民国,74831,MT,22.8,74831148,JPY_1000,22.8,AgriChart_Dummy
2012,Tuna,fish,IDN,インドネシア,62843,MT,19.2,62843200,JPY_1000,19.2,AgriChart_Dummy
2012,Tuna,fish,CHN,中華人民共和国,51864,MT,15.8,51864736,JPY_1000,15.8,AgriChart_Dummy
2012,Tuna,fish,ESP,スペイン,40551,MT,12.4,40551224,JPY_1000,12.4,AgriChart_Dummy
2013,Tuna,fish,TWN,台湾,99090,MT,29.5,99090495,JPY_1000,29.5,AgriChart_Dummy
2013,Tuna,fish,KOR,大韓民国,76452,MT,22.8,76452249,JPY_1000,22.8,AgriChart_Dummy
2013,Tuna,fish,IDN,インドネシア,64580,MT,19.2,64580799,JPY_1000,19.2,AgriChart_Dummy
2013,Tuna,fish,CHN,中華人民共和国,53628,MT,16.0,53628467,JPY_1000,16.0,AgriChart_Dummy
2013,Tuna,fish,ESP,スペイン,42204,MT,12.6,42204444,JPY_1000,12.6,AgriChart_Dummy
2014,Tuna,fish,TWN,台湾,100591,MT,29.2,100591455,JPY_1000,29.2,AgriChart_Dummy
2014,Tuna,fish,KOR,大韓民国,78049,MT,22.7,78049245,JPY_1000,22.7,AgriChart_Dummy
2014,Tuna,fish,IDN,インドネシア,66318,MT,19.3,66318399,JPY_1000,19.3,AgriChart_Dummy
2014,Tuna,fish,CHN,中華人民共和国,55409,MT,16.1,55409939,JPY_1000,16.1,AgriChart_Dummy
2014,Tuna,fish,ESP,スペイン,43886,MT,12.7,43886292,JPY_1000,12.7,AgriChart_Dummy
2015,Tuna,fish,TWN,台湾,102031,MT,28.9,102031360,JPY_1000,28.9,AgriChart_Dummy
