year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Beef,meat,USA,アメリカ合衆国,11111000,MT,37.8,11111000000,JPY_1000,37.8,AgriChart_Dummy
2010,Beef,meat,BRA,ブラジル,8715288,MT,29.6,8715288000,JPY_1000,29.6,AgriChart_Dummy
2010,Beef,meat,CHN,中華人民共和国,5494000,MT,18.7,5494000000,JPY_1000,18.7,AgriChart_Dummy
2010,Beef,meat,ARG,アルゼンチン,2513792,MT,8.5,2513792000,JPY_1000,8.5,AgriChart_Dummy
2010,Beef,meat,AUS,オーストラリア,1577352,MT,5.4,1577352000,JPY_1000,5.4,AgriChart_Dummy
2011,Beef,meat,USA,アメリカ合衆国,11309600,MT,37.5,11309600000,JPY_1000,37.5,AgriChart_Dummy
2011,Beef,meat,BRA,ブラジル,8918716,MT,29.6,8918716800,JPY_1000,29.6,AgriChart_Dummy
2011,Beef,meat,CHN,中華人民共和国,5654800,MT,18.8,5654800000,JPY_1000,18.8,AgriChart_Dummy
2011,Beef,meat,ARG,アルゼンチン,2603571,MT,8.6,2603571200,JPY_1000,8.6,AgriChart_Dummy
2011,Beef,meat,AUS,オーストラリア,1644787,MT,5.5,1644787200,JPY_1000,5.5,AgriChart_Dummy
2012,Beef,meat,USA,アメリカ合衆国,11501000,MT,37.3,11501000000,JPY_1000,37.3,AgriChart_Dummy
2012,Beef,meat,BRA,ブラジル,9119208,MT,29.6,9119208000,JPY_1000,29.6,AgriChart_Dummy
2012,Beef,meat,CHN,中華人民共和国,5815600,MT,18.9,5815600000,JPY_1000,18.9,AgriChart_Dummy
2012,Beef,meat,ARG,アルゼンチン,2694272,MT,8.7,2694272000,JPY_1000,8.7,AgriChart_Dummy
2012,Beef,meat,AUS,オーストラリア,1713432,MT,5.6,1713432000,JPY_1000,5.6,AgriChart_Dummy
2013,Beef,meat,USA,アメリカ合衆国,11685199,MT,37.0,11685199999,JPY_1000,37.0,AgriChart_Dummy
2013,Beef,meat,BRA,ブラジル,9316761,MT,29.5,9316761599,JPY_1000,29.5,AgriChart_Dummy
2013,Beef,meat,CHN,中華人民共和国,5976399,MT,18.9,5976399999,JPY_1000,18.9,AgriChart_Dummy
2013,Beef,meat,ARG,アルゼンチン,2785894,MT,8.8,2785894399,JPY_1000,8.8,AgriChart_Dummy
2013,Beef,meat,AUS,オーストラリア,1783286,MT,5.7,1783286399,JPY_1000,5.7,AgriChart_Dummy
2014,Beef,meat,USA,アメリカ合衆国,11862199,MT,36.8,11862200000,JPY_1000,36.8,AgriChart_Dummy
