year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Chicken,meat,USA,アメリカ合衆国,18666480,MT,32.7,18666480000,JPY_1000,32.7,AgriChart_Dummy
2010,Chicken,meat,CHN,中華人民共和国,12816600,MT,22.4,12816600000,JPY_1000,22.4,AgriChart_Dummy
2010,Chicken,meat,BRA,ブラジル,11890000,MT,20.8,11890000000,JPY_1000,20.8,AgriChart_Dummy
2010,Chicken,meat,EU,EU,10212280,MT,17.9,10212280000,JPY_1000,17.9,AgriChart_Dummy
2010,Chicken,meat,IND,インド,3530264,MT,6.2,3530264000,JPY_1000,6.2,AgriChart_Dummy
2011,Chicken,meat,USA,アメリカ合衆国,19000128,MT,32.4,19000128000,JPY_1000,32.4,AgriChart_Dummy
2011,Chicken,meat,CHN,中華人民共和国,13115760,MT,22.4,13115760000,JPY_1000,22.4,AgriChart_Dummy
2011,Chicken,meat,BRA,ブラジル,12238000,MT,20.9,12238000000,JPY_1000,20.9,AgriChart_Dummy
2011,Chicken,meat,EU,EU,10577008,MT,18.0,10577008000,JPY_1000,18.0,AgriChart_Dummy
2011,Chicken,meat,IND,インド,3681190,MT,6.3,3681190399,JPY_1000,6.3,AgriChart_Dummy
2012,Chicken,meat,USA,アメリカ合衆国,19321680,MT,32.1,19321680000,JPY_1000,32.1,AgriChart_Dummy
2012,Chicken,meat,CHN,中華人民共和国,13410600,MT,22.3,13410600000,JPY_1000,22.3,AgriChart_Dummy
2012,Chicken,meat,BRA,ブラジル,12586000,MT,20.9,12586000000,JPY_1000,20.9,AgriChart_Dummy
2012,Chicken,meat,EU,EU,10945480,MT,18.2,10945480000,JPY_1000,18.2,AgriChart_Dummy
2012,Chicken,meat,IND,インド,3834824,MT,6.4,3834824000,JPY_1000,6.4,AgriChart_Dummy
2013,Chicken,meat,USA,アメリカ合衆国,19631135,MT,31.9,19631135999,JPY_1000,31.9,AgriChart_Dummy
2013,Chicken,meat,CHN,中華人民共和国,13701119,MT,22.3,13701119999,JPY_1000,22.3,AgriChart_Dummy
2013,Chicken,meat,BRA,ブラジル,12933999,MT,21.0,12933999999,JPY_1000,21.0,AgriChart_Dummy
