year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Cocoa,beverage,CIV,コートジボワール,1955536,MT,51.9,853324800,JPY_1000,51.9,AgriChart_Dummy
2010,Cocoa,beverage,GHA,ガーナ,726274,MT,19.3,317851680,JPY_1000,19.3,AgriChart_Dummy
2010,Cocoa,beverage,IDN,インドネシア,606800,MT,16.1,265679999,JPY_1000,16.1,AgriChart_Dummy
2010,Cocoa,beverage,ECU,エクアドル,259234,MT,6.9,113120640,JPY_1000,6.9,AgriChart_Dummy
2010,Cocoa,beverage,CMR,カメルーン,217824,MT,5.8,95392240,JPY_1000,5.8,AgriChart_Dummy
2011,Cocoa,beverage,CIV,コートジボワール,1990489,MT,51.6,868577280,JPY_1000,51.6,AgriChart_Dummy
2011,Cocoa,beverage,GHA,ガーナ,743226,MT,19.3,325270848,JPY_1000,19.3,AgriChart_Dummy
2011,Cocoa,beverage,IDN,インドネシア,624560,MT,16.2,273456000,JPY_1000,16.2,AgriChart_Dummy
2011,Cocoa,beverage,ECU,エクアドル,268493,MT,7.0,117160704,JPY_1000,7.0,AgriChart_Dummy
2011,Cocoa,beverage,CMR,カメルーン,227137,MT,5.9,99470464,JPY_1000,5.9,AgriChart_Dummy
2012,Cocoa,beverage,CIV,コートジボワール,2024176,MT,51.4,883276800,JPY_1000,51.3,AgriChart_Dummy
2012,Cocoa,beverage,GHA,ガーナ,759934,MT,19.3,332582880,JPY_1000,19.3,AgriChart_Dummy
2012,Cocoa,beverage,IDN,インドネシア,642320,MT,16.3,281232000,JPY_1000,16.3,AgriChart_Dummy
2012,Cocoa,beverage,ECU,エクアドル,277846,MT,7.1,121242240,JPY_1000,7.0,AgriChart_Dummy
2012,Cocoa,beverage,CMR,カメルーン,236616,MT,6.0,103621840,JPY_1000,6.0,AgriChart_Dummy
2013,Cocoa,beverage,CIV,コートジボワール,2056595,MT,51.1,897423359,JPY_1000,51.0,AgriChart_Dummy
2013,Cocoa,beverage,GHA,ガーナ,776396,MT,19.3,339787775,JPY_1000,19.3,AgriChart_Dummy
2013,Cocoa,beverage,IDN,インドネシア,660079,MT,16.4,289007999,JPY_1000,16.4,AgriChart_Dummy
2013,Cocoa,beverage,ECU,エクアドル,287295,MT,7.1,125365247,JPY_1000,7.1,AgriChart_Dummy
2013,Cocoa,beverage,CMR,カメルーン,246263,MT,6.1,107846367,JPY_1000,6.1,AgriChart_Dummy
2014,Cocoa,beverage,CIV,コートジボワール,2087747,MT,50.8,911016959,JPY_1000,50.7,AgriChart_Dummy
2014,Cocoa,beverage,GHA,ガーナ,792614,MT,19.3,346885536,JPY_1000,19.3,AgriChart_Dummy
