year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Cotton,fiber,CHN,中華人民共和国,5422168,MT,35.7,2711084000,JPY_1000,35.7,AgriChart_Dummy
2010,Cotton,fiber,IND,インド,4357644,MT,28.7,2178822000,JPY_1000,28.7,AgriChart_Dummy
2010,Cotton,fiber,USA,アメリカ合衆国,2788000,MT,18.3,1394000000,JPY_1000,18.3,AgriChart_Dummy
2010,Cotton,fiber,BRA,ブラジル,1806788,MT,11.9,903394000,JPY_1000,11.9,AgriChart_Dummy
2010,Cotton,fiber,AUS,オーストラリア,826232,MT,5.4,413116000,JPY_1000,5.4,AgriChart_Dummy
2011,Cotton,fiber,CHN,中華人民共和国,5519084,MT,35.4,2759542400,JPY_1000,35.4,AgriChart_Dummy
2011,Cotton,fiber,IND,インド,4459358,MT,28.6,2229679200,JPY_1000,28.6,AgriChart_Dummy
2011,Cotton,fiber,USA,アメリカ合衆国,2869600,MT,18.4,1434800000,JPY_1000,18.4,AgriChart_Dummy
2011,Cotton,fiber,BRA,ブラジル,1871316,MT,12.0,935658400,JPY_1000,12.0,AgriChart_Dummy
2011,Cotton,fiber,AUS,オーストラリア,861555,MT,5.5,430777600,JPY_1000,5.5,AgriChart_Dummy
2012,Cotton,fiber,CHN,中華人民共和国,5612488,MT,35.2,2806244000,JPY_1000,35.2,AgriChart_Dummy
2012,Cotton,fiber,IND,インド,4559604,MT,28.6,2279802000,JPY_1000,28.6,AgriChart_Dummy
2012,Cotton,fiber,USA,アメリカ合衆国,2951200,MT,18.5,1475600000,JPY_1000,18.5,AgriChart_Dummy
2012,Cotton,fiber,BRA,ブラジル,1936508,MT,12.1,968254000,JPY_1000,12.1,AgriChart_Dummy
2012,Cotton,fiber,AUS,オーストラリア,897512,MT,5.6,448756000,JPY_1000,5.6,AgriChart_Dummy
2013,Cotton,fiber,CHN,中華人民共和国,5702377,MT,34.9,2851188799,JPY_1000,34.9,AgriChart_Dummy
2013,Cotton,fiber,IND,インド,4658380,MT,28.5,2329190399,JPY_1000,28.5,AgriChart_Dummy
2013,Cotton,fiber,USA,アメリカ合衆国,3032799,MT,18.6,1516399999,JPY_1000,18.6,AgriChart_Dummy
2013,Cotton,fiber,BRA,ブラジル,2002361,MT,12.3,1001180799,JPY_1000,12.3,AgriChart_Dummy
2013,Cotton,fiber,AUS,オーストラリア,934102,MT,5.7,467051199,JPY_1000,5.7,AgriChart_Dummy
2014,Cotton,fiber,CHN,中華人民共和国,5788753,MT,34.7,2894376800,JPY_1000,34.7,AgriChart_Dummy
2014,Cotton,fiber,IND,インド,4755688,MT,28.5,2377844400,JPY_1000,28.5,AgriChart_Dummy
2014,Cotton,fiber,USA,アメリカ合衆国,3114399,MT,18.7,1557199999,JPY_1000,18.7,AgriChart_Dummy
2014,Cotton,fiber,BRA,ブラジル,2068877,MT,12.4,1034438799,JPY_1000,12.4,AgriChart_Dummy
2014,Cotton,fiber,AUS,オーストラリア,971326,MT,5.8,485663199,JPY_1000,5.8,AgriChart_Dummy
2015,Cotton,fiber,CHN,中華人民共和国,5871616,MT,34.4,2935808000,JPY_1000,34.4,AgriChart_Dummy
2015,Cotton,fiber,IND,インド,4851528,MT,28.4,2425764000,JPY_1000,28.4,AgriChart_Dummy
2015,Cotton,fiber,USA,アメリカ合衆国,3196000,MT,18.7,1598000000,JPY_1000,18.7,AgriChart_Dummy
2015,Cotton,fiber,BRA,ブラジル,2136056,MT,12.5,1068028000,JPY_1000,12.5,AgriChart_Dummy
2015,Cotton,fiber,AUS,オーストラリア,1009183,MT,5.9,504592000,JPY_1000,5.9,AgriChart_Dummy
2016,Cotton,fiber,CHN,中華人民共和国,5950964,MT,34.1,2975482400,JPY_1000,34.1,AgriChart_Dummy
2016,Cotton,fiber,IND,インド,4945898,MT,28.4,2472949200,JPY_1000,28.4,AgriChart_Dummy
2016,Cotton,fiber,USA,アメリカ合衆国,3277600,MT,18.8,1638800000,JPY_1000,18.8,AgriChart_Dummy
2016,Cotton,fiber,BRA,ブラジル,2203896,MT,12.6,1101948400,JPY_1000,12.6,AgriChart_Dummy
2016,Cotton,fiber,AUS,オーストラリア,1047675,MT,6.0,523837600,JPY_1000,6.0,AgriChart_Dummy
2017,Cotton,fiber,CHN,中華人民共和国,6026800,MT,33.9,3013400000,JPY_1000,33.9,AgriChart_Dummy
2017,Cotton,fiber,IND,インド,5038800,MT,28.3,2519400000,JPY_1000,28.3,AgriChart_Dummy
2017,Cotton,fiber,USA,アメリカ合衆国,3359200,MT,18.9,1679600000,JPY_1000,18.9,AgriChart_Dummy
2017,Cotton,fiber,BRA,ブラジル,2272400,MT,12.8,1136200000,JPY_1000,12.8,AgriChart_Dummy
2017,Cotton,fiber,AUS,オーストラリア,1086800,MT,6.1,543400000,JPY_1000,6.1,AgriChart_Dummy
2018,Cotton,fiber,CHN,中華人民共和国,6099121,MT,33.6,3049560800,JPY_1000,33.6,AgriChart_Dummy
2018,Cotton,fiber,IND,インド,5130232,MT,28.3,2565116400,JPY_1000,28.3,AgriChart_Dummy
2018,Cotton,fiber,USA,アメリカ合衆国,3440800,MT,19.0,1720400000,JPY_1000,19.0,AgriChart_Dummy
2018,Cotton,fiber,BRA,ブラジル,2341565,MT,12.9,1170782800,JPY_1000,12.9,AgriChart_Dummy
2018,Cotton,fiber,AUS,オーストラリア,1126558,MT,6.2,563279200,JPY_1000,6.2,AgriChart_Dummy
2019,Cotton,fiber,CHN,中華人民共和国,6167929,MT,33.4,3083964800,JPY_1000,33.4,AgriChart_Dummy
2019,Cotton,fiber,IND,インド,5220196,MT,28.2,2610098400,JPY_1000,28.2,AgriChart_Dummy
2019,Cotton,fiber,USA,アメリカ合衆国,3522400,MT,19.1,1761200000,JPY_1000,19.1,AgriChart_Dummy
