year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Salmon,fish,NOR,ノルウェー,1244432,MT,48.1,12444320000,JPY_1000,48.1,AgriChart_Dummy
2010,Salmon,fish,CHL,チリ,939884,MT,36.4,9398840000,JPY_1000,36.4,AgriChart_Dummy
2010,Salmon,fish,CHN,中華人民共和国,147600,MT,5.7,1476000000,JPY_1000,5.7,AgriChart_Dummy
2010,Salmon,fish,CAN,カナダ,133545,MT,5.2,1335452000,JPY_1000,5.2,AgriChart_Dummy
2010,Salmon,fish,GBR,英国,120179,MT,4.6,1201792000,JPY_1000,4.6,AgriChart_Dummy
2011,Salmon,fish,NOR,ノルウェー,1266675,MT,47.9,12666752000,JPY_1000,47.9,AgriChart_Dummy
2011,Salmon,fish,CHL,チリ,961822,MT,36.4,9618224000,JPY_1000,36.4,AgriChart_Dummy
2011,Salmon,fish,CHN,中華人民共和国,151920,MT,5.7,1519200000,JPY_1000,5.7,AgriChart_Dummy
2011,Salmon,fish,CAN,カナダ,138314,MT,5.2,1383147200,JPY_1000,5.2,AgriChart_Dummy
2011,Salmon,fish,GBR,英国,125317,MT,4.7,1253171200,JPY_1000,4.7,AgriChart_Dummy
2012,Salmon,fish,NOR,ノルウェー,1288112,MT,47.7,12881120000,JPY_1000,47.7,AgriChart_Dummy
2012,Salmon,fish,CHL,チリ,983444,MT,36.4,9834440000,JPY_1000,36.4,AgriChart_Dummy
2012,Salmon,fish,CHN,中華人民共和国,156240,MT,5.8,1562400000,JPY_1000,5.8,AgriChart_Dummy
2012,Salmon,fish,CAN,カナダ,143133,MT,5.3,1431332000,JPY_1000,5.3,AgriChart_Dummy
2012,Salmon,fish,GBR,英国,130547,MT,4.8,1305472000,JPY_1000,4.8,AgriChart_Dummy
2013,Salmon,fish,NOR,ノルウェー,1308742,MT,47.5,13087423999,JPY_1000,47.5,AgriChart_Dummy
2013,Salmon,fish,CHL,チリ,1004748,MT,36.4,10047487999,JPY_1000,36.4,AgriChart_Dummy
2013,Salmon,fish,CHN,中華人民共和国,160559,MT,5.8,1605599999,JPY_1000,5.8,AgriChart_Dummy
2013,Salmon,fish,CAN,カナダ,148000,MT,5.4,1480006399,JPY_1000,5.4,AgriChart_Dummy
2013,Salmon,fish,GBR,英国,135869,MT,4.9,1358694399,JPY_1000,4.9,AgriChart_Dummy
2014,Salmon,fish,NOR,ノルウェー,1328566,MT,47.2,13285663999,JPY_1000,47.2,AgriChart_Dummy
2014,Salmon,fish,CHL,チリ,1025736,MT,36.5,10257368000,JPY_1000,36.5,AgriChart_Dummy
2014,Salmon,fish,CHN,中華人民共和国,164880,MT,5.9,1648799999,JPY_1000,5.9,AgriChart_Dummy
2014,Salmon,fish,CAN,カナダ,152917,MT,5.4,1529170399,JPY_1000,5.4,AgriChart_Dummy
2014,Salmon,fish,GBR,英国,141283,MT,5.0,1412838399,JPY_1000,5.0,AgriChart_Dummy
2015,Salmon,fish,NOR,ノルウェー,1347584,MT,47.0,13475840000,JPY_1000,47.0,AgriChart_Dummy
2015,Salmon,fish,CHL,チリ,1046407,MT,36.5,10464080000,JPY_1000,36.5,AgriChart_Dummy
