year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Shrimp,fish,CHN,中華人民共和国,1599984,MT,40.4,15999840000,JPY_1000,40.4,AgriChart_Dummy
2010,Shrimp,fish,IDN,インドネシア,786084,MT,19.8,7860848000,JPY_1000,19.8,AgriChart_Dummy
2010,Shrimp,fish,ECU,エクアドル,475600,MT,12.0,4756000000,JPY_1000,12.0,AgriChart_Dummy
2010,Shrimp,fish,IND,インド,557747,MT,14.1,5577476000,JPY_1000,14.1,AgriChart_Dummy
2010,Shrimp,fish,VNM,ベトナム,540806,MT,13.7,5408064000,JPY_1000,13.7,AgriChart_Dummy
2011,Shrimp,fish,CHN,中華人民共和国,1628582,MT,40.1,16285824000,JPY_1000,40.1,AgriChart_Dummy
2011,Shrimp,fish,IDN,インドネシア,804433,MT,19.8,8044332800,JPY_1000,19.8,AgriChart_Dummy
2011,Shrimp,fish,ECU,エクアドル,489520,MT,12.0,4895200000,JPY_1000,12.0,AgriChart_Dummy
2011,Shrimp,fish,IND,インド,577667,MT,14.2,5776673600,JPY_1000,14.2,AgriChart_Dummy
2011,Shrimp,fish,VNM,ベトナム,563927,MT,13.9,5639270400,JPY_1000,13.9,AgriChart_Dummy
2012,Shrimp,fish,CHN,中華人民共和国,1656144,MT,39.7,16561440000,JPY_1000,39.7,AgriChart_Dummy
2012,Shrimp,fish,IDN,インドネシア,822516,MT,19.7,8225168000,JPY_1000,19.7,AgriChart_Dummy
2012,Shrimp,fish,ECU,エクアドル,503440,MT,12.1,5034400000,JPY_1000,12.1,AgriChart_Dummy
2012,Shrimp,fish,IND,インド,597791,MT,14.3,5977916000,JPY_1000,14.3,AgriChart_Dummy
2012,Shrimp,fish,VNM,ベトナム,587462,MT,14.1,5874624000,JPY_1000,14.1,AgriChart_Dummy
2013,Shrimp,fish,CHN,中華人民共和国,1682668,MT,39.4,16826687999,JPY_1000,39.4,AgriChart_Dummy
2013,Shrimp,fish,IDN,インドネシア,840335,MT,19.7,8403353599,JPY_1000,19.7,AgriChart_Dummy
2013,Shrimp,fish,ECU,エクアドル,517359,MT,12.1,5173599999,JPY_1000,12.1,AgriChart_Dummy
2013,Shrimp,fish,IND,インド,618120,MT,14.5,6181203199,JPY_1000,14.5,AgriChart_Dummy
2013,Shrimp,fish,VNM,ベトナム,611412,MT,14.3,6114124799,JPY_1000,14.3,AgriChart_Dummy
2014,Shrimp,fish,CHN,中華人民共和国,1708156,MT,39.1,17081567999,JPY_1000,39.1,AgriChart_Dummy
2014,Shrimp,fish,IDN,インドネシア,857888,MT,19.6,8578889599,JPY_1000,19.6,AgriChart_Dummy
2014,Shrimp,fish,ECU,エクアドル,531280,MT,12.2,5312800000,JPY_1000,12.2,AgriChart_Dummy
2014,Shrimp,fish,IND,インド,638653,MT,14.6,6386535199,JPY_1000,14.6,AgriChart_Dummy
2014,Shrimp,fish,VNM,ベトナム,635777,MT,14.5,6357772799,JPY_1000,14.5,AgriChart_Dummy
2015,Shrimp,fish,CHN,中華人民共和国,1732608,MT,38.7,17326080000,JPY_1000,38.7,AgriChart_Dummy
2015,Shrimp,fish,IDN,インドネシア,875177,MT,19.6,8751776000,JPY_1000,19.6,AgriChart_Dummy
2015,Shrimp,fish,ECU,エクアドル,545200,MT,12.2,5452000000,JPY_1000,12.2,AgriChart_Dummy
2015,Shrimp,fish,IND,インド,659391,MT,14.7,6593912000,JPY_1000,14.7,AgriChart_Dummy
2015,Shrimp,fish,VNM,ベトナム,660556,MT,14.8,6605568000,JPY_1000,14.8,AgriChart_Dummy
2016,Shrimp,fish,CHN,中華人民共和国,1756022,MT,38.4,17560224000,JPY_1000,38.4,AgriChart_Dummy
2016,Shrimp,fish,IDN,インドネシア,892201,MT,19.5,8922012800,JPY_1000,19.5,AgriChart_Dummy
2016,Shrimp,fish,ECU,エクアドル,559120,MT,12.2,5591200000,JPY_1000,12.2,AgriChart_Dummy
