year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Soybean,bean,BRA,ブラジル,133332000,MT,44.7,13333200000,JPY_1000,44.7,AgriChart_Dummy
2010,Soybean,bean,USA,アメリカ合衆国,102532800,MT,34.4,10253280000,JPY_1000,34.4,AgriChart_Dummy
2010,Soybean,bean,ARG,アルゼンチン,39360000,MT,13.2,3936000000,JPY_1000,13.2,AgriChart_Dummy
2010,Soybean,bean,CHN,中華人民共和国,14140080,MT,4.7,1414008000,JPY_1000,4.7,AgriChart_Dummy
2010,Soybean,bean,IND,インド,9013440,MT,3.0,901344000,JPY_1000,3.0,AgriChart_Dummy
2011,Soybean,bean,BRA,ブラジル,135715200,MT,44.5,13571520000,JPY_1000,44.5,AgriChart_Dummy
2011,Soybean,bean,USA,アメリカ合衆国,104926080,MT,34.4,10492608000,JPY_1000,34.4,AgriChart_Dummy
2011,Soybean,bean,ARG,アルゼンチン,40512000,MT,13.3,4051200000,JPY_1000,13.3,AgriChart_Dummy
2011,Soybean,bean,CHN,中華人民共和国,14645088,MT,4.8,1464508800,JPY_1000,4.8,AgriChart_Dummy
2011,Soybean,bean,IND,インド,9398784,MT,3.1,939878399,JPY_1000,3.1,AgriChart_Dummy
2012,Soybean,bean,BRA,ブラジル,138012000,MT,44.2,13801200000,JPY_1000,44.2,AgriChart_Dummy
2012,Soybean,bean,USA,アメリカ合衆国,107284800,MT,34.4,10728480000,JPY_1000,34.4,AgriChart_Dummy
2012,Soybean,bean,ARG,アルゼンチン,41664000,MT,13.4,4166400000,JPY_1000,13.4,AgriChart_Dummy
2012,Soybean,bean,CHN,中華人民共和国,15155280,MT,4.9,1515528000,JPY_1000,4.9,AgriChart_Dummy
2012,Soybean,bean,IND,インド,9791040,MT,3.1,979104000,JPY_1000,3.1,AgriChart_Dummy
2013,Soybean,bean,BRA,ブラジル,140222400,MT,44.0,14022239999,JPY_1000,44.0,AgriChart_Dummy
2013,Soybean,bean,USA,アメリカ合衆国,109608959,MT,34.4,10960895999,JPY_1000,34.4,AgriChart_Dummy
2013,Soybean,bean,ARG,アルゼンチン,42815999,MT,13.4,4281599999,JPY_1000,13.4,AgriChart_Dummy
