year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Tuna,fish,IDN,インドネシア,1066656,MT,48.0,10666560000,JPY_1000,48.0,AgriChart_Dummy
2010,Tuna,fish,JPN,日本,384498,MT,17.3,3844980000,JPY_1000,17.3,AgriChart_Dummy
2010,Tuna,fish,PHL,フィリピン,311600,MT,14.0,3116000000,JPY_1000,14.0,AgriChart_Dummy
2010,Tuna,fish,PNG,パプアニューギニア,251379,MT,11.3,2513792000,JPY_1000,11.3,AgriChart_Dummy
2010,Tuna,fish,ESP,スペイン,210313,MT,9.5,2103136000,JPY_1000,9.5,AgriChart_Dummy
2011,Tuna,fish,IDN,インドネシア,1085721,MT,47.6,10857216000,JPY_1000,47.6,AgriChart_Dummy
2011,Tuna,fish,JPN,日本,393472,MT,17.3,3934728000,JPY_1000,17.3,AgriChart_Dummy
2011,Tuna,fish,PHL,フィリピン,320720,MT,14.1,3207200000,JPY_1000,14.1,AgriChart_Dummy
2011,Tuna,fish,PNG,パプアニューギニア,260357,MT,11.4,2603571200,JPY_1000,11.4,AgriChart_Dummy
2011,Tuna,fish,ESP,スペイン,219304,MT,9.6,2193049600,JPY_1000,9.6,AgriChart_Dummy
2012,Tuna,fish,IDN,インドネシア,1104096,MT,47.3,11040960000,JPY_1000,47.3,AgriChart_Dummy
2012,Tuna,fish,JPN,日本,402318,MT,17.2,4023180000,JPY_1000,17.2,AgriChart_Dummy
2012,Tuna,fish,PHL,フィリピン,329840,MT,14.1,3298400000,JPY_1000,14.1,AgriChart_Dummy
2012,Tuna,fish,PNG,パプアニューギニア,269427,MT,11.5,2694272000,JPY_1000,11.5,AgriChart_Dummy
2012,Tuna,fish,ESP,スペイン,228457,MT,9.8,2284576000,JPY_1000,9.8,AgriChart_Dummy
2013,Tuna,fish,IDN,インドネシア,1121779,MT,47.0,11217791999,JPY_1000,47.0,AgriChart_Dummy
2013,Tuna,fish,JPN,日本,411033,MT,17.2,4110335999,JPY_1000,17.2,AgriChart_Dummy
2013,Tuna,fish,PHL,フィリピン,338959,MT,14.2,3389599999,JPY_1000,14.2,AgriChart_Dummy
2013,Tuna,fish,PNG,パプアニューギニア,278589,MT,11.7,2785894399,JPY_1000,11.7,AgriChart_Dummy
2013,Tuna,fish,ESP,スペイン,237771,MT,10.0,2377715199,JPY_1000,10.0,AgriChart_Dummy
2014,Tuna,fish,IDN,インドネシア,1138771,MT,46.6,11387712000,JPY_1000,46.6,AgriChart_Dummy
2014,Tuna,fish,JPN,日本,419619,MT,17.2,4196195999,JPY_1000,17.2,AgriChart_Dummy
2014,Tuna,fish,PHL,フィリピン,348080,MT,14.3,3480799999,JPY_1000,14.3,AgriChart_Dummy
2014,Tuna,fish,PNG,パプアニューギニア,287843,MT,11.8,2878438399,JPY_1000,11.8,AgriChart_Dummy
2014,Tuna,fish,ESP,スペイン,247246,MT,10.1,2472467200,JPY_1000,10.1,AgriChart_Dummy
2015,Tuna,fish,IDN,インドネシア,1155072,MT,46.3,11550720000,JPY_1000,46.3,AgriChart_Dummy
2015,Tuna,fish,JPN,日本,428076,MT,17.2,4280759999,JPY_1000,17.2,AgriChart_Dummy
2015,Tuna,fish,PHL,フィリピン,357200,MT,14.3,3572000000,JPY_1000,14.3,AgriChart_Dummy
2015,Tuna,fish,PNG,パプアニューギニア,297190,MT,11.9,2971904000,JPY_1000,11.9,AgriChart_Dummy
2015,Tuna,fish,ESP,スペイン,256883,MT,10.3,2568832000,JPY_1000,10.3,AgriChart_Dummy
2016,Tuna,fish,IDN,インドネシア,1170681,MT,46.0,11706816000,JPY_1000,46.0,AgriChart_Dummy
2016,Tuna,fish,JPN,日本,436402,MT,17.1,4364028000,JPY_1000,17.1,AgriChart_Dummy
2016,Tuna,fish,PHL,フィリピン,366320,MT,14.4,3663200000,JPY_1000,14.4,AgriChart_Dummy
2016,Tuna,fish,PNG,パプアニューギニア,306629,MT,12.0,3066291200,JPY_1000,12.0,AgriChart_Dummy
2016,Tuna,fish,ESP,スペイン,266680,MT,10.5,2666809600,JPY_1000,10.5,AgriChart_Dummy
2017,Tuna,fish,IDN,インドネシア,1185600,MT,45.6,11856000000,JPY_1000,45.6,AgriChart_Dummy
2017,Tuna,fish,JPN,日本,444600,MT,17.1,4446000000,JPY_1000,17.1,AgriChart_Dummy
2017,Tuna,fish,PHL,フィリピン,375440,MT,14.4,3754400000,JPY_1000,14.4,AgriChart_Dummy
2017,Tuna,fish,PNG,パプアニューギニア,316160,MT,12.2,3161600000,JPY_1000,12.2,AgriChart_Dummy
2017,Tuna,fish,ESP,スペイン,276640,MT,10.6,2766400000,JPY_1000,10.6,AgriChart_Dummy
2018,Tuna,fish,IDN,インドネシア,1199827,MT,45.3,11998272000,JPY_1000,45.3,AgriChart_Dummy
2018,Tuna,fish,JPN,日本,452667,MT,17.1,4526676000,JPY_1000,17.1,AgriChart_Dummy
2018,Tuna,fish,PHL,フィリピン,384560,MT,14.5,3845600000,JPY_1000,14.5,AgriChart_Dummy
2018,Tuna,fish,PNG,パプアニューギニア,325783,MT,12.3,3257830400,JPY_1000,12.3,AgriChart_Dummy
2018,Tuna,fish,ESP,スペイン,286760,MT,10.8,2867603200,JPY_1000,10.8,AgriChart_Dummy
2019,Tuna,fish,IDN,インドネシア,1213363,MT,44.9,12133632000,JPY_1000,44.9,AgriChart_Dummy
2019,Tuna,fish,JPN,日本,460605,MT,17.1,4606056000,JPY_1000,17.1,AgriChart_Dummy
2019,Tuna,fish,PHL,フィリピン,393680,MT,14.6,3936800000,JPY_1000,14.6,AgriChart_Dummy
2019,Tuna,fish,PNG,パプアニューギニア,335498,MT,12.4,3354982400,JPY_1000,12.4,AgriChart_Dummy
2019,Tuna,fish,ESP,スペイン,297041,MT,11.0,2970419200,JPY_1000,11.0,AgriChart_Dummy
2020,Tuna,fish,IDN,インドネシア,1226208,MT,44.6,12262080000,JPY_1000,44.6,AgriChart_Dummy
2020,Tuna,fish,JPN,日本,468414,MT,17.0,4684140000,JPY_1000,17.0,AgriChart_Dummy
2020,Tuna,fish,PHL,フィリピン,402800,MT,14.6,4028000000,JPY_1000,14.6,AgriChart_Dummy
2020,Tuna,fish,PNG,パプアニューギニア,345305,MT,12.6,3453056000,JPY_1000,12.6,AgriChart_Dummy
2020,Tuna,fish,ESP,スペイン,307484,MT,11.2,3074848000,JPY_1000,11.2,AgriChart_Dummy
2021,Tuna,fish,IDN,インドネシア,1238361,MT,44.2,12383615999,JPY_1000,44.2,AgriChart_Dummy
2021,Tuna,fish,JPN,日本,476092,MT,17.0,4760927999,JPY_1000,17.0,AgriChart_Dummy
2021,Tuna,fish,PHL,フィリピン,411919,MT,14.7,4119199999,JPY_1000,14.7,AgriChart_Dummy
2021,Tuna,fish,PNG,パプアニューギニア,355205,MT,12.7,3552051199,JPY_1000,12.7,AgriChart_Dummy
2021,Tuna,fish,ESP,スペイン,318088,MT,11.4,3180889599,JPY_1000,11.4,AgriChart_Dummy
2022,Tuna,fish,IDN,インドネシア,1249823,MT,43.9,12498239999,JPY_1000,43.9,AgriChart_Dummy
2022,Tuna,fish,JPN,日本,483641,MT,17.0,4836419999,JPY_1000,17.0,AgriChart_Dummy
2022,Tuna,fish,PHL,フィリピン,421039,MT,14.8,4210399999,JPY_1000,14.8,AgriChart_Dummy
2022,Tuna,fish,PNG,パプアニューギニア,365196,MT,12.8,3651967999,JPY_1000,12.8,AgriChart_Dummy
2022,Tuna,fish,ESP,スペイン,328854,MT,11.5,3288543999,JPY_1000,11.5,AgriChart_Dummy
2023,Tuna,fish,IDN,インドネシア,1260595,MT,43.5,12605951999,JPY_1000,43.5,AgriChart_Dummy
2023,Tuna,fish,JPN,日本,491061,MT,17.0,4910616000,JPY_1000,17.0,AgriChart_Dummy
2023,Tuna,fish,PHL,フィリピン,430159,MT,14.8,4301600000,JPY_1000,14.8,AgriChart_Dummy
2023,Tuna,fish,PNG,パプアニューギニア,375280,MT,13.0,3752806399,JPY_1000,13.0,AgriChart_Dummy
2023,Tuna,fish,ESP,スペイン,339781,MT,11.7,3397811199,JPY_1000,11.7,AgriChart_Dummy
2024,Tuna,fish,IDN,インドネシア,1270675,MT,43.2,12706751999,JPY_1000,43.2,AgriChart_Dummy
2024,Tuna,fish,JPN,日本,498351,MT,16.9,4983516000,JPY_1000,16.9,AgriChart_Dummy
2024,Tuna,fish,PHL,フィリピン,439279,MT,14.9,4392800000,JPY_1000,14.9,AgriChart_Dummy
2024,Tuna,fish,PNG,パプアニューギニア,385456,MT,13.1,3854566399,JPY_1000,13.1,AgriChart_Dummy
2024,Tuna,fish,ESP,スペイン,350869,MT,11.9,3508691200,JPY_1000,11.9,AgriChart_Dummy
2025,Tuna,fish,IDN,インドネシア,1280064,MT,42.8,12800640000,JPY_1000,42.8,AgriChart_Dummy
