year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Aluminum,base,AUS,オーストラリア,139554,MT,36.4,215108960,JPY_1000,36.5,MetalChart_AgriChart_Dummy
2010,Aluminum,base,RUS,ロシア,90570,MT,23.6,139273720,JPY_1000,23.6,MetalChart_AgriChart_Dummy
2010,Aluminum,base,ARE,アラブ首長国連邦,68224,MT,17.8,104960000,JPY_1000,17.8,MetalChart_AgriChart_Dummy
2010,Aluminum,base,IND,インド,48076,MT,12.5,73842640,JPY_1000,12.5,MetalChart_AgriChart_Dummy
2010,Aluminum,base,BRA,ブラジル,36955,MT,9.6,56934896,JPY_1000,9.6,MetalChart_AgriChart_Dummy
2011,Aluminum,base,AUS,オーストラリア,142048,MT,36.1,218953856,JPY_1000,36.2,MetalChart_AgriChart_Dummy
2011,Aluminum,base,RUS,ロシア,92684,MT,23.6,142524592,JPY_1000,23.5,MetalChart_AgriChart_Dummy
2011,Aluminum,base,ARE,アラブ首長国連邦,70220,MT,17.9,108032000,JPY_1000,17.8,MetalChart_AgriChart_Dummy
2011,Aluminum,base,IND,インド,49793,MT,12.7,76479904,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2011,Aluminum,base,BRA,ブラジル,38535,MT,9.8,59368985,JPY_1000,9.8,MetalChart_AgriChart_Dummy
2012,Aluminum,base,AUS,オーストラリア,144452,MT,35.8,222659360,JPY_1000,35.9,MetalChart_AgriChart_Dummy
2012,Aluminum,base,RUS,ロシア,94768,MT,23.5,145728520,JPY_1000,23.5,MetalChart_AgriChart_Dummy
2012,Aluminum,base,ARE,アラブ首長国連邦,72217,MT,17.9,111104000,JPY_1000,17.9,MetalChart_AgriChart_Dummy
2012,Aluminum,base,IND,インド,51527,MT,12.8,79144240,JPY_1000,12.8,MetalChart_AgriChart_Dummy
2012,Aluminum,base,BRA,ブラジル,40143,MT,10.0,61846736,JPY_1000,10.0,MetalChart_AgriChart_Dummy
2013,Aluminum,base,AUS,オーストラリア,146766,MT,35.5,226225471,JPY_1000,35.6,MetalChart_AgriChart_Dummy
2013,Aluminum,base,RUS,ロシア,96821,MT,23.5,148885503,JPY_1000,23.4,MetalChart_AgriChart_Dummy
2013,Aluminum,base,ARE,アラブ首長国連邦,74214,MT,18.0,114175999,JPY_1000,18.0,MetalChart_AgriChart_Dummy
2013,Aluminum,base,IND,インド,53280,MT,12.9,81835647,JPY_1000,12.9,MetalChart_AgriChart_Dummy
2013,Aluminum,base,BRA,ブラジル,41779,MT,10.1,64368147,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2014,Aluminum,base,AUS,オーストラリア,148989,MT,35.3,229652191,JPY_1000,35.3,MetalChart_AgriChart_Dummy
2014,Aluminum,base,RUS,ロシア,98843,MT,23.4,151995544,JPY_1000,23.4,MetalChart_AgriChart_Dummy
2014,Aluminum,base,ARE,アラブ首長国連邦,76211,MT,18.0,117247999,JPY_1000,18.0,MetalChart_AgriChart_Dummy
2014,Aluminum,base,IND,インド,55050,MT,13.0,84554128,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2014,Aluminum,base,BRA,ブラジル,43444,MT,10.3,66933219,JPY_1000,10.3,MetalChart_AgriChart_Dummy
2015,Aluminum,base,AUS,オーストラリア,151121,MT,35.0,232939520,JPY_1000,35.0,MetalChart_AgriChart_Dummy
2015,Aluminum,base,RUS,ロシア,100835,MT,23.3,155058640,JPY_1000,23.3,MetalChart_AgriChart_Dummy
2015,Aluminum,base,ARE,アラブ首長国連邦,78208,MT,18.1,120320000,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2015,Aluminum,base,IND,インド,56837,MT,13.2,87299680,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2015,Aluminum,base,BRA,ブラジル,45138,MT,10.4,69541952,JPY_1000,10.5,MetalChart_AgriChart_Dummy
2016,Aluminum,base,AUS,オーストラリア,153164,MT,34.7,236087456,JPY_1000,34.7,MetalChart_AgriChart_Dummy
2016,Aluminum,base,RUS,ロシア,102797,MT,23.3,158074792,JPY_1000,23.3,MetalChart_AgriChart_Dummy
2016,Aluminum,base,ARE,アラブ首長国連邦,80204,MT,18.2,123392000,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2016,Aluminum,base,IND,インド,58642,MT,13.3,90072304,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2016,Aluminum,base,BRA,ブラジル,46859,MT,10.6,72194345,JPY_1000,10.6,MetalChart_AgriChart_Dummy
2017,Aluminum,base,AUS,オーストラリア,155116,MT,34.4,239096000,JPY_1000,34.4,MetalChart_AgriChart_Dummy
2017,Aluminum,base,RUS,ロシア,104728,MT,23.2,161044000,JPY_1000,23.2,MetalChart_AgriChart_Dummy
2017,Aluminum,base,ARE,アラブ首長国連邦,82201,MT,18.2,126464000,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2017,Aluminum,base,IND,インド,60465,MT,13.4,92872000,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2017,Aluminum,base,BRA,ブラジル,48609,MT,10.8,74890400,JPY_1000,10.8,MetalChart_AgriChart_Dummy
2018,Aluminum,base,AUS,オーストラリア,156977,MT,34.1,241965152,JPY_1000,34.1,MetalChart_AgriChart_Dummy
2018,Aluminum,base,RUS,ロシア,106628,MT,23.2,163966264,JPY_1000,23.1,MetalChart_AgriChart_Dummy
2018,Aluminum,base,ARE,アラブ首長国連邦,84198,MT,18.3,129536000,JPY_1000,18.3,MetalChart_AgriChart_Dummy
2018,Aluminum,base,IND,インド,62306,MT,13.5,95698768,JPY_1000,13.5,MetalChart_AgriChart_Dummy
2018,Aluminum,base,BRA,ブラジル,50387,MT,10.9,77630115,JPY_1000,11.0,MetalChart_AgriChart_Dummy
2019,Aluminum,base,AUS,オーストラリア,158748,MT,33.8,244694912,JPY_1000,33.8,MetalChart_AgriChart_Dummy
2019,Aluminum,base,RUS,ロシア,108498,MT,23.1,166841584,JPY_1000,23.1,MetalChart_AgriChart_Dummy
2019,Aluminum,base,ARE,アラブ首長国連邦,86195,MT,18.3,132608000,JPY_1000,18.3,MetalChart_AgriChart_Dummy
2019,Aluminum,base,IND,インド,64164,MT,13.7,98552608,JPY_1000,13.6,MetalChart_AgriChart_Dummy
2019,Aluminum,base,BRA,ブラジル,52194,MT,11.1,80413491,JPY_1000,11.1,MetalChart_AgriChart_Dummy
2020,Aluminum,base,AUS,オーストラリア,160428,MT,33.5,247285280,JPY_1000,33.5,MetalChart_AgriChart_Dummy
2020,Aluminum,base,RUS,ロシア,110337,MT,23.0,169669960,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2020,Aluminum,base,ARE,アラブ首長国連邦,88192,MT,18.4,135680000,JPY_1000,18.4,MetalChart_AgriChart_Dummy
2020,Aluminum,base,IND,インド,66039,MT,13.8,101433520,JPY_1000,13.8,MetalChart_AgriChart_Dummy
2020,Aluminum,base,BRA,ブラジル,54029,MT,11.3,83240528,JPY_1000,11.3,MetalChart_AgriChart_Dummy
2021,Aluminum,base,AUS,オーストラリア,162018,MT,33.2,249736255,JPY_1000,33.2,MetalChart_AgriChart_Dummy
2021,Aluminum,base,RUS,ロシア,112146,MT,23.0,172451391,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2021,Aluminum,base,ARE,アラブ首長国連邦,90188,MT,18.5,138751999,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2021,Aluminum,base,IND,インド,67932,MT,13.9,104341503,JPY_1000,13.9,MetalChart_AgriChart_Dummy
