year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Cobalt,battery,COD,コンゴ民主共和国,71821,MT,84.0,215108960,JPY_1000,84.0,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,RUS,ロシア,4425,MT,5.2,13243820,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,AUS,オーストラリア,3837,MT,4.5,11480000,JPY_1000,4.5,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,PHL,フィリピン,3000,MT,3.5,9033940,JPY_1000,3.5,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,CAN,カナダ,2426,MT,2.8,7278352,JPY_1000,2.8,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,COD,コンゴ民主共和国,73105,MT,83.8,218953856,JPY_1000,83.8,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,RUS,ロシア,4529,MT,5.2,13552952,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,AUS,オーストラリア,3949,MT,4.5,11816000,JPY_1000,4.5,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,PHL,フィリピン,3108,MT,3.6,9356584,JPY_1000,3.6,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,CAN,カナダ,2529,MT,2.9,7589518,JPY_1000,2.9,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,COD,コンゴ民主共和国,74342,MT,83.6,222659360,JPY_1000,83.6,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,RUS,ロシア,4631,MT,5.2,13857620,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,AUS,オーストラリア,4062,MT,4.6,12152000,JPY_1000,4.6,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,PHL,フィリピン,3216,MT,3.6,9682540,JPY_1000,3.6,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,CAN,カナダ,2635,MT,3.0,7906264,JPY_1000,3.0,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,COD,コンゴ民主共和国,75533,MT,83.5,226225471,JPY_1000,83.4,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,RUS,ロシア,4731,MT,5.2,14157823,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,AUS,オーストラリア,4174,MT,4.6,12487999,JPY_1000,4.6,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,PHL,フィリピン,3325,MT,3.7,10011807,JPY_1000,3.7,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,CAN,カナダ,2742,MT,3.0,8228592,JPY_1000,3.0,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,COD,コンゴ民主共和国,76677,MT,83.3,229652191,JPY_1000,83.3,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,RUS,ロシア,4830,MT,5.2,14453563,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,AUS,オーストラリア,4286,MT,4.7,12823999,JPY_1000,4.6,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,PHL,フィリピン,3436,MT,3.7,10344388,JPY_1000,3.8,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,CAN,カナダ,2852,MT,3.1,8556502,JPY_1000,3.1,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,COD,コンゴ民主共和国,77774,MT,83.1,232939520,JPY_1000,83.1,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,RUS,ロシア,4927,MT,5.3,14744840,JPY_1000,5.3,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,AUS,オーストラリア,4399,MT,4.7,13160000,JPY_1000,4.7,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,PHL,フィリピン,3547,MT,3.8,10680280,JPY_1000,3.8,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,CAN,カナダ,2963,MT,3.2,8889993,JPY_1000,3.2,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,COD,コンゴ民主共和国,78825,MT,82.9,236087456,JPY_1000,82.9,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,RUS,ロシア,5023,MT,5.3,15031652,JPY_1000,5.3,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,AUS,オーストラリア,4511,MT,4.7,13496000,JPY_1000,4.7,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,PHL,フィリピン,3660,MT,3.8,11019484,JPY_1000,3.9,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,CAN,カナダ,3076,MT,3.2,9229066,JPY_1000,3.2,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,COD,コンゴ民主共和国,79830,MT,82.7,239096000,JPY_1000,82.7,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,RUS,ロシア,5117,MT,5.3,15314000,JPY_1000,5.3,MetalChart_AgriChart_Dummy
