year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Copper,base,CHL,チリ,215108,MT,44.5,235553200,JPY_1000,44.4,MetalChart_AgriChart_Dummy
2010,Copper,base,PER,ペルー,110222,MT,22.8,122184920,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2010,Copper,base,AUS,オーストラリア,86920,MT,18.0,95120000,JPY_1000,17.9,MetalChart_AgriChart_Dummy
2010,Copper,base,USA,アメリカ合衆国,45405,MT,9.4,50040172,JPY_1000,9.4,MetalChart_AgriChart_Dummy
2010,Copper,base,ZAF,南アフリカ共和国,25538,MT,5.3,28091888,JPY_1000,5.3,MetalChart_AgriChart_Dummy
2011,Copper,base,CHL,チリ,218953,MT,44.2,239763520,JPY_1000,44.1,MetalChart_AgriChart_Dummy
2011,Copper,base,PER,ペルー,112795,MT,22.8,125036912,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2011,Copper,base,AUS,オーストラリア,89464,MT,18.1,97904000,JPY_1000,18.0,MetalChart_AgriChart_Dummy
2011,Copper,base,USA,アメリカ合衆国,47027,MT,9.5,51827339,JPY_1000,9.5,MetalChart_AgriChart_Dummy
2011,Copper,base,ZAF,南アフリカ共和国,26629,MT,5.4,29292876,JPY_1000,5.4,MetalChart_AgriChart_Dummy
2012,Copper,base,CHL,チリ,222659,MT,44.0,243821200,JPY_1000,43.8,MetalChart_AgriChart_Dummy
2012,Copper,base,PER,ペルー,115331,MT,22.8,127847720,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2012,Copper,base,AUS,オーストラリア,92008,MT,18.2,100688000,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2012,Copper,base,USA,アメリカ合衆国,48665,MT,9.6,53632852,JPY_1000,9.6,MetalChart_AgriChart_Dummy
2012,Copper,base,ZAF,南アフリカ共和国,27741,MT,5.5,30515408,JPY_1000,5.5,MetalChart_AgriChart_Dummy
2013,Copper,base,CHL,チリ,226225,MT,43.7,247726239,JPY_1000,43.5,MetalChart_AgriChart_Dummy
2013,Copper,base,PER,ペルー,117829,MT,22.8,130617343,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2013,Copper,base,AUS,オーストラリア,94551,MT,18.3,103471999,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2013,Copper,base,USA,アメリカ合衆国,50320,MT,9.7,55456710,JPY_1000,9.7,MetalChart_AgriChart_Dummy
2013,Copper,base,ZAF,南アフリカ共和国,28872,MT,5.6,31759481,JPY_1000,5.6,MetalChart_AgriChart_Dummy
2014,Copper,base,CHL,チリ,229652,MT,43.4,251478639,JPY_1000,43.3,MetalChart_AgriChart_Dummy
2014,Copper,base,PER,ペルー,120290,MT,22.7,133345783,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2014,Copper,base,AUS,オーストラリア,97095,MT,18.4,106255999,JPY_1000,18.3,MetalChart_AgriChart_Dummy
2014,Copper,base,USA,アメリカ合衆国,51991,MT,9.8,57298914,JPY_1000,9.9,MetalChart_AgriChart_Dummy
2014,Copper,base,ZAF,南アフリカ共和国,30022,MT,5.7,33025097,JPY_1000,5.7,MetalChart_AgriChart_Dummy
2015,Copper,base,CHL,チリ,232939,MT,43.1,255078400,JPY_1000,43.0,MetalChart_AgriChart_Dummy
2015,Copper,base,PER,ペルー,122715,MT,22.7,136033040,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2015,Copper,base,AUS,オーストラリア,99640,MT,18.4,109040000,JPY_1000,18.4,MetalChart_AgriChart_Dummy
2015,Copper,base,USA,アメリカ合衆国,53680,MT,9.9,59159464,JPY_1000,10.0,MetalChart_AgriChart_Dummy
2015,Copper,base,ZAF,南アフリカ共和国,31192,MT,5.8,34312256,JPY_1000,5.8,MetalChart_AgriChart_Dummy
2016,Copper,base,CHL,チリ,236087,MT,42.8,258525520,JPY_1000,42.7,MetalChart_AgriChart_Dummy
2016,Copper,base,PER,ペルー,125102,MT,22.7,138679112,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2016,Copper,base,AUS,オーストラリア,102184,MT,18.5,111824000,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2016,Copper,base,USA,アメリカ合衆国,55384,MT,10.0,61038359,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2016,Copper,base,ZAF,南アフリカ共和国,32382,MT,5.9,35620956,JPY_1000,5.9,MetalChart_AgriChart_Dummy
2017,Copper,base,CHL,チリ,239096,MT,42.5,261820000,JPY_1000,42.4,MetalChart_AgriChart_Dummy
2017,Copper,base,PER,ペルー,127452,MT,22.7,141284000,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2017,Copper,base,AUS,オーストラリア,104728,MT,18.6,114608000,JPY_1000,18.6,MetalChart_AgriChart_Dummy
2017,Copper,base,USA,アメリカ合衆国,57106,MT,10.2,62935600,JPY_1000,10.2,MetalChart_AgriChart_Dummy
2017,Copper,base,ZAF,南アフリカ共和国,33592,MT,6.0,36951200,JPY_1000,6.0,MetalChart_AgriChart_Dummy
2018,Copper,base,CHL,チリ,241965,MT,42.3,264961840,JPY_1000,42.1,MetalChart_AgriChart_Dummy
2018,Copper,base,PER,ペルー,129764,MT,22.7,143847704,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2018,Copper,base,AUS,オーストラリア,107272,MT,18.7,117392000,JPY_1000,18.7,MetalChart_AgriChart_Dummy
2018,Copper,base,USA,アメリカ合衆国,58844,MT,10.3,64851186,JPY_1000,10.3,MetalChart_AgriChart_Dummy
2018,Copper,base,ZAF,南アフリカ共和国,34820,MT,6.1,38302985,JPY_1000,6.1,MetalChart_AgriChart_Dummy
2019,Copper,base,CHL,チリ,244694,MT,42.0,267951040,JPY_1000,41.8,MetalChart_AgriChart_Dummy
2019,Copper,base,PER,ペルー,132040,MT,22.6,146370224,JPY_1000,22.8,MetalChart_AgriChart_Dummy
2019,Copper,base,AUS,オーストラリア,109816,MT,18.8,120176000,JPY_1000,18.7,MetalChart_AgriChart_Dummy
2019,Copper,base,USA,アメリカ合衆国,60599,MT,10.4,66785118,JPY_1000,10.4,MetalChart_AgriChart_Dummy
2019,Copper,base,ZAF,南アフリカ共和国,36069,MT,6.2,39676313,JPY_1000,6.2,MetalChart_AgriChart_Dummy
2020,Copper,base,CHL,チリ,247285,MT,41.7,270787600,JPY_1000,41.5,MetalChart_AgriChart_Dummy
2020,Copper,base,PER,ペルー,134278,MT,22.6,148851560,JPY_1000,22.8,MetalChart_AgriChart_Dummy
2020,Copper,base,AUS,オーストラリア,112360,MT,18.9,122960000,JPY_1000,18.8,MetalChart_AgriChart_Dummy
2020,Copper,base,USA,アメリカ合衆国,62370,MT,10.5,68737396,JPY_1000,10.5,MetalChart_AgriChart_Dummy
2020,Copper,base,ZAF,南アフリカ共和国,37337,MT,6.3,41071184,JPY_1000,6.3,MetalChart_AgriChart_Dummy
2021,Copper,base,CHL,チリ,249736,MT,41.4,273471519,JPY_1000,41.2,MetalChart_AgriChart_Dummy
2021,Copper,base,PER,ペルー,136479,MT,22.6,151291711,JPY_1000,22.8,MetalChart_AgriChart_Dummy
2021,Copper,base,AUS,オーストラリア,114903,MT,19.0,125743999,JPY_1000,18.9,MetalChart_AgriChart_Dummy
2021,Copper,base,USA,アメリカ合衆国,64158,MT,10.6,70708019,JPY_1000,10.7,MetalChart_AgriChart_Dummy
2021,Copper,base,ZAF,南アフリカ共和国,38625,MT,6.4,42487596,JPY_1000,6.4,MetalChart_AgriChart_Dummy
2022,Copper,base,CHL,チリ,252047,MT,41.0,276002799,JPY_1000,40.9,MetalChart_AgriChart_Dummy
2022,Copper,base,PER,ペルー,138644,MT,22.6,153690679,JPY_1000,22.8,MetalChart_AgriChart_Dummy
2022,Copper,base,AUS,オーストラリア,117447,MT,19.1,128527999,JPY_1000,19.0,MetalChart_AgriChart_Dummy
2022,Copper,base,USA,アメリカ合衆国,65963,MT,10.7,72696987,JPY_1000,10.8,MetalChart_AgriChart_Dummy
2022,Copper,base,ZAF,南アフリカ共和国,39932,MT,6.5,43925551,JPY_1000,6.5,MetalChart_AgriChart_Dummy
2023,Copper,base,CHL,チリ,254220,MT,40.7,278381440,JPY_1000,40.6,MetalChart_AgriChart_Dummy
2023,Copper,base,PER,ペルー,140770,MT,22.6,156048463,JPY_1000,22.8,MetalChart_AgriChart_Dummy
2023,Copper,base,AUS,オーストラリア,119991,MT,19.2,131311999,JPY_1000,19.1,MetalChart_AgriChart_Dummy
2023,Copper,base,USA,アメリカ合衆国,67785,MT,10.9,74704302,JPY_1000,10.9,MetalChart_AgriChart_Dummy
2023,Copper,base,ZAF,南アフリカ共和国,41259,MT,6.6,45385049,JPY_1000,6.6,MetalChart_AgriChart_Dummy
2024,Copper,base,CHL,チリ,256252,MT,40.4,280607440,JPY_1000,40.3,MetalChart_AgriChart_Dummy
2024,Copper,base,PER,ペルー,142860,MT,22.5,158365064,JPY_1000,22.7,MetalChart_AgriChart_Dummy
2024,Copper,base,AUS,オーストラリア,122535,MT,19.3,134095999,JPY_1000,19.2,MetalChart_AgriChart_Dummy
2024,Copper,base,USA,アメリカ合衆国,69623,MT,11.0,76729962,JPY_1000,11.0,MetalChart_AgriChart_Dummy
2024,Copper,base,ZAF,南アフリカ共和国,42605,MT,6.7,46866089,JPY_1000,6.7,MetalChart_AgriChart_Dummy
2025,Copper,base,CHL,チリ,258146,MT,40.1,282680800,JPY_1000,40.0,MetalChart_AgriChart_Dummy
2025,Copper,base,PER,ペルー,144913,MT,22.5,160640480,JPY_1000,22.7,MetalChart_AgriChart_Dummy
2025,Copper,base,AUS,オーストラリア,125080,MT,19.4,136880000,JPY_1000,19.4,MetalChart_AgriChart_Dummy
2025,Copper,base,USA,アメリカ合衆国,71477,MT,11.1,78773968,JPY_1000,11.1,MetalChart_AgriChart_Dummy
2025,Copper,base,ZAF,南アフリカ共和国,43971,MT,6.8,48368672,JPY_1000,6.8,MetalChart_AgriChart_Dummy
