year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Iron,ferrous,BRA,ブラジル,139554160,MT,33.4,2151089600,JPY_1000,33.4,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,AUS,オーストラリア,124748240,MT,29.8,1922490000,JPY_1000,29.8,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,IND,インド,68634000,MT,16.4,1057799999,JPY_1000,16.4,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,RUS,ロシア,48076272,MT,11.5,740783080,JPY_1000,11.5,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,ZAF,南アフリカ共和国,37105328,MT,8.9,571602320,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,BRA,ブラジル,142048576,MT,33.1,2189538560,JPY_1000,33.1,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,AUS,オーストラリア,127660064,MT,29.8,1967364000,JPY_1000,29.8,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,IND,インド,70642800,MT,16.5,1088760000,JPY_1000,16.5,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,RUS,ロシア,49793299,MT,11.6,767239888,JPY_1000,11.6,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,ZAF,南アフリカ共和国,38691660,MT,9.0,596039552,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,BRA,ブラジル,144452560,MT,32.9,2226593600,JPY_1000,32.9,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,AUS,オーストラリア,130529840,MT,29.7,2011590000,JPY_1000,29.7,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,IND,インド,72651600,MT,16.5,1119720000,JPY_1000,16.5,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,RUS,ロシア,51527952,MT,11.7,793968280,JPY_1000,11.7,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,ZAF,南アフリカ共和国,40306448,MT,9.2,620915120,JPY_1000,9.2,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,BRA,ブラジル,146766111,MT,32.6,2262254720,JPY_1000,32.6,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,AUS,オーストラリア,133357567,MT,29.6,2055167999,JPY_1000,29.6,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,IND,インド,74660399,MT,16.6,1150679999,JPY_1000,16.6,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,RUS,ロシア,53280230,MT,11.8,820968255,JPY_1000,11.8,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,ZAF,南アフリカ共和国,41949689,MT,9.3,646229023,JPY_1000,9.3,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,BRA,ブラジル,148989232,MT,32.4,2296521920,JPY_1000,32.4,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,AUS,オーストラリア,136143248,MT,29.6,2098097999,JPY_1000,29.6,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,IND,インド,76669200,MT,16.7,1181640000,JPY_1000,16.7,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,RUS,ロシア,55050134,MT,12.0,848239815,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,ZAF,南アフリカ共和国,43621385,MT,9.5,671981264,JPY_1000,9.5,MetalChart_AgriChart_Dummy
2015,Iron,ferrous,BRA,ブラジル,151121920,MT,32.1,2329395200,JPY_1000,32.1,MetalChart_AgriChart_Dummy
2015,Iron,ferrous,AUS,オーストラリア,138886880,MT,29.5,2140379999,JPY_1000,29.5,MetalChart_AgriChart_Dummy
2015,Iron,ferrous,IND,インド,78678000,MT,16.7,1212600000,JPY_1000,16.7,MetalChart_AgriChart_Dummy
2015,Iron,ferrous,RUS,ロシア,56837664,MT,12.1,875782960,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2015,Iron,ferrous,ZAF,南アフリカ共和国,45321536,MT,9.6,698171840,JPY_1000,9.6,MetalChart_AgriChart_Dummy
2016,Iron,ferrous,BRA,ブラジル,153164176,MT,31.8,2360874560,JPY_1000,31.8,MetalChart_AgriChart_Dummy
2016,Iron,ferrous,AUS,オーストラリア,141588464,MT,29.4,2182014000,JPY_1000,29.4,MetalChart_AgriChart_Dummy
2016,Iron,ferrous,IND,インド,80686800,MT,16.8,1243560000,JPY_1000,16.8,MetalChart_AgriChart_Dummy
2016,Iron,ferrous,RUS,ロシア,58642819,MT,12.2,903597688,JPY_1000,12.2,MetalChart_AgriChart_Dummy
2016,Iron,ferrous,ZAF,南アフリカ共和国,47050140,MT,9.8,724800752,JPY_1000,9.8,MetalChart_AgriChart_Dummy
2017,Iron,ferrous,BRA,ブラジル,155116000,MT,31.6,2390960000,JPY_1000,31.6,MetalChart_AgriChart_Dummy
2017,Iron,ferrous,AUS,オーストラリア,144248000,MT,29.4,2223000000,JPY_1000,29.4,MetalChart_AgriChart_Dummy
2017,Iron,ferrous,IND,インド,82695600,MT,16.8,1274520000,JPY_1000,16.8,MetalChart_AgriChart_Dummy
2017,Iron,ferrous,RUS,ロシア,60465600,MT,12.3,931684000,JPY_1000,12.3,MetalChart_AgriChart_Dummy
2017,Iron,ferrous,ZAF,南アフリカ共和国,48807200,MT,9.9,751868000,JPY_1000,9.9,MetalChart_AgriChart_Dummy
