year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Lead,base,CHN,中華人民共和国,184887,MT,44.8,74399256,JPY_1000,44.8,MetalChart_AgriChart_Dummy
2010,Lead,base,AUS,オーストラリア,90570,MT,21.9,36399144,JPY_1000,21.9,MetalChart_AgriChart_Dummy
2010,Lead,base,USA,アメリカ合衆国,59204,MT,14.3,23780000,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2010,Lead,base,PER,ペルー,41320,MT,10.0,16575316,JPY_1000,10.0,MetalChart_AgriChart_Dummy
2010,Lead,base,MEX,メキシコ,36955,MT,8.9,14872175,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2011,Lead,base,CHN,中華人民共和国,188191,MT,44.5,75729081,JPY_1000,44.5,MetalChart_AgriChart_Dummy
2011,Lead,base,AUS,オーストラリア,92684,MT,21.9,37248758,JPY_1000,21.9,MetalChart_AgriChart_Dummy
2011,Lead,base,USA,アメリカ合衆国,60936,MT,14.4,24476000,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2011,Lead,base,PER,ペルー,42796,MT,10.1,17167297,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2011,Lead,base,MEX,メキシコ,38535,MT,9.1,15507993,JPY_1000,9.1,MetalChart_AgriChart_Dummy
2012,Lead,base,CHN,中華人民共和国,191376,MT,44.2,77010696,JPY_1000,44.2,MetalChart_AgriChart_Dummy
2012,Lead,base,AUS,オーストラリア,94768,MT,21.9,38086104,JPY_1000,21.9,MetalChart_AgriChart_Dummy
2012,Lead,base,USA,アメリカ合衆国,62669,MT,14.5,25172000,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2012,Lead,base,PER,ペルー,44287,MT,10.2,17765356,JPY_1000,10.2,MetalChart_AgriChart_Dummy
2012,Lead,base,MEX,メキシコ,40143,MT,9.3,16155216,JPY_1000,9.3,MetalChart_AgriChart_Dummy
2013,Lead,base,CHN,中華人民共和国,194441,MT,43.9,78244099,JPY_1000,43.9,MetalChart_AgriChart_Dummy
2013,Lead,base,AUS,オーストラリア,96821,MT,21.8,38911180,JPY_1000,21.8,MetalChart_AgriChart_Dummy
2013,Lead,base,USA,アメリカ合衆国,64402,MT,14.5,25867999,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2013,Lead,base,PER,ペルー,45793,MT,10.3,18369491,JPY_1000,10.3,MetalChart_AgriChart_Dummy
2013,Lead,base,MEX,メキシコ,41779,MT,9.4,16813843,JPY_1000,9.4,MetalChart_AgriChart_Dummy
2014,Lead,base,CHN,中華人民共和国,197387,MT,43.6,79429291,JPY_1000,43.6,MetalChart_AgriChart_Dummy
2014,Lead,base,AUS,オーストラリア,98843,MT,21.8,39723988,JPY_1000,21.8,MetalChart_AgriChart_Dummy
