year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Lithium,battery,CHL,チリ,13955,MT,53.5,21510896,JPY_1000,52.5,MetalChart_AgriChart_Dummy
2010,Lithium,battery,AUS,オーストラリア,10199,MT,39.1,16353423,JPY_1000,39.9,MetalChart_AgriChart_Dummy
2010,Lithium,battery,ARG,アルゼンチン,1896,MT,7.3,3044692,JPY_1000,7.4,MetalChart_AgriChart_Dummy
2010,Lithium,battery,CHN,中華人民共和国,31,MT,0.1,48822,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2011,Lithium,battery,CHL,チリ,14204,MT,53.3,21895385,JPY_1000,52.3,MetalChart_AgriChart_Dummy
2011,Lithium,battery,AUS,オーストラリア,10457,MT,39.2,16766566,JPY_1000,40.1,MetalChart_AgriChart_Dummy
2011,Lithium,battery,ARG,アルゼンチン,1960,MT,7.4,3146702,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2011,Lithium,battery,CHN,中華人民共和国,32,MT,0.1,50910,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2012,Lithium,battery,CHL,チリ,14445,MT,53.1,22265936,JPY_1000,52.1,MetalChart_AgriChart_Dummy
2012,Lithium,battery,AUS,オーストラリア,10712,MT,39.4,17175984,JPY_1000,40.2,MetalChart_AgriChart_Dummy
2012,Lithium,battery,ARG,アルゼンチン,2024,MT,7.4,3249444,JPY_1000,7.6,MetalChart_AgriChart_Dummy
2012,Lithium,battery,CHN,中華人民共和国,34,MT,0.1,53034,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2013,Lithium,battery,CHL,チリ,14676,MT,52.9,22622547,JPY_1000,51.9,MetalChart_AgriChart_Dummy
2013,Lithium,battery,AUS,オーストラリア,10965,MT,39.5,17581676,JPY_1000,40.3,MetalChart_AgriChart_Dummy
2013,Lithium,battery,ARG,アルゼンチン,2088,MT,7.5,3352920,JPY_1000,7.7,MetalChart_AgriChart_Dummy
2013,Lithium,battery,CHN,中華人民共和国,35,MT,0.1,55196,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2014,Lithium,battery,CHL,チリ,14898,MT,52.6,22965219,JPY_1000,51.6,MetalChart_AgriChart_Dummy
2014,Lithium,battery,AUS,オーストラリア,11216,MT,39.6,17983644,JPY_1000,40.4,MetalChart_AgriChart_Dummy
2014,Lithium,battery,ARG,アルゼンチン,2153,MT,7.6,3457130,JPY_1000,7.8,MetalChart_AgriChart_Dummy
2014,Lithium,battery,CHN,中華人民共和国,37,MT,0.1,57396,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2015,Lithium,battery,CHL,チリ,15112,MT,52.4,23293952,JPY_1000,51.4,MetalChart_AgriChart_Dummy
2015,Lithium,battery,AUS,オーストラリア,11464,MT,39.8,18381888,JPY_1000,40.6,MetalChart_AgriChart_Dummy
2015,Lithium,battery,ARG,アルゼンチン,2219,MT,7.7,3562073,JPY_1000,7.9,MetalChart_AgriChart_Dummy
2015,Lithium,battery,CHN,中華人民共和国,38,MT,0.1,59633,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2016,Lithium,battery,CHL,チリ,15316,MT,52.2,23608745,JPY_1000,51.2,MetalChart_AgriChart_Dummy
2016,Lithium,battery,AUS,オーストラリア,11711,MT,39.9,18776406,JPY_1000,40.7,MetalChart_AgriChart_Dummy
2016,Lithium,battery,ARG,アルゼンチン,2285,MT,7.8,3667750,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2016,Lithium,battery,CHN,中華人民共和国,40,MT,0.1,61908,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2017,Lithium,battery,CHL,チリ,15511,MT,52.0,23909600,JPY_1000,51.0,MetalChart_AgriChart_Dummy
2017,Lithium,battery,AUS,オーストラリア,11954,MT,40.0,19167200,JPY_1000,40.9,MetalChart_AgriChart_Dummy
2017,Lithium,battery,ARG,アルゼンチン,2351,MT,7.9,3774160,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2017,Lithium,battery,CHN,中華人民共和国,41,MT,0.1,64220,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2018,Lithium,battery,CHL,チリ,15697,MT,51.7,24196515,JPY_1000,50.7,MetalChart_AgriChart_Dummy
2018,Lithium,battery,AUS,オーストラリア,12196,MT,40.2,19554268,JPY_1000,41.0,MetalChart_AgriChart_Dummy
2018,Lithium,battery,ARG,アルゼンチン,2418,MT,8.0,3881303,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2018,Lithium,battery,CHN,中華人民共和国,43,MT,0.1,66569,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2019,Lithium,battery,CHL,チリ,15874,MT,51.5,24469491,JPY_1000,50.5,MetalChart_AgriChart_Dummy
2019,Lithium,battery,AUS,オーストラリア,12435,MT,40.3,19937612,JPY_1000,41.1,MetalChart_AgriChart_Dummy
2019,Lithium,battery,ARG,アルゼンチン,2485,MT,8.1,3989180,JPY_1000,8.2,MetalChart_AgriChart_Dummy
2019,Lithium,battery,CHN,中華人民共和国,44,MT,0.1,68956,JPY_1000,0.1,MetalChart_AgriChart_Dummy
2020,Lithium,battery,CHL,チリ,16042,MT,51.2,24728528,JPY_1000,50.2,MetalChart_AgriChart_Dummy
2020,Lithium,battery,AUS,オーストラリア,12672,MT,40.5,20317232,JPY_1000,41.3,MetalChart_AgriChart_Dummy
2020,Lithium,battery,ARG,アルゼンチン,2553,MT,8.2,4097790,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2020,Lithium,battery,CHN,中華人民共和国,46,MT,0.1,71380,JPY_1000,0.1,MetalChart_AgriChart_Dummy
