year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Manganese,ferrous,ZAF,南アフリカ共和国,4417733,MT,38.8,94221280,JPY_1000,38.7,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,AUS,オーストラリア,2358254,MT,20.7,50497404,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,GAB,ガボン,1984399,MT,17.4,42476000,JPY_1000,17.4,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,BRA,ブラジル,1453286,MT,12.8,31186731,JPY_1000,12.8,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,CHN,中華人民共和国,1179258,MT,10.4,25237632,JPY_1000,10.4,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,ZAF,南アフリカ共和国,4496696,MT,38.5,95905408,JPY_1000,38.4,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,AUS,オーストラリア,2413299,MT,20.6,51676094,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,GAB,ガボン,2042480,MT,17.5,43719200,JPY_1000,17.5,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,BRA,ブラジル,1505189,MT,12.9,32300555,JPY_1000,12.9,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,CHN,中華人民共和国,1229674,MT,10.5,26316595,JPY_1000,10.5,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,ZAF,南アフリカ共和国,4572797,MT,38.2,97528480,JPY_1000,38.1,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,AUS,オーストラリア,2467550,MT,20.6,52837764,JPY_1000,20.6,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,GAB,ガボン,2100560,MT,17.5,44962400,JPY_1000,17.6,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,BRA,ブラジル,1557626,MT,13.0,33425812,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,CHN,中華人民共和国,1280994,MT,10.7,27414912,JPY_1000,10.7,MetalChart_AgriChart_Dummy
2013,Manganese,ferrous,ZAF,南アフリカ共和国,4646035,MT,37.9,99090495,JPY_1000,37.8,MetalChart_AgriChart_Dummy
