year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,RareEarth,strategic,CHN,中華人民共和国,99554,MT,64.6,215108960,JPY_1000,64.0,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,USA,アメリカ合衆国,18883,MT,12.3,42123892,JPY_1000,12.5,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,MYS,マレーシア,15333,MT,10.0,33784000,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,AUS,オーストラリア,12333,MT,8.0,27258932,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,IND,インド,7961,MT,5.2,17576208,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,CHN,中華人民共和国,101334,MT,64.3,218953856,JPY_1000,63.8,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,USA,アメリカ合衆国,19323,MT,12.3,43107131,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,MYS,マレーシア,15782,MT,10.0,34772800,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,AUS,オーストラリア,12773,MT,8.1,28232475,JPY_1000,8.2,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,IND,インド,8302,MT,5.3,18327628,JPY_1000,5.3,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,CHN,中華人民共和国,103048,MT,64.0,222659360,JPY_1000,63.5,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,USA,アメリカ合衆国,19758,MT,12.3,44076172,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,MYS,マレーシア,16231,MT,10.1,35761600,JPY_1000,10.2,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,AUS,オーストラリア,13218,MT,8.2,29216012,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,IND,インド,8648,MT,5.4,19092528,JPY_1000,5.4,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,CHN,中華人民共和国,104699,MT,63.7,226225471,JPY_1000,63.2,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,USA,アメリカ合衆国,20186,MT,12.3,45031014,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,MYS,マレーシア,16680,MT,10.2,36750399,JPY_1000,10.3,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,AUS,オーストラリア,13668,MT,8.3,30209542,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,IND,インド,9001,MT,5.5,19870905,JPY_1000,5.5,MetalChart_AgriChart_Dummy
2014,RareEarth,strategic,CHN,中華人民共和国,106285,MT,63.5,229652191,JPY_1000,62.9,MetalChart_AgriChart_Dummy
2014,RareEarth,strategic,USA,アメリカ合衆国,20607,MT,12.3,45971658,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2014,RareEarth,strategic,MYS,マレーシア,17129,MT,10.2,37739200,JPY_1000,10.3,MetalChart_AgriChart_Dummy
2014,RareEarth,strategic,AUS,オーストラリア,14122,MT,8.4,31213066,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2014,RareEarth,strategic,IND,インド,9360,MT,5.6,20662761,JPY_1000,5.7,MetalChart_AgriChart_Dummy
2015,RareEarth,strategic,CHN,中華人民共和国,107806,MT,63.2,232939520,JPY_1000,62.6,MetalChart_AgriChart_Dummy
2015,RareEarth,strategic,USA,アメリカ合衆国,21023,MT,12.3,46898104,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2015,RareEarth,strategic,MYS,マレーシア,17578,MT,10.3,38728000,JPY_1000,10.4,MetalChart_AgriChart_Dummy
2015,RareEarth,strategic,AUS,オーストラリア,14580,MT,8.5,32226584,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2015,RareEarth,strategic,IND,インド,9724,MT,5.7,21468096,JPY_1000,5.8,MetalChart_AgriChart_Dummy
2016,RareEarth,strategic,CHN,中華人民共和国,109263,MT,62.8,236087456,JPY_1000,62.3,MetalChart_AgriChart_Dummy
2016,RareEarth,strategic,USA,アメリカ合衆国,21432,MT,12.3,47810351,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2016,RareEarth,strategic,MYS,マレーシア,18026,MT,10.4,39716800,JPY_1000,10.5,MetalChart_AgriChart_Dummy
2016,RareEarth,strategic,AUS,オーストラリア,15043,MT,8.7,33250095,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2016,RareEarth,strategic,IND,インド,10095,MT,5.8,22286908,JPY_1000,5.9,MetalChart_AgriChart_Dummy
2017,RareEarth,strategic,CHN,中華人民共和国,110656,MT,62.5,239096000,JPY_1000,62.0,MetalChart_AgriChart_Dummy
2017,RareEarth,strategic,USA,アメリカ合衆国,21834,MT,12.3,48708400,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2017,RareEarth,strategic,MYS,マレーシア,18475,MT,10.4,40705600,JPY_1000,10.5,MetalChart_AgriChart_Dummy
2017,RareEarth,strategic,AUS,オーストラリア,15511,MT,8.8,34283600,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2017,RareEarth,strategic,IND,インド,10472,MT,5.9,23119200,JPY_1000,6.0,MetalChart_AgriChart_Dummy
2018,RareEarth,strategic,CHN,中華人民共和国,111983,MT,62.2,241965152,JPY_1000,61.6,MetalChart_AgriChart_Dummy
2018,RareEarth,strategic,USA,アメリカ合衆国,22231,MT,12.4,49592250,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2018,RareEarth,strategic,MYS,マレーシア,18924,MT,10.5,41694400,JPY_1000,10.6,MetalChart_AgriChart_Dummy
2018,RareEarth,strategic,AUS,オーストラリア,15983,MT,8.9,35327098,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2018,RareEarth,strategic,IND,インド,10855,MT,6.0,23964969,JPY_1000,6.1,MetalChart_AgriChart_Dummy
2019,RareEarth,strategic,CHN,中華人民共和国,113247,MT,61.9,244694912,JPY_1000,61.3,MetalChart_AgriChart_Dummy
2019,RareEarth,strategic,USA,アメリカ合衆国,22620,MT,12.4,50461902,JPY_1000,12.6,MetalChart_AgriChart_Dummy
