year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Silver,precious,MEX,メキシコ,392,MT,30.1,13955416,JPY_1000,30.4,MetalChart_AgriChart_Dummy
2010,Silver,precious,PER,ペルー,348,MT,26.7,12218492,JPY_1000,26.6,MetalChart_AgriChart_Dummy
2010,Silver,precious,CHN,中華人民共和国,223,MT,17.1,7790000,JPY_1000,17.0,MetalChart_AgriChart_Dummy
2010,Silver,precious,AUS,オーストラリア,186,MT,14.3,6535859,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2010,Silver,precious,CHL,チリ,153,MT,11.8,5362996,JPY_1000,11.7,MetalChart_AgriChart_Dummy
2011,Silver,precious,MEX,メキシコ,399,MT,29.9,14204857,JPY_1000,30.2,MetalChart_AgriChart_Dummy
2011,Silver,precious,PER,ペルー,356,MT,26.6,12503691,JPY_1000,26.6,MetalChart_AgriChart_Dummy
2011,Silver,precious,CHN,中華人民共和国,229,MT,17.1,8018000,JPY_1000,17.0,MetalChart_AgriChart_Dummy
2011,Silver,precious,AUS,オーストラリア,193,MT,14.4,6769285,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2011,Silver,precious,CHL,チリ,159,MT,11.9,5592276,JPY_1000,11.9,MetalChart_AgriChart_Dummy
2012,Silver,precious,MEX,メキシコ,406,MT,29.6,14445256,JPY_1000,29.9,MetalChart_AgriChart_Dummy
2012,Silver,precious,PER,ペルー,364,MT,26.5,12784772,JPY_1000,26.5,MetalChart_AgriChart_Dummy
2012,Silver,precious,CHN,中華人民共和国,236,MT,17.2,8246000,JPY_1000,17.1,MetalChart_AgriChart_Dummy
2012,Silver,precious,AUS,オーストラリア,200,MT,14.6,7005107,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2012,Silver,precious,CHL,チリ,166,MT,12.1,5825668,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2013,Silver,precious,MEX,メキシコ,413,MT,29.4,14676611,JPY_1000,29.6,MetalChart_AgriChart_Dummy
2013,Silver,precious,PER,ペルー,372,MT,26.4,13061734,JPY_1000,26.4,MetalChart_AgriChart_Dummy
2013,Silver,precious,CHN,中華人民共和国,242,MT,17.2,8474000,JPY_1000,17.1,MetalChart_AgriChart_Dummy
2013,Silver,precious,AUS,オーストラリア,207,MT,14.7,7243325,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2013,Silver,precious,CHL,チリ,173,MT,12.3,6063173,JPY_1000,12.2,MetalChart_AgriChart_Dummy
2014,Silver,precious,MEX,メキシコ,419,MT,29.1,14898923,JPY_1000,29.4,MetalChart_AgriChart_Dummy
2014,Silver,precious,PER,ペルー,380,MT,26.4,13334578,JPY_1000,26.3,MetalChart_AgriChart_Dummy
2014,Silver,precious,CHN,中華人民共和国,249,MT,17.3,8702000,JPY_1000,17.2,MetalChart_AgriChart_Dummy
2014,Silver,precious,AUS,オーストラリア,214,MT,14.8,7483939,JPY_1000,14.8,MetalChart_AgriChart_Dummy
2014,Silver,precious,CHL,チリ,180,MT,12.5,6304791,JPY_1000,12.4,MetalChart_AgriChart_Dummy
2015,Silver,precious,MEX,メキシコ,425,MT,28.8,15112192,JPY_1000,29.1,MetalChart_AgriChart_Dummy
2015,Silver,precious,PER,ペルー,388,MT,26.3,13603304,JPY_1000,26.2,MetalChart_AgriChart_Dummy
2015,Silver,precious,CHN,中華人民共和国,255,MT,17.3,8930000,JPY_1000,17.2,MetalChart_AgriChart_Dummy
2015,Silver,precious,AUS,オーストラリア,221,MT,15.0,7726950,JPY_1000,14.9,MetalChart_AgriChart_Dummy
2015,Silver,precious,CHL,チリ,187,MT,12.7,6550521,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2016,Silver,precious,MEX,メキシコ,431,MT,28.5,15316417,JPY_1000,28.8,MetalChart_AgriChart_Dummy
2016,Silver,precious,PER,ペルー,395,MT,26.2,13867911,JPY_1000,26.1,MetalChart_AgriChart_Dummy
2016,Silver,precious,CHN,中華人民共和国,262,MT,17.4,9158000,JPY_1000,17.2,MetalChart_AgriChart_Dummy
2016,Silver,precious,AUS,オーストラリア,228,MT,15.1,7972357,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2016,Silver,precious,CHL,チリ,194,MT,12.8,6800364,JPY_1000,12.8,MetalChart_AgriChart_Dummy
2017,Silver,precious,MEX,メキシコ,436,MT,28.3,15511600,JPY_1000,28.6,MetalChart_AgriChart_Dummy
2017,Silver,precious,PER,ペルー,403,MT,26.1,14128400,JPY_1000,26.0,MetalChart_AgriChart_Dummy
2017,Silver,precious,CHN,中華人民共和国,268,MT,17.4,9386000,JPY_1000,17.3,MetalChart_AgriChart_Dummy
2017,Silver,precious,AUS,オーストラリア,235,MT,15.2,8220160,JPY_1000,15.1,MetalChart_AgriChart_Dummy
2017,Silver,precious,CHL,チリ,201,MT,13.0,7054320,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2018,Silver,precious,MEX,メキシコ,441,MT,28.0,15697739,JPY_1000,28.3,MetalChart_AgriChart_Dummy
2018,Silver,precious,PER,ペルー,410,MT,26.0,14384770,JPY_1000,25.9,MetalChart_AgriChart_Dummy
2018,Silver,precious,CHN,中華人民共和国,275,MT,17.4,9614000,JPY_1000,17.3,MetalChart_AgriChart_Dummy
2018,Silver,precious,AUS,オーストラリア,242,MT,15.4,8470359,JPY_1000,15.3,MetalChart_AgriChart_Dummy
2018,Silver,precious,CHL,チリ,208,MT,13.2,7312388,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2019,Silver,precious,MEX,メキシコ,446,MT,27.7,15874835,JPY_1000,28.0,MetalChart_AgriChart_Dummy
2019,Silver,precious,PER,ペルー,417,MT,25.9,14637022,JPY_1000,25.8,MetalChart_AgriChart_Dummy
2019,Silver,precious,CHN,中華人民共和国,281,MT,17.5,9842000,JPY_1000,17.4,MetalChart_AgriChart_Dummy
2019,Silver,precious,AUS,オーストラリア,249,MT,15.5,8722954,JPY_1000,15.4,MetalChart_AgriChart_Dummy
2019,Silver,precious,CHL,チリ,216,MT,13.4,7574568,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2020,Silver,precious,MEX,メキシコ,451,MT,27.4,16042888,JPY_1000,27.7,MetalChart_AgriChart_Dummy
