year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Tin,base,IDN,インドネシア,62310,MT,34.1,215108960,JPY_1000,34.1,MetalChart_AgriChart_Dummy
2010,Tin,base,MYS,マレーシア,47335,MT,25.9,163198040,JPY_1000,25.8,MetalChart_AgriChart_Dummy
2010,Tin,base,PER,ペルー,29602,MT,16.2,102500000,JPY_1000,16.2,MetalChart_AgriChart_Dummy
2010,Tin,base,BOL,ボリビア,25530,MT,14.0,87982720,JPY_1000,13.9,MetalChart_AgriChart_Dummy
2010,Tin,base,BRA,ブラジル,18177,MT,9.9,62868744,JPY_1000,10.0,MetalChart_AgriChart_Dummy
2011,Tin,base,IDN,インドネシア,63424,MT,33.8,218953856,JPY_1000,33.8,MetalChart_AgriChart_Dummy
2011,Tin,base,MYS,マレーシア,48440,MT,25.8,167007344,JPY_1000,25.8,MetalChart_AgriChart_Dummy
2011,Tin,base,PER,ペルー,30468,MT,16.2,105500000,JPY_1000,16.3,MetalChart_AgriChart_Dummy
2011,Tin,base,BOL,ボリビア,26442,MT,14.1,91124992,JPY_1000,14.1,MetalChart_AgriChart_Dummy
2011,Tin,base,BRA,ブラジル,18954,MT,10.1,65556518,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2012,Tin,base,IDN,インドネシア,64497,MT,33.5,222659360,JPY_1000,33.5,MetalChart_AgriChart_Dummy
2012,Tin,base,MYS,マレーシア,49529,MT,25.7,170761640,JPY_1000,25.7,MetalChart_AgriChart_Dummy
2012,Tin,base,PER,ペルー,31334,MT,16.3,108500000,JPY_1000,16.3,MetalChart_AgriChart_Dummy
2012,Tin,base,BOL,ボリビア,27363,MT,14.2,94299520,JPY_1000,14.2,MetalChart_AgriChart_Dummy
2012,Tin,base,BRA,ブラジル,19745,MT,10.3,68292504,JPY_1000,10.3,MetalChart_AgriChart_Dummy
2013,Tin,base,IDN,インドネシア,65530,MT,33.2,226225471,JPY_1000,33.2,MetalChart_AgriChart_Dummy
2013,Tin,base,MYS,マレーシア,50602,MT,25.7,174460927,JPY_1000,25.6,MetalChart_AgriChart_Dummy
2013,Tin,base,PER,ペルー,32201,MT,16.3,111499999,JPY_1000,16.4,MetalChart_AgriChart_Dummy
2013,Tin,base,BOL,ボリビア,28294,MT,14.3,97506303,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2013,Tin,base,BRA,ブラジル,20550,MT,10.4,71076700,JPY_1000,10.4,MetalChart_AgriChart_Dummy
2014,Tin,base,IDN,インドネシア,66523,MT,33.0,229652191,JPY_1000,33.0,MetalChart_AgriChart_Dummy
2014,Tin,base,MYS,マレーシア,51659,MT,25.6,178105208,JPY_1000,25.6,MetalChart_AgriChart_Dummy
2014,Tin,base,PER,ペルー,33067,MT,16.4,114499999,JPY_1000,16.4,MetalChart_AgriChart_Dummy
2014,Tin,base,BOL,ボリビア,29234,MT,14.5,100745343,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2014,Tin,base,BRA,ブラジル,21369,MT,10.6,73909108,JPY_1000,10.6,MetalChart_AgriChart_Dummy
2015,Tin,base,IDN,インドネシア,67475,MT,32.7,232939520,JPY_1000,32.7,MetalChart_AgriChart_Dummy
2015,Tin,base,MYS,マレーシア,52700,MT,25.5,181694480,JPY_1000,25.5,MetalChart_AgriChart_Dummy
2015,Tin,base,PER,ペルー,33934,MT,16.4,117500000,JPY_1000,16.5,MetalChart_AgriChart_Dummy
2015,Tin,base,BOL,ボリビア,30183,MT,14.6,104016640,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2015,Tin,base,BRA,ブラジル,22202,MT,10.8,76789728,JPY_1000,10.8,MetalChart_AgriChart_Dummy
2016,Tin,base,IDN,インドネシア,68387,MT,32.4,236087456,JPY_1000,32.4,MetalChart_AgriChart_Dummy
2016,Tin,base,MYS,マレーシア,53726,MT,25.5,185228744,JPY_1000,25.4,MetalChart_AgriChart_Dummy
2016,Tin,base,PER,ペルー,34800,MT,16.5,120500000,JPY_1000,16.5,MetalChart_AgriChart_Dummy
2016,Tin,base,BOL,ボリビア,31142,MT,14.8,107320192,JPY_1000,14.7,MetalChart_AgriChart_Dummy
2016,Tin,base,BRA,ブラジル,23048,MT,10.9,79718558,JPY_1000,10.9,MetalChart_AgriChart_Dummy
2017,Tin,base,IDN,インドネシア,69258,MT,32.1,239096000,JPY_1000,32.1,MetalChart_AgriChart_Dummy
2017,Tin,base,MYS,マレーシア,54735,MT,25.4,188708000,JPY_1000,25.3,MetalChart_AgriChart_Dummy
2017,Tin,base,PER,ペルー,35666,MT,16.5,123500000,JPY_1000,16.6,MetalChart_AgriChart_Dummy
2017,Tin,base,BOL,ボリビア,32110,MT,14.9,110656000,JPY_1000,14.9,MetalChart_AgriChart_Dummy
2017,Tin,base,BRA,ブラジル,23909,MT,11.1,82695600,JPY_1000,11.1,MetalChart_AgriChart_Dummy
2018,Tin,base,IDN,インドネシア,70089,MT,31.8,241965152,JPY_1000,31.8,MetalChart_AgriChart_Dummy
2018,Tin,base,MYS,マレーシア,55728,MT,25.3,192132248,JPY_1000,25.3,MetalChart_AgriChart_Dummy
2018,Tin,base,PER,ペルー,36533,MT,16.6,126500000,JPY_1000,16.6,MetalChart_AgriChart_Dummy
2018,Tin,base,BOL,ボリビア,33087,MT,15.0,114024064,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2018,Tin,base,BRA,ブラジル,24784,MT,11.3,85720852,JPY_1000,11.3,MetalChart_AgriChart_Dummy
2019,Tin,base,IDN,インドネシア,70880,MT,31.5,244694912,JPY_1000,31.5,MetalChart_AgriChart_Dummy
2019,Tin,base,MYS,マレーシア,56705,MT,25.2,195501488,JPY_1000,25.2,MetalChart_AgriChart_Dummy
2019,Tin,base,PER,ペルー,37399,MT,16.6,129500000,JPY_1000,16.7,MetalChart_AgriChart_Dummy
2019,Tin,base,BOL,ボリビア,34074,MT,15.2,117424384,JPY_1000,15.1,MetalChart_AgriChart_Dummy
2019,Tin,base,BRA,ブラジル,25672,MT,11.4,88794316,JPY_1000,11.4,MetalChart_AgriChart_Dummy
