year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Titanium,light,CHN,中華人民共和国,215108,MT,35.8,94221280,JPY_1000,35.7,MetalChart_AgriChart_Dummy
2010,Titanium,light,JPN,日本,134147,MT,22.3,58956360,JPY_1000,22.3,MetalChart_AgriChart_Dummy
2010,Titanium,light,RUS,ロシア,105780,MT,17.6,46576000,JPY_1000,17.6,MetalChart_AgriChart_Dummy
2010,Titanium,light,KAZ,カザフスタン,83269,MT,13.9,36685652,JPY_1000,13.9,MetalChart_AgriChart_Dummy
2010,Titanium,light,USA,アメリカ合衆国,62493,MT,10.4,27490992,JPY_1000,10.4,MetalChart_AgriChart_Dummy
2011,Titanium,light,CHN,中華人民共和国,218953,MT,35.5,95905408,JPY_1000,35.4,MetalChart_AgriChart_Dummy
2011,Titanium,light,JPN,日本,137278,MT,22.3,60332496,JPY_1000,22.3,MetalChart_AgriChart_Dummy
2011,Titanium,light,RUS,ロシア,108876,MT,17.7,47939200,JPY_1000,17.7,MetalChart_AgriChart_Dummy
2011,Titanium,light,KAZ,カザフスタン,86243,MT,14.0,37995867,JPY_1000,14.0,MetalChart_AgriChart_Dummy
2011,Titanium,light,USA,アメリカ合衆国,65164,MT,10.6,28666291,JPY_1000,10.6,MetalChart_AgriChart_Dummy
2012,Titanium,light,CHN,中華人民共和国,222659,MT,35.2,97528480,JPY_1000,35.1,MetalChart_AgriChart_Dummy
2012,Titanium,light,JPN,日本,140364,MT,22.2,61688760,JPY_1000,22.2,MetalChart_AgriChart_Dummy
2012,Titanium,light,RUS,ロシア,111972,MT,17.7,49302400,JPY_1000,17.8,MetalChart_AgriChart_Dummy
2012,Titanium,light,KAZ,カザフスタン,89247,MT,14.1,39319532,JPY_1000,14.2,MetalChart_AgriChart_Dummy
2012,Titanium,light,USA,アメリカ合衆国,67884,MT,10.7,29862672,JPY_1000,10.8,MetalChart_AgriChart_Dummy
2013,Titanium,light,CHN,中華人民共和国,226225,MT,34.9,99090495,JPY_1000,34.8,MetalChart_AgriChart_Dummy
2013,Titanium,light,JPN,日本,143405,MT,22.1,63025151,JPY_1000,22.2,MetalChart_AgriChart_Dummy
2013,Titanium,light,RUS,ロシア,115067,MT,17.8,50665599,JPY_1000,17.8,MetalChart_AgriChart_Dummy
2013,Titanium,light,KAZ,カザフスタン,92282,MT,14.2,40656646,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2013,Titanium,light,USA,アメリカ合衆国,70652,MT,10.9,31080134,JPY_1000,10.9,MetalChart_AgriChart_Dummy
2014,Titanium,light,CHN,中華人民共和国,229652,MT,34.6,100591455,JPY_1000,34.5,MetalChart_AgriChart_Dummy
2014,Titanium,light,JPN,日本,146400,MT,22.1,64341671,JPY_1000,22.1,MetalChart_AgriChart_Dummy
2014,Titanium,light,RUS,ロシア,118163,MT,17.8,52028799,JPY_1000,17.9,MetalChart_AgriChart_Dummy
2014,Titanium,light,KAZ,カザフスタン,95348,MT,14.4,42007210,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2014,Titanium,light,USA,アメリカ合衆国,73467,MT,11.1,32318678,JPY_1000,11.1,MetalChart_AgriChart_Dummy
2015,Titanium,light,CHN,中華人民共和国,232939,MT,34.3,102031360,JPY_1000,34.2,MetalChart_AgriChart_Dummy
2015,Titanium,light,JPN,日本,149350,MT,22.0,65638320,JPY_1000,22.0,MetalChart_AgriChart_Dummy
2015,Titanium,light,RUS,ロシア,121260,MT,17.9,53392000,JPY_1000,17.9,MetalChart_AgriChart_Dummy
2015,Titanium,light,KAZ,カザフスタン,98444,MT,14.5,43371224,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2015,Titanium,light,USA,アメリカ合衆国,76331,MT,11.3,33578304,JPY_1000,11.3,MetalChart_AgriChart_Dummy
2016,Titanium,light,CHN,中華人民共和国,236087,MT,34.0,103410208,JPY_1000,33.9,MetalChart_AgriChart_Dummy
2016,Titanium,light,JPN,日本,152256,MT,22.0,66915096,JPY_1000,22.0,MetalChart_AgriChart_Dummy
2016,Titanium,light,RUS,ロシア,124356,MT,17.9,54755200,JPY_1000,18.0,MetalChart_AgriChart_Dummy
2016,Titanium,light,KAZ,カザフスタン,101570,MT,14.6,44748687,JPY_1000,14.7,MetalChart_AgriChart_Dummy
2016,Titanium,light,USA,アメリカ合衆国,79242,MT,11.4,34859011,JPY_1000,11.4,MetalChart_AgriChart_Dummy
2017,Titanium,light,CHN,中華人民共和国,239096,MT,33.7,104728000,JPY_1000,33.6,MetalChart_AgriChart_Dummy
2017,Titanium,light,JPN,日本,155116,MT,21.9,68172000,JPY_1000,21.9,MetalChart_AgriChart_Dummy
2017,Titanium,light,RUS,ロシア,127452,MT,18.0,56118400,JPY_1000,18.0,MetalChart_AgriChart_Dummy
2017,Titanium,light,KAZ,カザフスタン,104728,MT,14.8,46139600,JPY_1000,14.8,MetalChart_AgriChart_Dummy
2017,Titanium,light,USA,アメリカ合衆国,82201,MT,11.6,36160800,JPY_1000,11.6,MetalChart_AgriChart_Dummy
2018,Titanium,light,CHN,中華人民共和国,241965,MT,33.4,105984736,JPY_1000,33.3,MetalChart_AgriChart_Dummy
2018,Titanium,light,JPN,日本,157930,MT,21.8,69409032,JPY_1000,21.8,MetalChart_AgriChart_Dummy
2018,Titanium,light,RUS,ロシア,130548,MT,18.0,57481600,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2018,Titanium,light,KAZ,カザフスタン,107915,MT,14.9,47543962,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2018,Titanium,light,USA,アメリカ合衆国,85208,MT,11.8,37483670,JPY_1000,11.8,MetalChart_AgriChart_Dummy
2019,Titanium,light,CHN,中華人民共和国,244694,MT,33.1,107180416,JPY_1000,33.0,MetalChart_AgriChart_Dummy
2019,Titanium,light,JPN,日本,160700,MT,21.8,70626192,JPY_1000,21.8,MetalChart_AgriChart_Dummy
2019,Titanium,light,RUS,ロシア,133644,MT,18.1,58844800,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2019,Titanium,light,KAZ,カザフスタン,111133,MT,15.0,48961774,JPY_1000,15.1,MetalChart_AgriChart_Dummy
2019,Titanium,light,USA,アメリカ合衆国,88263,MT,12.0,38827622,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2020,Titanium,light,CHN,中華人民共和国,247285,MT,32.8,108315040,JPY_1000,32.7,MetalChart_AgriChart_Dummy
2020,Titanium,light,JPN,日本,163424,MT,21.7,71823480,JPY_1000,21.7,MetalChart_AgriChart_Dummy
2020,Titanium,light,RUS,ロシア,136740,MT,18.2,60208000,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2020,Titanium,light,KAZ,カザフスタン,114382,MT,15.2,50393036,JPY_1000,15.2,MetalChart_AgriChart_Dummy
2020,Titanium,light,USA,アメリカ合衆国,91366,MT,12.1,40192656,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2021,Titanium,light,CHN,中華人民共和国,249736,MT,32.5,109388607,JPY_1000,32.4,MetalChart_AgriChart_Dummy
2021,Titanium,light,JPN,日本,166103,MT,21.6,73000895,JPY_1000,21.6,MetalChart_AgriChart_Dummy
2021,Titanium,light,RUS,ロシア,139835,MT,18.2,61571199,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2021,Titanium,light,KAZ,カザフスタン,117661,MT,15.3,51837747,JPY_1000,15.4,MetalChart_AgriChart_Dummy
2021,Titanium,light,USA,アメリカ合衆国,94517,MT,12.3,41578771,JPY_1000,12.3,MetalChart_AgriChart_Dummy
2022,Titanium,light,CHN,中華人民共和国,252047,MT,32.2,110401119,JPY_1000,32.1,MetalChart_AgriChart_Dummy
2022,Titanium,light,JPN,日本,168737,MT,21.6,74158439,JPY_1000,21.6,MetalChart_AgriChart_Dummy
2022,Titanium,light,RUS,ロシア,142931,MT,18.3,62934399,JPY_1000,18.3,MetalChart_AgriChart_Dummy
2022,Titanium,light,KAZ,カザフスタン,120971,MT,15.5,53295907,JPY_1000,15.5,MetalChart_AgriChart_Dummy
2022,Titanium,light,USA,アメリカ合衆国,97716,MT,12.5,42985967,JPY_1000,12.5,MetalChart_AgriChart_Dummy
2023,Titanium,light,CHN,中華人民共和国,254220,MT,31.9,111352575,JPY_1000,31.8,MetalChart_AgriChart_Dummy
2023,Titanium,light,JPN,日本,171325,MT,21.5,75296112,JPY_1000,21.5,MetalChart_AgriChart_Dummy
2023,Titanium,light,RUS,ロシア,146028,MT,18.3,64297599,JPY_1000,18.4,MetalChart_AgriChart_Dummy
2023,Titanium,light,KAZ,カザフスタン,124311,MT,15.6,54767518,JPY_1000,15.6,MetalChart_AgriChart_Dummy
2023,Titanium,light,USA,アメリカ合衆国,100963,MT,12.7,44414246,JPY_1000,12.7,MetalChart_AgriChart_Dummy
2024,Titanium,light,CHN,中華人民共和国,256252,MT,31.6,112242975,JPY_1000,31.5,MetalChart_AgriChart_Dummy
2024,Titanium,light,JPN,日本,173869,MT,21.4,76413912,JPY_1000,21.4,MetalChart_AgriChart_Dummy
2024,Titanium,light,RUS,ロシア,149124,MT,18.4,65660799,JPY_1000,18.4,MetalChart_AgriChart_Dummy
2024,Titanium,light,KAZ,カザフスタン,127682,MT,15.7,56252578,JPY_1000,15.8,MetalChart_AgriChart_Dummy
2024,Titanium,light,USA,アメリカ合衆国,104258,MT,12.9,45863606,JPY_1000,12.9,MetalChart_AgriChart_Dummy
2025,Titanium,light,CHN,中華人民共和国,258146,MT,31.3,113072320,JPY_1000,31.2,MetalChart_AgriChart_Dummy
2025,Titanium,light,JPN,日本,176367,MT,21.4,77511840,JPY_1000,21.4,MetalChart_AgriChart_Dummy
2025,Titanium,light,RUS,ロシア,152220,MT,18.4,67024000,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2025,Titanium,light,KAZ,カザフスタン,131083,MT,15.9,57751088,JPY_1000,15.9,MetalChart_AgriChart_Dummy
2025,Titanium,light,USA,アメリカ合衆国,107600,MT,13.0,47334048,JPY_1000,13.1,MetalChart_AgriChart_Dummy
