year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Uranium,nuclear,KAZ,カザフスタン,16444,MT,53.7,94221280,JPY_1000,53.7,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,AUS,オーストラリア,4494,MT,14.7,25718644,JPY_1000,14.7,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,CAN,カナダ,4108,MT,13.4,23534000,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,NAM,ナミビア,3676,MT,12.0,21053008,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,NER,ニジェール,1900,MT,6.2,10891240,JPY_1000,6.2,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,KAZ,カザフスタン,16738,MT,53.4,95905408,JPY_1000,53.4,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,AUS,オーストラリア,4599,MT,14.7,26318958,JPY_1000,14.7,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,CAN,カナダ,4228,MT,13.5,24222800,JPY_1000,13.5,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,NAM,ナミビア,3807,MT,12.1,21804908,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,NER,ニジェール,1981,MT,6.3,11356864,JPY_1000,6.3,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,KAZ,カザフスタン,17021,MT,53.1,97528480,JPY_1000,53.1,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,AUS,オーストラリア,4702,MT,14.7,26910604,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,CAN,カナダ,4348,MT,13.6,24911600,JPY_1000,13.6,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,NAM,ナミビア,3940,MT,12.3,22564528,JPY_1000,12.3,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,NER,ニジェール,2064,MT,6.4,11830840,JPY_1000,6.4,MetalChart_AgriChart_Dummy
