year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Aluminum,base,CHN,中華人民共和国,3288856,MT,23.8,3999960000,JPY_1000,23.8,MetalChart_AgriChart_Dummy
2010,Aluminum,base,IND,インド,3332316,MT,24.1,4058590000,JPY_1000,24.2,MetalChart_AgriChart_Dummy
2010,Aluminum,base,RUS,ロシア,2952000,MT,21.4,3591600000,JPY_1000,21.4,MetalChart_AgriChart_Dummy
2010,Aluminum,base,CAN,カナダ,2278124,MT,16.5,2773026800,JPY_1000,16.5,MetalChart_AgriChart_Dummy
2010,Aluminum,base,ARE,アラブ首長国連邦,1952912,MT,14.1,2381050400,JPY_1000,14.2,MetalChart_AgriChart_Dummy
2011,Aluminum,base,CHN,中華人民共和国,3347641,MT,23.6,4071456000,JPY_1000,23.6,MetalChart_AgriChart_Dummy
2011,Aluminum,base,IND,インド,3410097,MT,24.0,4153324000,JPY_1000,24.0,MetalChart_AgriChart_Dummy
2011,Aluminum,base,RUS,ロシア,3038400,MT,21.4,3696720000,JPY_1000,21.4,MetalChart_AgriChart_Dummy
2011,Aluminum,base,CAN,カナダ,2359486,MT,16.6,2872064480,JPY_1000,16.6,MetalChart_AgriChart_Dummy
2011,Aluminum,base,ARE,アラブ首長国連邦,2036403,MT,14.3,2482845440,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2012,Aluminum,base,CHN,中華人民共和国,3404296,MT,23.4,4140360000,JPY_1000,23.3,MetalChart_AgriChart_Dummy
2012,Aluminum,base,IND,インド,3486756,MT,23.9,4246690000,JPY_1000,23.9,MetalChart_AgriChart_Dummy
2012,Aluminum,base,RUS,ロシア,3124800,MT,21.4,3801840000,JPY_1000,21.4,MetalChart_AgriChart_Dummy
2012,Aluminum,base,CAN,カナダ,2441684,MT,16.7,2972118800,JPY_1000,16.7,MetalChart_AgriChart_Dummy
2012,Aluminum,base,ARE,アラブ首長国連邦,2121392,MT,14.6,2586466400,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2013,Aluminum,base,CHN,中華人民共和国,3458819,MT,23.1,4206671999,JPY_1000,23.1,MetalChart_AgriChart_Dummy
2013,Aluminum,base,IND,インド,3562291,MT,23.8,4338688000,JPY_1000,23.8,MetalChart_AgriChart_Dummy
2013,Aluminum,base,RUS,ロシア,3211199,MT,21.5,3906959999,JPY_1000,21.4,MetalChart_AgriChart_Dummy
2013,Aluminum,base,CAN,カナダ,2524716,MT,16.9,3073189759,JPY_1000,16.9,MetalChart_AgriChart_Dummy
2013,Aluminum,base,ARE,アラブ首長国連邦,2207878,MT,14.8,2691913279,JPY_1000,14.8,MetalChart_AgriChart_Dummy
2014,Aluminum,base,CHN,中華人民共和国,3511211,MT,22.9,4270391999,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2014,Aluminum,base,IND,インド,3636703,MT,23.7,4429318000,JPY_1000,23.7,MetalChart_AgriChart_Dummy
2014,Aluminum,base,RUS,ロシア,3297599,MT,21.5,4012079999,JPY_1000,21.5,MetalChart_AgriChart_Dummy
2014,Aluminum,base,CAN,カナダ,2608584,MT,17.0,3175277359,JPY_1000,17.0,MetalChart_AgriChart_Dummy
2014,Aluminum,base,ARE,アラブ首長国連邦,2295862,MT,15.0,2799186080,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2015,Aluminum,base,CHN,中華人民共和国,3561472,MT,22.6,4331520000,JPY_1000,22.6,MetalChart_AgriChart_Dummy
2015,Aluminum,base,IND,インド,3709992,MT,23.6,4518580000,JPY_1000,23.6,MetalChart_AgriChart_Dummy
2015,Aluminum,base,RUS,ロシア,3384000,MT,21.5,4117200000,JPY_1000,21.5,MetalChart_AgriChart_Dummy
2015,Aluminum,base,CAN,カナダ,2693288,MT,17.1,3278381600,JPY_1000,17.1,MetalChart_AgriChart_Dummy
