year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Copper,base,CHL,チリ,5066616,MT,48.6,3111080000,JPY_1000,48.6,MetalChart_AgriChart_Dummy
2010,Copper,base,PER,ペルー,2050655,MT,19.7,1256026800,JPY_1000,19.6,MetalChart_AgriChart_Dummy
2010,Copper,base,CHN,中華人民共和国,1394000,MT,13.4,852800000,JPY_1000,13.3,MetalChart_AgriChart_Dummy
2010,Copper,base,USA,アメリカ合衆国,942671,MT,9.0,578172160,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2010,Copper,base,COD,コンゴ民主共和国,976456,MT,9.4,599393760,JPY_1000,9.4,MetalChart_AgriChart_Dummy
2011,Copper,base,CHL,チリ,5157177,MT,48.3,3166688000,JPY_1000,48.3,MetalChart_AgriChart_Dummy
2011,Copper,base,PER,ペルー,2098521,MT,19.6,1285344480,JPY_1000,19.6,MetalChart_AgriChart_Dummy
2011,Copper,base,CHN,中華人民共和国,1434800,MT,13.4,877760000,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2011,Copper,base,USA,アメリカ合衆国,976339,MT,9.1,598821376,JPY_1000,9.1,MetalChart_AgriChart_Dummy
2011,Copper,base,COD,コンゴ民主共和国,1018201,MT,9.5,625019136,JPY_1000,9.5,MetalChart_AgriChart_Dummy
2012,Copper,base,CHL,チリ,5244456,MT,48.0,3220280000,JPY_1000,48.0,MetalChart_AgriChart_Dummy
2012,Copper,base,PER,ペルー,2145696,MT,19.6,1314238800,JPY_1000,19.6,MetalChart_AgriChart_Dummy
2012,Copper,base,CHN,中華人民共和国,1475600,MT,13.5,902720000,JPY_1000,13.5,MetalChart_AgriChart_Dummy
2012,Copper,base,USA,アメリカ合衆国,1010352,MT,9.2,619682560,JPY_1000,9.2,MetalChart_AgriChart_Dummy
2012,Copper,base,COD,コンゴ民主共和国,1060696,MT,9.7,651104160,JPY_1000,9.7,MetalChart_AgriChart_Dummy
2013,Copper,base,CHL,チリ,5328451,MT,47.6,3271855999,JPY_1000,47.7,MetalChart_AgriChart_Dummy
2013,Copper,base,PER,ペルー,2192179,MT,19.6,1342709759,JPY_1000,19.6,MetalChart_AgriChart_Dummy
2013,Copper,base,CHN,中華人民共和国,1516399,MT,13.6,927679999,JPY_1000,13.5,MetalChart_AgriChart_Dummy
