year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Gold,precious,CHN,中華人民共和国,337,MT,30.6,106665600,JPY_1000,30.6,MetalChart_AgriChart_Dummy
2010,Gold,precious,AUS,オーストラリア,273,MT,24.8,86298440,JPY_1000,24.7,MetalChart_AgriChart_Dummy
2010,Gold,precious,RUS,ロシア,254,MT,23.0,80360000,JPY_1000,23.0,MetalChart_AgriChart_Dummy
2010,Gold,precious,USA,アメリカ合衆国,157,MT,14.2,49490280,JPY_1000,14.2,MetalChart_AgriChart_Dummy
2010,Gold,precious,ZAF,南アフリカ共和国,82,MT,7.4,26289200,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2011,Gold,precious,CHN,中華人民共和国,343,MT,30.3,108572160,JPY_1000,30.3,MetalChart_AgriChart_Dummy
2011,Gold,precious,AUS,オーストラリア,279,MT,24.7,88312784,JPY_1000,24.6,MetalChart_AgriChart_Dummy
2011,Gold,precious,RUS,ロシア,261,MT,23.1,82712000,JPY_1000,23.1,MetalChart_AgriChart_Dummy
2011,Gold,precious,USA,アメリカ合衆国,162,MT,14.3,51257808,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2011,Gold,precious,ZAF,南アフリカ共和国,86,MT,7.6,27413119,JPY_1000,7.7,MetalChart_AgriChart_Dummy
2012,Gold,precious,CHN,中華人民共和国,349,MT,30.1,110409600,JPY_1000,30.1,MetalChart_AgriChart_Dummy
2012,Gold,precious,AUS,オーストラリア,286,MT,24.6,90298040,JPY_1000,24.6,MetalChart_AgriChart_Dummy
2012,Gold,precious,RUS,ロシア,269,MT,23.2,85064000,JPY_1000,23.2,MetalChart_AgriChart_Dummy
2012,Gold,precious,USA,アメリカ合衆国,168,MT,14.5,53043480,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2012,Gold,precious,ZAF,南アフリカ共和国,89,MT,7.7,28557200,JPY_1000,7.8,MetalChart_AgriChart_Dummy
2013,Gold,precious,CHN,中華人民共和国,355,MT,29.8,112177919,JPY_1000,29.8,MetalChart_AgriChart_Dummy
2013,Gold,precious,AUS,オーストラリア,292,MT,24.5,92254207,JPY_1000,24.5,MetalChart_AgriChart_Dummy
2013,Gold,precious,RUS,ロシア,276,MT,23.2,87415999,JPY_1000,23.2,MetalChart_AgriChart_Dummy
2013,Gold,precious,USA,アメリカ合衆国,174,MT,14.6,54847295,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2013,Gold,precious,ZAF,南アフリカ共和国,93,MT,7.8,29721439,JPY_1000,7.9,MetalChart_AgriChart_Dummy
2014,Gold,precious,CHN,中華人民共和国,360,MT,29.6,113877119,JPY_1000,29.5,MetalChart_AgriChart_Dummy
2014,Gold,precious,AUS,オーストラリア,298,MT,24.5,94181287,JPY_1000,24.4,MetalChart_AgriChart_Dummy
2014,Gold,precious,RUS,ロシア,283,MT,23.3,89768000,JPY_1000,23.3,MetalChart_AgriChart_Dummy
2014,Gold,precious,USA,アメリカ合衆国,179,MT,14.7,56669255,JPY_1000,14.7,MetalChart_AgriChart_Dummy
2014,Gold,precious,ZAF,南アフリカ共和国,97,MT,8.0,30905839,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2015,Gold,precious,CHN,中華人民共和国,365,MT,29.3,115507200,JPY_1000,29.3,MetalChart_AgriChart_Dummy
2015,Gold,precious,AUS,オーストラリア,304,MT,24.4,96079280,JPY_1000,24.4,MetalChart_AgriChart_Dummy
2015,Gold,precious,RUS,ロシア,291,MT,23.4,92120000,JPY_1000,23.4,MetalChart_AgriChart_Dummy
2015,Gold,precious,USA,アメリカ合衆国,185,MT,14.9,58509360,JPY_1000,14.8,MetalChart_AgriChart_Dummy
2015,Gold,precious,ZAF,南アフリカ共和国,100,MT,8.0,32110399,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2016,Gold,precious,CHN,中華人民共和国,370,MT,29.1,117068160,JPY_1000,29.0,MetalChart_AgriChart_Dummy
2016,Gold,precious,AUS,オーストラリア,310,MT,24.4,97948184,JPY_1000,24.3,MetalChart_AgriChart_Dummy
2016,Gold,precious,RUS,ロシア,298,MT,23.4,94472000,JPY_1000,23.4,MetalChart_AgriChart_Dummy
2016,Gold,precious,USA,アメリカ合衆国,191,MT,15.0,60367608,JPY_1000,15.0,MetalChart_AgriChart_Dummy
