year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Lithium,battery,AUS,オーストラリア,54221,MT,45.9,83554720,JPY_1000,45.9,MetalChart_AgriChart_Dummy
2010,Lithium,battery,CHL,チリ,32875,MT,27.8,50661896,JPY_1000,27.8,MetalChart_AgriChart_Dummy
2010,Lithium,battery,CHN,中華人民共和国,26302,MT,22.3,40569336,JPY_1000,22.3,MetalChart_AgriChart_Dummy
2010,Lithium,battery,ARG,アルゼンチン,4656,MT,3.9,7173195,JPY_1000,3.9,MetalChart_AgriChart_Dummy
2011,Lithium,battery,AUS,オーストラリア,55190,MT,45.6,85048192,JPY_1000,45.6,MetalChart_AgriChart_Dummy
2011,Lithium,battery,CHL,チリ,33705,MT,27.9,51941785,JPY_1000,27.9,MetalChart_AgriChart_Dummy
2011,Lithium,battery,CHN,中華人民共和国,27183,MT,22.5,41928569,JPY_1000,22.5,MetalChart_AgriChart_Dummy
2011,Lithium,battery,ARG,アルゼンチン,4856,MT,4.0,7479865,JPY_1000,4.0,MetalChart_AgriChart_Dummy
2012,Lithium,battery,AUS,オーストラリア,56124,MT,45.3,86487520,JPY_1000,45.3,MetalChart_AgriChart_Dummy
2012,Lithium,battery,CHL,チリ,34529,MT,27.9,53210136,JPY_1000,27.9,MetalChart_AgriChart_Dummy
2012,Lithium,battery,CHN,中華人民共和国,28071,MT,22.7,43297576,JPY_1000,22.7,MetalChart_AgriChart_Dummy
2012,Lithium,battery,ARG,アルゼンチン,5058,MT,4.1,7792036,JPY_1000,4.1,MetalChart_AgriChart_Dummy
2013,Lithium,battery,AUS,オーストラリア,57023,MT,45.0,87872703,JPY_1000,45.0,MetalChart_AgriChart_Dummy
2013,Lithium,battery,CHL,チリ,35344,MT,27.9,54466947,JPY_1000,27.9,MetalChart_AgriChart_Dummy
2013,Lithium,battery,CHN,中華人民共和国,28965,MT,22.9,44676355,JPY_1000,22.9,MetalChart_AgriChart_Dummy
2013,Lithium,battery,ARG,アルゼンチン,5264,MT,4.2,8109707,JPY_1000,4.2,MetalChart_AgriChart_Dummy
2014,Lithium,battery,AUS,オーストラリア,57887,MT,44.7,89203744,JPY_1000,44.7,MetalChart_AgriChart_Dummy
2014,Lithium,battery,CHL,チリ,36152,MT,27.9,55712219,JPY_1000,27.9,MetalChart_AgriChart_Dummy
2014,Lithium,battery,CHN,中華人民共和国,29865,MT,23.1,46064907,JPY_1000,23.1,MetalChart_AgriChart_Dummy
2014,Lithium,battery,ARG,アルゼンチン,5474,MT,4.2,8432879,JPY_1000,4.2,MetalChart_AgriChart_Dummy
2015,Lithium,battery,AUS,オーストラリア,58716,MT,44.4,90480640,JPY_1000,44.4,MetalChart_AgriChart_Dummy
2015,Lithium,battery,CHL,チリ,36953,MT,28.0,56945952,JPY_1000,28.0,MetalChart_AgriChart_Dummy
2015,Lithium,battery,CHN,中華人民共和国,30771,MT,23.3,47463232,JPY_1000,23.3,MetalChart_AgriChart_Dummy
2015,Lithium,battery,ARG,アルゼンチン,5688,MT,4.3,8761552,JPY_1000,4.3,MetalChart_AgriChart_Dummy
2016,Lithium,battery,AUS,オーストラリア,59509,MT,44.1,91703392,JPY_1000,44.1,MetalChart_AgriChart_Dummy
2016,Lithium,battery,CHL,チリ,37746,MT,28.0,58168145,JPY_1000,28.0,MetalChart_AgriChart_Dummy
2016,Lithium,battery,CHN,中華人民共和国,31684,MT,23.5,48871329,JPY_1000,23.5,MetalChart_AgriChart_Dummy
2016,Lithium,battery,ARG,アルゼンチン,5905,MT,4.4,9095725,JPY_1000,4.4,MetalChart_AgriChart_Dummy
2017,Lithium,battery,AUS,オーストラリア,60268,MT,43.8,92872000,JPY_1000,43.8,MetalChart_AgriChart_Dummy
2017,Lithium,battery,CHL,チリ,38532,MT,28.0,59378800,JPY_1000,28.0,MetalChart_AgriChart_Dummy
2017,Lithium,battery,CHN,中華人民共和国,32604,MT,23.7,50289200,JPY_1000,23.7,MetalChart_AgriChart_Dummy
2017,Lithium,battery,ARG,アルゼンチン,6125,MT,4.5,9435400,JPY_1000,4.5,MetalChart_AgriChart_Dummy
2018,Lithium,battery,AUS,オーストラリア,60991,MT,43.5,93986464,JPY_1000,43.5,MetalChart_AgriChart_Dummy
2018,Lithium,battery,CHL,チリ,39310,MT,28.0,60577915,JPY_1000,28.0,MetalChart_AgriChart_Dummy
2018,Lithium,battery,CHN,中華人民共和国,33529,MT,23.9,51716843,JPY_1000,23.9,MetalChart_AgriChart_Dummy
2018,Lithium,battery,ARG,アルゼンチン,6349,MT,4.5,9780575,JPY_1000,4.5,MetalChart_AgriChart_Dummy
2019,Lithium,battery,AUS,オーストラリア,61679,MT,43.2,95046784,JPY_1000,43.2,MetalChart_AgriChart_Dummy
