year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Manganese,ferrous,ZAF,南アフリカ共和国,6577712,MT,44.6,140443040,JPY_1000,44.6,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,CHN,中華人民共和国,2477876,MT,16.8,52889836,JPY_1000,16.8,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,GAB,ガボン,2214000,MT,15.0,47232000,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,AUS,オーストラリア,2592348,MT,17.6,55303424,JPY_1000,17.6,MetalChart_AgriChart_Dummy
2010,Manganese,ferrous,BRA,ブラジル,901343,MT,6.1,19228672,JPY_1000,6.1,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,ZAF,南アフリカ共和国,6695283,MT,44.2,142953344,JPY_1000,44.3,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,CHN,中華人民共和国,2535713,MT,16.8,54124369,JPY_1000,16.8,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,GAB,ガボン,2278800,MT,15.1,48614400,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,AUS,オーストラリア,2684932,MT,17.7,57278566,JPY_1000,17.7,MetalChart_AgriChart_Dummy
2011,Manganese,ferrous,BRA,ブラジル,939878,MT,6.2,20050739,JPY_1000,6.2,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,ZAF,南アフリカ共和国,6808592,MT,43.9,145372640,JPY_1000,43.9,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,CHN,中華人民共和国,2592716,MT,16.7,55341076,JPY_1000,16.7,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,GAB,ガボン,2343600,MT,15.1,49996800,JPY_1000,15.1,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,AUS,オーストラリア,2778468,MT,17.9,59273984,JPY_1000,17.9,MetalChart_AgriChart_Dummy
2012,Manganese,ferrous,BRA,ブラジル,979104,MT,6.3,20887552,JPY_1000,6.3,MetalChart_AgriChart_Dummy
2013,Manganese,ferrous,ZAF,南アフリカ共和国,6917638,MT,43.6,147700927,JPY_1000,43.6,MetalChart_AgriChart_Dummy
2013,Manganese,ferrous,CHN,中華人民共和国,2648883,MT,16.7,56539955,JPY_1000,16.7,MetalChart_AgriChart_Dummy
2013,Manganese,ferrous,GAB,ガボン,2408399,MT,15.2,51379199,JPY_1000,15.2,MetalChart_AgriChart_Dummy
2013,Manganese,ferrous,AUS,オーストラリア,2872953,MT,18.1,61289676,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2013,Manganese,ferrous,BRA,ブラジル,1019020,MT,6.4,21739110,JPY_1000,6.4,MetalChart_AgriChart_Dummy
