year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Nickel,ferrous,IDN,インドネシア,1422208,MT,65.8,227553280,JPY_1000,65.8,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,PHL,フィリピン,281965,MT,13.0,45114432,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,RUS,ロシア,180400,MT,8.3,28864000,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,NCL,ニューカレドニア（仏）,157112,MT,7.3,25137920,JPY_1000,7.3,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,AUS,オーストラリア,120179,MT,5.6,19228672,JPY_1000,5.6,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,IDN,インドネシア,1447628,MT,65.5,231620608,JPY_1000,65.5,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,PHL,フィリピン,288546,MT,13.1,46167475,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,RUS,ロシア,185680,MT,8.4,29708800,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,NCL,ニューカレドニア（仏）,162723,MT,7.4,26035712,JPY_1000,7.4,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,AUS,オーストラリア,125317,MT,5.7,20050739,JPY_1000,5.7,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,IDN,インドネシア,1472128,MT,65.2,235540480,JPY_1000,65.2,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,PHL,フィリピン,295033,MT,13.1,47205312,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,RUS,ロシア,190960,MT,8.5,30553600,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,NCL,ニューカレドニア（仏）,168392,MT,7.5,26942720,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,AUS,オーストラリア,130547,MT,5.8,20887552,JPY_1000,5.8,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,IDN,インドネシア,1495705,MT,64.9,239312895,JPY_1000,64.9,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,PHL,フィリピン,301424,MT,13.1,48227942,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,RUS,ロシア,196239,MT,8.5,31398399,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,NCL,ニューカレドニア（仏）,174118,MT,7.6,27858943,JPY_1000,7.6,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,AUS,オーストラリア,135869,MT,5.9,21739110,JPY_1000,5.9,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,IDN,インドネシア,1518361,MT,64.6,242937855,JPY_1000,64.6,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,PHL,フィリピン,307721,MT,13.1,49235366,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,RUS,ロシア,201519,MT,8.6,32243199,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,NCL,ニューカレドニア（仏）,179902,MT,7.7,28784383,JPY_1000,7.7,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,AUS,オーストラリア,141283,MT,6.0,22605414,JPY_1000,6.0,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,IDN,インドネシア,1540096,MT,64.3,246415360,JPY_1000,64.3,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,PHL,フィリピン,313922,MT,13.1,50227584,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,RUS,ロシア,206800,MT,8.6,33087999,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,NCL,ニューカレドニア（仏）,185744,MT,7.8,29719040,JPY_1000,7.8,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,AUS,オーストラリア,146790,MT,6.1,23486464,JPY_1000,6.1,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,IDN,インドネシア,1560908,MT,64.0,249745408,JPY_1000,64.0,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,PHL,フィリピン,320028,MT,13.1,51204595,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,RUS,ロシア,212080,MT,8.7,33932800,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,NCL,ニューカレドニア（仏）,191643,MT,7.9,30662912,JPY_1000,7.9,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,AUS,オーストラリア,152389,MT,6.3,24382259,JPY_1000,6.3,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,IDN,インドネシア,1580800,MT,63.7,252928000,JPY_1000,63.7,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,PHL,フィリピン,326040,MT,13.1,52166400,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,RUS,ロシア,217360,MT,8.8,34777600,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,NCL,ニューカレドニア（仏）,197600,MT,8.0,31616000,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,AUS,オーストラリア,158080,MT,6.4,25292800,JPY_1000,6.4,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,IDN,インドネシア,1599769,MT,63.4,255963136,JPY_1000,63.4,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,PHL,フィリピン,331956,MT,13.2,53112998,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,RUS,ロシア,222640,MT,8.8,35622400,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,NCL,ニューカレドニア（仏）,203614,MT,8.1,32578304,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,AUS,オーストラリア,163863,MT,6.5,26218086,JPY_1000,6.5,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,IDN,インドネシア,1617817,MT,63.1,258850816,JPY_1000,63.1,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,PHL,フィリピン,337777,MT,13.2,54044390,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,RUS,ロシア,227920,MT,8.9,36467200,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,NCL,ニューカレドニア（仏）,209686,MT,8.2,33549824,JPY_1000,8.2,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,AUS,オーストラリア,169738,MT,6.6,27158118,JPY_1000,6.6,MetalChart_AgriChart_Dummy
2020,Nickel,ferrous,IDN,インドネシア,1634944,MT,62.8,261591040,JPY_1000,62.8,MetalChart_AgriChart_Dummy
2020,Nickel,ferrous,PHL,フィリピン,343503,MT,13.2,54960576,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2020,Nickel,ferrous,RUS,ロシア,233200,MT,9.0,37312000,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2020,Nickel,ferrous,NCL,ニューカレドニア（仏）,215816,MT,8.3,34530560,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2020,Nickel,ferrous,AUS,オーストラリア,175705,MT,6.7,28112896,JPY_1000,6.7,MetalChart_AgriChart_Dummy
2021,Nickel,ferrous,IDN,インドネシア,1651148,MT,62.5,264183807,JPY_1000,62.5,MetalChart_AgriChart_Dummy
2021,Nickel,ferrous,PHL,フィリピン,349134,MT,13.2,55861555,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2021,Nickel,ferrous,RUS,ロシア,238479,MT,9.0,38156799,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2021,Nickel,ferrous,NCL,ニューカレドニア（仏）,222003,MT,8.4,35520511,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2021,Nickel,ferrous,AUS,オーストラリア,181765,MT,6.9,29082419,JPY_1000,6.9,MetalChart_AgriChart_Dummy
2022,Nickel,ferrous,IDN,インドネシア,1666431,MT,62.2,266629119,JPY_1000,62.2,MetalChart_AgriChart_Dummy
2022,Nickel,ferrous,PHL,フィリピン,354670,MT,13.2,56747327,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2022,Nickel,ferrous,RUS,ロシア,243759,MT,9.1,39001599,JPY_1000,9.1,MetalChart_AgriChart_Dummy
2022,Nickel,ferrous,NCL,ニューカレドニア（仏）,228247,MT,8.5,36519679,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2022,Nickel,ferrous,AUS,オーストラリア,187916,MT,7.0,30066687,JPY_1000,7.0,MetalChart_AgriChart_Dummy
2023,Nickel,ferrous,IDN,インドネシア,1680793,MT,61.8,268926976,JPY_1000,61.8,MetalChart_AgriChart_Dummy
2023,Nickel,ferrous,PHL,フィリピン,360111,MT,13.2,57617894,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2023,Nickel,ferrous,RUS,ロシア,249039,MT,9.2,39846400,JPY_1000,9.2,MetalChart_AgriChart_Dummy
2023,Nickel,ferrous,NCL,ニューカレドニア（仏）,234550,MT,8.6,37528064,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2023,Nickel,ferrous,AUS,オーストラリア,194160,MT,7.1,31065702,JPY_1000,7.1,MetalChart_AgriChart_Dummy
2024,Nickel,ferrous,IDN,インドネシア,1694233,MT,61.5,271077376,JPY_1000,61.5,MetalChart_AgriChart_Dummy
2024,Nickel,ferrous,PHL,フィリピン,365457,MT,13.3,58473254,JPY_1000,13.3,MetalChart_AgriChart_Dummy
2024,Nickel,ferrous,RUS,ロシア,254319,MT,9.2,40691200,JPY_1000,9.2,MetalChart_AgriChart_Dummy
2024,Nickel,ferrous,NCL,ニューカレドニア（仏）,240910,MT,8.7,38545664,JPY_1000,8.7,MetalChart_AgriChart_Dummy
