year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Palladium,precious,RUS,ロシア,80,MT,57.1,182220400,JPY_1000,57.4,MetalChart_AgriChart_Dummy
2010,Palladium,precious,ZAF,南アフリカ共和国,60,MT,42.9,135201600,JPY_1000,42.6,MetalChart_AgriChart_Dummy
2011,Palladium,precious,RUS,ロシア,82,MT,56.9,185477440,JPY_1000,56.8,MetalChart_AgriChart_Dummy
2011,Palladium,precious,ZAF,南アフリカ共和国,62,MT,43.1,140981760,JPY_1000,43.2,MetalChart_AgriChart_Dummy
2012,Palladium,precious,RUS,ロシア,83,MT,56.1,188616400,JPY_1000,56.2,MetalChart_AgriChart_Dummy
2012,Palladium,precious,ZAF,南アフリカ共和国,65,MT,43.9,146865600,JPY_1000,43.8,MetalChart_AgriChart_Dummy
2013,Palladium,precious,RUS,ロシア,85,MT,55.9,191637279,JPY_1000,55.6,MetalChart_AgriChart_Dummy
2013,Palladium,precious,ZAF,南アフリカ共和国,67,MT,44.1,152853119,JPY_1000,44.4,MetalChart_AgriChart_Dummy
2014,Palladium,precious,RUS,ロシア,86,MT,55.1,194540079,JPY_1000,55.0,MetalChart_AgriChart_Dummy
2014,Palladium,precious,ZAF,南アフリカ共和国,70,MT,44.9,158944320,JPY_1000,45.0,MetalChart_AgriChart_Dummy
2015,Palladium,precious,RUS,ロシア,87,MT,54.4,197324800,JPY_1000,54.4,MetalChart_AgriChart_Dummy
2015,Palladium,precious,ZAF,南アフリカ共和国,73,MT,45.6,165139200,JPY_1000,45.6,MetalChart_AgriChart_Dummy
2016,Palladium,precious,RUS,ロシア,88,MT,53.7,199991440,JPY_1000,53.8,MetalChart_AgriChart_Dummy
2016,Palladium,precious,ZAF,南アフリカ共和国,76,MT,46.3,171437760,JPY_1000,46.2,MetalChart_AgriChart_Dummy
2017,Palladium,precious,RUS,ロシア,89,MT,53.0,202540000,JPY_1000,53.2,MetalChart_AgriChart_Dummy
2017,Palladium,precious,ZAF,南アフリカ共和国,79,MT,47.0,177840000,JPY_1000,46.8,MetalChart_AgriChart_Dummy
2018,Palladium,precious,RUS,ロシア,90,MT,52.6,204970480,JPY_1000,52.6,MetalChart_AgriChart_Dummy
2018,Palladium,precious,ZAF,南アフリカ共和国,81,MT,47.4,184345920,JPY_1000,47.4,MetalChart_AgriChart_Dummy
2019,Palladium,precious,RUS,ロシア,92,MT,52.3,207282880,JPY_1000,52.0,MetalChart_AgriChart_Dummy
2019,Palladium,precious,ZAF,南アフリカ共和国,84,MT,47.7,190955520,JPY_1000,48.0,MetalChart_AgriChart_Dummy
2020,Palladium,precious,RUS,ロシア,92,MT,51.4,209477200,JPY_1000,51.5,MetalChart_AgriChart_Dummy
2020,Palladium,precious,ZAF,南アフリカ共和国,87,MT,48.6,197668800,JPY_1000,48.5,MetalChart_AgriChart_Dummy
2021,Palladium,precious,RUS,ロシア,93,MT,50.8,211553439,JPY_1000,50.8,MetalChart_AgriChart_Dummy
2021,Palladium,precious,ZAF,南アフリカ共和国,90,MT,49.2,204485759,JPY_1000,49.2,MetalChart_AgriChart_Dummy
2022,Palladium,precious,RUS,ロシア,94,MT,50.3,213511599,JPY_1000,50.2,MetalChart_AgriChart_Dummy
2022,Palladium,precious,ZAF,南アフリカ共和国,93,MT,49.7,211406399,JPY_1000,49.8,MetalChart_AgriChart_Dummy
2023,Palladium,precious,RUS,ロシア,95,MT,49.5,215351679,JPY_1000,49.6,MetalChart_AgriChart_Dummy
2023,Palladium,precious,ZAF,南アフリカ共和国,97,MT,50.5,218430719,JPY_1000,50.4,MetalChart_AgriChart_Dummy
2024,Palladium,precious,RUS,ロシア,96,MT,49.0,217073679,JPY_1000,49.0,MetalChart_AgriChart_Dummy
2024,Palladium,precious,ZAF,南アフリカ共和国,100,MT,51.0,225558719,JPY_1000,51.0,MetalChart_AgriChart_Dummy
2025,Palladium,precious,RUS,ロシア,97,MT,48.5,218677600,JPY_1000,48.4,MetalChart_AgriChart_Dummy
2025,Palladium,precious,ZAF,南アフリカ共和国,103,MT,51.5,232790400,JPY_1000,51.6,MetalChart_AgriChart_Dummy
