year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,RareEarth,strategic,CHN,中華人民共和国,213331,MT,73.3,462217600,JPY_1000,73.4,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,USA,アメリカ合衆国,36740,MT,12.6,79462920,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,MMR,ミャンマー,21320,MT,7.3,46248000,JPY_1000,7.3,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,AUS,オーストラリア,14140,MT,4.9,30636839,JPY_1000,4.9,MetalChart_AgriChart_Dummy
2010,RareEarth,strategic,THA,タイ,5332,MT,1.8,11567248,JPY_1000,1.8,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,CHN,中華人民共和国,217144,MT,73.1,470479360,JPY_1000,73.1,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,USA,アメリカ合衆国,37598,MT,12.7,81317712,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,MMR,ミャンマー,21944,MT,7.4,47601600,JPY_1000,7.4,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,AUS,オーストラリア,14645,MT,4.9,31731024,JPY_1000,4.9,MetalChart_AgriChart_Dummy
2011,RareEarth,strategic,THA,タイ,5560,MT,1.9,12061772,JPY_1000,1.9,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,CHN,中華人民共和国,220819,MT,72.9,478441600,JPY_1000,72.9,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,USA,アメリカ合衆国,38443,MT,12.7,83145720,JPY_1000,12.7,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,MMR,ミャンマー,22568,MT,7.5,48955200,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,AUS,オーストラリア,15155,MT,5.0,32836440,JPY_1000,5.0,MetalChart_AgriChart_Dummy
2012,RareEarth,strategic,THA,タイ,5793,MT,1.9,12565168,JPY_1000,1.9,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,CHN,中華人民共和国,224355,MT,72.7,486104319,JPY_1000,72.7,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,USA,アメリカ合衆国,39276,MT,12.7,84946943,JPY_1000,12.7,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,MMR,ミャンマー,23191,MT,7.5,50308799,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,AUS,オーストラリア,15670,MT,5.1,33953087,JPY_1000,5.1,MetalChart_AgriChart_Dummy
2013,RareEarth,strategic,THA,タイ,6029,MT,2.0,13077433,JPY_1000,2.0,MetalChart_AgriChart_Dummy
2014,RareEarth,strategic,CHN,中華人民共和国,227754,MT,72.5,493467519,JPY_1000,72.5,MetalChart_AgriChart_Dummy
