year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Zinc,base,CHN,中華人民共和国,3733296,MT,50.5,2488864000,JPY_1000,50.5,MetalChart_AgriChart_Dummy
2010,Zinc,base,PER,ペルー,1367104,MT,18.5,914250800,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2010,Zinc,base,AUS,オーストラリア,1066000,MT,14.4,710940000,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2010,Zinc,base,IND,インド,652014,MT,8.8,434414680,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2010,Zinc,base,USA,アメリカ合衆国,570851,MT,7.7,380817840,JPY_1000,7.7,MetalChart_AgriChart_Dummy
2011,Zinc,base,CHN,中華人民共和国,3800025,MT,50.2,2533350400,JPY_1000,50.2,MetalChart_AgriChart_Dummy
2011,Zinc,base,PER,ペルー,1399014,MT,18.5,935590880,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2011,Zinc,base,AUS,オーストラリア,1097200,MT,14.5,731748000,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2011,Zinc,base,IND,インド,675301,MT,8.9,449929648,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2011,Zinc,base,USA,アメリカ合衆国,595256,MT,7.9,397098624,JPY_1000,7.9,MetalChart_AgriChart_Dummy
2012,Zinc,base,CHN,中華人民共和国,3864336,MT,49.9,2576224000,JPY_1000,49.9,MetalChart_AgriChart_Dummy
2012,Zinc,base,PER,ペルー,1430464,MT,18.5,956622800,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2012,Zinc,base,AUS,オーストラリア,1128400,MT,14.6,752556000,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2012,Zinc,base,IND,インド,698826,MT,9.0,465603880,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2012,Zinc,base,USA,アメリカ合衆国,620099,MT,8.0,413671440,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2013,Zinc,base,CHN,中華人民共和国,3926227,MT,49.6,2617484799,JPY_1000,49.6,MetalChart_AgriChart_Dummy
2013,Zinc,base,PER,ペルー,1461452,MT,18.5,977346559,JPY_1000,18.5,MetalChart_AgriChart_Dummy
