year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Coal_Fuel,Coal,USA,アメリカ合衆国,146392,MT,1.01,949070,JPY_1000,0.86,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,IDN,インドネシア,8201600,MT,56.5,55723754,JPY_1000,50.5,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,AUS,オーストラリア,3900095,MT,26.87,31943098,JPY_1000,28.95,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,CAN,カナダ,52332,MT,0.36,458425,JPY_1000,0.42,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,PHL,フィリピン,20,MT,0.0,1296,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,RUS,ロシア,941096,MT,6.48,7994468,JPY_1000,7.25,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,CHN,中華人民共和国,1275728,MT,8.79,13266525,JPY_1000,12.02,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,USA,アメリカ合衆国,173093,MT,1.43,768431,JPY_1000,0.72,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,IDN,インドネシア,9145836,MT,75.29,75808634,JPY_1000,70.88,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,AUS,オーストラリア,591915,MT,4.87,6103151,JPY_1000,5.71,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,CAN,カナダ,246013,MT,2.03,2521780,JPY_1000,2.36,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,RUS,ロシア,831272,MT,6.84,7858412,JPY_1000,7.35,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,CHN,中華人民共和国,1158571,MT,9.54,13899463,JPY_1000,13.0,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,USA,アメリカ合衆国,2474564,MT,28.4,41176942,JPY_1000,32.05,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,IDN,インドネシア,5321712,MT,61.07,72855775,JPY_1000,56.7,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,AUS,オーストラリア,545814,MT,6.26,8501975,JPY_1000,6.62,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,CAN,カナダ,252373,MT,2.9,4245582,JPY_1000,3.3,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,THA,タイ,144,MT,0.0,12847,JPY_1000,0.01,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,POL,ポーランド,0,MT,0.0,303,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
