year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2025,LNG,Natural_Gas,CHN,中華人民共和国,159349,MT,0.25,15062667,JPY_1000,0.26,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,SGP,シンガポール,41083,MT,0.06,3949710,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,MYS,マレーシア,9606477,MT,14.78,826536953,JPY_1000,14.49,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,BRN,ブルネイ,2601830,MT,4.0,228540822,JPY_1000,4.01,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,IDN,インドネシア,3873641,MT,5.96,340478241,JPY_1000,5.97,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,QAT,カタール,3416860,MT,5.26,317492082,JPY_1000,5.56,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,OMN,オマーン,2932388,MT,4.51,234267916,JPY_1000,4.11,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,ARE,アラブ首長国連邦,665263,MT,1.02,66497178,JPY_1000,1.17,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,RUS,ロシア,5797728,MT,8.92,502711211,JPY_1000,8.81,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,CAN,カナダ,554648,MT,0.85,46329146,JPY_1000,0.81,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,USA,アメリカ合衆国,4506318,MT,6.94,403041916,JPY_1000,7.06,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,PER,ペルー,544884,MT,0.84,44757882,JPY_1000,0.78,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,NGA,ナイジェリア,606652,MT,0.93,55406939,JPY_1000,0.97,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,GNQ,赤道ギニア,204806,MT,0.32,18183901,JPY_1000,0.32,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,MOZ,モザンビーク,213789,MT,0.33,19152615,JPY_1000,0.34,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,AUS,オーストラリア,25810510,MT,39.72,2268557966,JPY_1000,39.76,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,PNG,パプアニューギニア,3440817,MT,5.3,314212972,JPY_1000,5.51,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,CHN,中華人民共和国,123488,MT,0.19,14334986,JPY_1000,0.23,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,SGP,シンガポール,90896,MT,0.14,9856546,JPY_1000,0.16,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,MYS,マレーシア,10246131,MT,15.55,943526342,JPY_1000,15.14,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,BRN,ブルネイ,2738905,MT,4.16,259053381,JPY_1000,4.16,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,IDN,インドネシア,3126397,MT,4.74,313338916,JPY_1000,5.03,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,QAT,カタール,2876102,MT,4.36,284016673,JPY_1000,4.56,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,OMN,オマーン,3388738,MT,5.14,290821750,JPY_1000,4.67,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,ARE,アラブ首長国連邦,963575,MT,1.46,94150505,JPY_1000,1.51,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,RUS,ロシア,5683753,MT,8.63,547140373,JPY_1000,8.78,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,CAN,カナダ,36,MT,0.0,6832,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,USA,アメリカ合衆国,6336383,MT,9.62,542941554,JPY_1000,8.71,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,TTO,トリニダード・トバゴ,59632,MT,0.09,4486319,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,PER,ペルー,418773,MT,0.64,46240130,JPY_1000,0.74,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,DZA,アルジェリア,55779,MT,0.08,4298159,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,NGA,ナイジェリア,521421,MT,0.79,54421946,JPY_1000,0.87,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,CMR,カメルーン,59963,MT,0.09,5594054,JPY_1000,0.09,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,GNQ,赤道ギニア,328707,MT,0.5,30138339,JPY_1000,0.48,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,MOZ,モザンビーク,71236,MT,0.11,5161725,JPY_1000,0.08,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,AUS,オーストラリア,25140124,MT,38.15,2417448153,JPY_1000,38.78,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,PNG,パプアニューギニア,3662589,MT,5.56,366248557,JPY_1000,5.88,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,KOR,大韓民国,130,MT,0.0,15461,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,CHN,中華人民共和国,239800,MT,0.36,24929036,JPY_1000,0.38,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,MYS,マレーシア,10333288,MT,15.62,976990101,JPY_1000,14.99,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,BRN,ブルネイ,2494282,MT,3.77,240757337,JPY_1000,3.69,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,IDN,インドネシア,3036924,MT,4.59,310378374,JPY_1000,4.76,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,QAT,カタール,2934268,MT,4.44,329208504,JPY_1000,5.05,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,OMN,オマーン,2182147,MT,3.3,196928581,JPY_1000,3.02,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,ARE,アラブ首長国連邦,841953,MT,1.27,93174428,JPY_1000,1.43,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,RUS,ロシア,6133326,MT,9.27,582740634,JPY_1000,8.94,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,TUR,トルコ,66607,MT,0.1,6643475,JPY_1000,0.1,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,USA,アメリカ合衆国,5524951,MT,8.35,472527144,JPY_1000,7.25,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,TTO,トリニダード・トバゴ,62761,MT,0.09,4325517,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,PER,ペルー,254510,MT,0.38,29132062,JPY_1000,0.45,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,DZA,アルジェリア,58538,MT,0.09,5214233,JPY_1000,0.08,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,EGY,エジプト,135016,MT,0.2,22936929,JPY_1000,0.35,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,NGA,ナイジェリア,253391,MT,0.38,22738947,JPY_1000,0.35,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,GNQ,赤道ギニア,128271,MT,0.19,23130311,JPY_1000,0.35,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,MOZ,モザンビーク,131506,MT,0.2,12413918,JPY_1000,0.19,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,AUS,オーストラリア,27518832,MT,41.6,2776110504,JPY_1000,42.59,MOF_TradeStatistics_ItemCountry
2023,LNG,Natural_Gas,PNG,パプアニューギニア,3820278,MT,5.78,388038893,JPY_1000,5.95,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,CHN,中華人民共和国,57360,MT,0.08,9613595,JPY_1000,0.11,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,SGP,シンガポール,73532,MT,0.1,6469454,JPY_1000,0.08,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,MYS,マレーシア,12048622,MT,16.73,1283058683,JPY_1000,15.16,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,BRN,ブルネイ,3214142,MT,4.46,322307807,JPY_1000,3.81,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,IDN,インドネシア,2540892,MT,3.53,336011426,JPY_1000,3.97,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,QAT,カタール,2883542,MT,4.01,402463267,JPY_1000,4.76,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,OMN,オマーン,2529105,MT,3.51,244491286,JPY_1000,2.89,MOF_TradeStatistics_ItemCountry
2022,LNG,Natural_Gas,ARE,アラブ首長国連邦,1334644,MT,1.85,254753111,JPY_1000,3.01,MOF_TradeStatistics_ItemCountry
