year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2025,Oil_Fuel,Oil,IRL,アイルランド,1281,KG,0.0,1372,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,USA,アメリカ合衆国,15200640,KG,0.31,5511068,JPY_1000,0.94,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ARE,アラブ首長国連邦,15776,KG,0.0,9372,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ISR,イスラエル,4104,KG,0.0,1151,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ITA,イタリア,346768,KG,0.01,607407,JPY_1000,0.1,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,IND,インド,1233045,KG,0.03,177846,JPY_1000,0.03,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,IDN,インドネシア,1294328,KG,0.03,313718,JPY_1000,0.05,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,UKR,ウクライナ,621,KG,0.0,13984,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,EGY,エジプト,8595,KG,0.0,4333,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,SLV,エルサルバドル,12201,KG,0.0,3730,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,NLD,オランダ,306387,KG,0.01,179170,JPY_1000,0.03,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,AUS,オーストラリア,271083,KG,0.01,83198,JPY_1000,0.01,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,AUT,オーストリア,622,KG,0.0,2454,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,QAT,カタール,83365425,KG,1.69,13271513,JPY_1000,2.25,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CAN,カナダ,265780,KG,0.01,466615,JPY_1000,0.08,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,GRC,ギリシャ,1278,KG,0.0,1012,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,KWT,クウェート,113928541,KG,2.31,9161597,JPY_1000,1.56,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,HRV,クロアチア,2000,KG,0.0,1479,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CRI,コスタリカ,246,KG,0.0,5577,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,SGP,シンガポール,129098824,KG,2.62,25059270,JPY_1000,4.25,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CHE,スイス,196478,KG,0.0,144323,JPY_1000,0.02,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,SWE,スウェーデン,194357,KG,0.0,240889,JPY_1000,0.04,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ESP,スペイン,377337,KG,0.01,273818,JPY_1000,0.05,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,THA,タイ,2872467,KG,0.06,1178784,JPY_1000,0.2,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,DNK,デンマーク,4329,KG,0.0,15354,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,TUR,トルコ,810,KG,0.0,2086,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,DEU,ドイツ,1994902,KG,0.04,2174418,JPY_1000,0.37,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,NER,ニジェール,173,KG,0.0,533,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,NOR,ノルウェー,2473,KG,0.0,6146,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,HUN,ハンガリー,179,KG,0.0,722,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,PNG,パプアニューギニア,4346,KG,0.0,517,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,PLW,パラオ,192881,KG,0.0,22620,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,PHL,フィリピン,55875,KG,0.0,15705,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,FIN,フィンランド,38,KG,0.0,2113,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,FRA,フランス,10162328,KG,0.21,3314024,JPY_1000,0.56,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,BRA,ブラジル,34,KG,0.0,503,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,VNM,ベトナム,28054860,KG,0.57,3504563,JPY_1000,0.59,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,BEL,ベルギー,357720,KG,0.01,275333,JPY_1000,0.05,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,MYS,マレーシア,76928597,KG,1.56,11508740,JPY_1000,1.95,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,MEX,メキシコ,1956,KG,0.0,32370,JPY_1000,0.01,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,LUX,ルクセンブルク,152,KG,0.0,248,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,UNK,不明,2191046,KG,0.04,619882,JPY_1000,0.11,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CHN,中華人民共和国,1534845885,KG,31.13,167499626,JPY_1000,28.43,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ZAF,南アフリカ共和国,14,KG,0.0,1266,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,TWN,台湾,87003286,KG,1.76,12416515,JPY_1000,2.11,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,KOR,大韓民国,2837299415,KG,57.55,329734811,JPY_1000,55.97,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,GBR,英国,1042544,KG,0.02,860754,JPY_1000,0.15,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,HKG,香港,1357457,KG,0.03,428055,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,IRL,アイルランド,817,KG,0.0,629,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,USA,アメリカ合衆国,22194741,KG,0.47,6797705,JPY_1000,1.1,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,ARE,アラブ首長国連邦,68325,KG,0.0,28746,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,ISR,イスラエル,850,KG,0.0,802,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,ITA,イタリア,323133,KG,0.01,603657,JPY_1000,0.1,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,IND,インド,55036,KG,0.0,13949,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,IDN,インドネシア,1978410,KG,0.04,528449,JPY_1000,0.09,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,UKR,ウクライナ,774,KG,0.0,17560,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,EGY,エジプト,1728,KG,0.0,1383,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,SLV,エルサルバドル,560,KG,0.0,279,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,NLD,オランダ,387891,KG,0.01,217848,JPY_1000,0.04,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,AUS,オーストラリア,31949518,KG,0.68,4501701,JPY_1000,0.73,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,AUT,オーストリア,737,KG,0.0,2394,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,QAT,カタール,93735569,KG,1.99,16673420,JPY_1000,2.7,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,CAN,カナダ,196549,KG,0.0,376909,JPY_1000,0.06,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,KWT,クウェート,27622862,KG,0.59,2959203,JPY_1000,0.48,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,CRI,コスタリカ,379,KG,0.0,8301,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,SAU,サウジアラビア,192,KG,0.0,432,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,SGP,シンガポール,51539643,KG,1.09,15012587,JPY_1000,2.43,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,CHE,スイス,176173,KG,0.0,105906,JPY_1000,0.02,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,SWE,スウェーデン,137909,KG,0.0,188896,JPY_1000,0.03,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,ESP,スペイン,278076,KG,0.01,240807,JPY_1000,0.04,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,THA,タイ,3032296,KG,0.06,1515062,JPY_1000,0.24,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,DNK,デンマーク,4385,KG,0.0,15771,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,TUR,トルコ,350,KG,0.0,1177,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,DEU,ドイツ,1927111,KG,0.04,1893035,JPY_1000,0.31,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,NCL,ニューカレドニア（仏）,38541,KG,0.0,5728,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,BGD,バングラデシュ,3588,KG,0.0,971,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,PAN,パナマ,153282,KG,0.0,23871,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,PHL,フィリピン,204918,KG,0.0,55416,JPY_1000,0.01,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,FIN,フィンランド,108,KG,0.0,7228,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,FRA,フランス,11680205,KG,0.25,3743669,JPY_1000,0.61,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,BRA,ブラジル,2639,KG,0.0,2768,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,VNM,ベトナム,2664089,KG,0.06,1376715,JPY_1000,0.22,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,BEL,ベルギー,7584803,KG,0.16,2220953,JPY_1000,0.36,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,MYS,マレーシア,114367184,KG,2.43,16175133,JPY_1000,2.62,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,MHL,マーシャル,50363,KG,0.0,9367,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,MUS,モーリシャス,10077,KG,0.0,1800,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,LVA,ラトビア,561,KG,0.0,288,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,UNK,不明,1795161,KG,0.04,461487,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,CHN,中華人民共和国,1017182487,KG,21.6,122935095,JPY_1000,19.88,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,TWN,台湾,17263492,KG,0.37,6433022,JPY_1000,1.04,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,KOR,大韓民国,3299153499,KG,70.05,412299388,JPY_1000,66.66,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,GBR,英国,863316,KG,0.02,666579,JPY_1000,0.11,MOF_TradeStatistics_ItemCountry
2024,Oil_Fuel,Oil,HKG,香港,1083101,KG,0.02,347113,JPY_1000,0.06,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,IRL,アイルランド,2296,KG,0.0,2037,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,USA,アメリカ合衆国,15811701,KG,0.38,5485388,JPY_1000,1.02,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,ARE,アラブ首長国連邦,103352,KG,0.0,47248,JPY_1000,0.01,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,ISR,イスラエル,132,KG,0.0,210,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,ITA,イタリア,261909,KG,0.01,427585,JPY_1000,0.08,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,IND,インド,44426,KG,0.0,15311,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,IDN,インドネシア,10430413,KG,0.25,2479297,JPY_1000,0.46,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,UKR,ウクライナ,887,KG,0.0,8336,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,EGY,エジプト,2358,KG,0.0,2217,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,NLD,オランダ,1275745,KG,0.03,616534,JPY_1000,0.11,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,AUS,オーストラリア,73459433,KG,1.78,10173685,JPY_1000,1.89,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,AUT,オーストリア,604,KG,0.0,2556,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,KAZ,カザフスタン,5352,KG,0.0,1378,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,QAT,カタール,99861608,KG,2.42,17900476,JPY_1000,3.33,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CAN,カナダ,302236,KG,0.01,465786,JPY_1000,0.09,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,GRC,ギリシャ,432,KG,0.0,322,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CYM,ケイマン諸島（英）,8758,KG,0.0,2257,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CRI,コスタリカ,389,KG,0.0,10408,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,SGP,シンガポール,67596625,KG,1.64,12840414,JPY_1000,2.39,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CHE,スイス,212430,KG,0.01,155844,JPY_1000,0.03,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,SWE,スウェーデン,178123,KG,0.0,213314,JPY_1000,0.04,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,ESP,スペイン,324697,KG,0.01,266971,JPY_1000,0.05,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,THA,タイ,1863756,KG,0.05,892781,JPY_1000,0.17,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CZE,チェコ,88,KG,0.0,583,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CHL,チリ,1574,KG,0.0,1088,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,DNK,デンマーク,2576,KG,0.0,12954,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,TUR,トルコ,29995,KG,0.0,9843,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,DEU,ドイツ,1917023,KG,0.05,1786804,JPY_1000,0.33,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,NCL,ニューカレドニア（仏）,8519,KG,0.0,2196,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,NOR,ノルウェー,4478,KG,0.0,11564,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,HUN,ハンガリー,175,KG,0.0,373,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,PAN,パナマ,39113,KG,0.0,18993,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,PRY,パラグアイ,1372,KG,0.0,347,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,PHL,フィリピン,115064,KG,0.0,31284,JPY_1000,0.01,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,FIN,フィンランド,1638672,KG,0.04,283068,JPY_1000,0.05,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,FRA,フランス,10812374,KG,0.26,3208945,JPY_1000,0.6,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,BRA,ブラジル,164,KG,0.0,494,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,BGR,ブルガリア,3299,KG,0.0,919,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,VNM,ベトナム,1596878,KG,0.04,808809,JPY_1000,0.15,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,BEL,ベルギー,662596,KG,0.02,353721,JPY_1000,0.07,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,POL,ポーランド,458,KG,0.0,411,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,MLT,マルタ,6077,KG,0.0,1631,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,MYS,マレーシア,264457475,KG,6.4,28248453,JPY_1000,5.26,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,UNK,不明,1290363,KG,0.03,338185,JPY_1000,0.06,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,CHN,中華人民共和国,831162559,KG,20.12,102289067,JPY_1000,19.04,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,ZAF,南アフリカ共和国,930,KG,0.0,709,JPY_1000,0.0,MOF_TradeStatistics_ItemCountry
2023,Oil_Fuel,Oil,TWN,台湾,5898697,KG,0.14,1762699,JPY_1000,0.33,MOF_TradeStatistics_ItemCountry
