year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Coal_Fuel,Coal,USA,アメリカ合衆国,146392,MT,,949070,JPY_1000,,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,IDN,インドネシア,8201600,MT,,55723754,JPY_1000,,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,AUS,オーストラリア,3900095,MT,,31943098,JPY_1000,,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,CAN,カナダ,52332,MT,,458425,JPY_1000,,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,PHL,フィリピン,20,MT,,1296,JPY_1000,,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,RUS,ロシア,941096,MT,,7994468,JPY_1000,,MOF_TradeStatistics_ItemCountry
2010,Coal_Fuel,Coal,CHN,中華人民共和国,1275728,MT,,13266525,JPY_1000,,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,USA,アメリカ合衆国,173093,MT,,768431,JPY_1000,,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,IDN,インドネシア,9145836,MT,,75808634,JPY_1000,,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,AUS,オーストラリア,591915,MT,,6103151,JPY_1000,,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,CAN,カナダ,246013,MT,,2521780,JPY_1000,,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,RUS,ロシア,831272,MT,,7858412,JPY_1000,,MOF_TradeStatistics_ItemCountry
2011,Coal_Fuel,Coal,CHN,中華人民共和国,1158571,MT,,13899463,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,USA,アメリカ合衆国,2474564,MT,,41176942,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,IDN,インドネシア,5321712,MT,,72855775,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,AUS,オーストラリア,545814,MT,,8501975,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,CAN,カナダ,252373,MT,,4245582,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,THA,タイ,144,MT,,12847,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,POL,ポーランド,0,MT,,303,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Coal_Fuel,Coal,RUS,ロシア,119150,MT,,1695957,JPY_1000,,MOF_TradeStatistics_ItemCountry
2024,Coal_Fuel,Coal,USA,アメリカ合衆国,2877243,MT,,59400528,JPY_1000,,MOF_TradeStatistics_ItemCountry
2024,Coal_Fuel,Coal,IDN,インドネシア,5392469,MT,,92067108,JPY_1000,,MOF_TradeStatistics_ItemCountry
2024,Coal_Fuel,Coal,AUS,オーストラリア,804383,MT,,15714338,JPY_1000,,MOF_TradeStatistics_ItemCountry
2024,Coal_Fuel,Coal,CAN,カナダ,58738,MT,,1221090,JPY_1000,,MOF_TradeStatistics_ItemCountry
2024,Coal_Fuel,Coal,RUS,ロシア,115663,MT,,1929988,JPY_1000,,MOF_TradeStatistics_ItemCountry
2023,Coal_Fuel,Coal,USA,アメリカ合衆国,2188297,MT,,68367631,JPY_1000,,MOF_TradeStatistics_ItemCountry
2023,Coal_Fuel,Coal,IDN,インドネシア,4897922,MT,,112367508,JPY_1000,,MOF_TradeStatistics_ItemCountry
2023,Coal_Fuel,Coal,AUS,オーストラリア,1631326,MT,,42614006,JPY_1000,,MOF_TradeStatistics_ItemCountry
2023,Coal_Fuel,Coal,CAN,カナダ,590145,MT,,19719963,JPY_1000,,MOF_TradeStatistics_ItemCountry
2023,Coal_Fuel,Coal,PAK,パキスタン,23,MT,,747,JPY_1000,,MOF_TradeStatistics_ItemCountry
2023,Coal_Fuel,Coal,PHL,フィリピン,175130,MT,,2649714,JPY_1000,,MOF_TradeStatistics_ItemCountry
