year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source

2025,LNG,Natural_Gas,CHN,中華人民共和国,159349,MT,,15062667,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,SGP,シンガポール,41083,MT,,3949710,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,MYS,マレーシア,9606477,MT,,826536953,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,BRN,ブルネイ,2601830,MT,,228540822,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,IDN,インドネシア,3873641,MT,,340478241,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,QAT,カタール,3416860,MT,,317492082,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,OMN,オマーン,2932388,MT,,234267916,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,ARE,アラブ首長国連邦,665263,MT,,66497178,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,RUS,ロシア,5797728,MT,,502711211,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,CAN,カナダ,554648,MT,,46329146,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,USA,アメリカ合衆国,4506318,MT,,403041916,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,PER,ペルー,544884,MT,,44757882,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,NGA,ナイジェリア,606652,MT,,55406939,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,GNQ,赤道ギニア,204806,MT,,18183901,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,MOZ,モザンビーク,213789,MT,,19152615,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,AUS,オーストラリア,25810510,MT,,2268557966,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,LNG,Natural_Gas,PNG,パプアニューギニア,3440817,MT,,314212972,JPY_1000,,MOF_TradeStatistics_ItemCountry
2024,LNG,Natural_Gas,CHN,中華人民共和国,123488,MT,,14334986,JPY_1000,,MOF_TradeStatistics_ItemCountry
