year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2025,Oil_Fuel,Oil,IRL,アイルランド,1281,KG,,1372,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,USA,アメリカ合衆国,15200640,KG,,5511068,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ARE,アラブ首長国連邦,15776,KG,,9372,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ISR,イスラエル,4104,KG,,1151,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ITA,イタリア,346768,KG,,607407,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,IND,インド,1233045,KG,,177846,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,IDN,インドネシア,1294328,KG,,313718,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,UKR,ウクライナ,621,KG,,13984,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,EGY,エジプト,8595,KG,,4333,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,SLV,エルサルバドル,12201,KG,,3730,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,NLD,オランダ,306387,KG,,179170,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,AUS,オーストラリア,271083,KG,,83198,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,AUT,オーストリア,622,KG,,2454,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,QAT,カタール,83365425,KG,,13271513,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CAN,カナダ,265780,KG,,466615,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,GRC,ギリシャ,1278,KG,,1012,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,KWT,クウェート,113928541,KG,,9161597,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,HRV,クロアチア,2000,KG,,1479,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CRI,コスタリカ,246,KG,,5577,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,SGP,シンガポール,129098824,KG,,25059270,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,CHE,スイス,196478,KG,,144323,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,SWE,スウェーデン,194357,KG,,240889,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,ESP,スペイン,377337,KG,,273818,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,THA,タイ,2872467,KG,,1178784,JPY_1000,,MOF_TradeStatistics_ItemCountry
2025,Oil_Fuel,Oil,DNK,デンマーク,4329,KG,,15354,JPY_1000,,MOF_TradeStatistics_ItemCountry
