year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Cocoa,beverage,ECU,エクアドル,21510,MT,37.3,94221280,JPY_1000,37.2,AgriChart_Dummy
2010,Cocoa,beverage,GHA,ガーナ,16319,MT,28.3,71516628,JPY_1000,28.3,AgriChart_Dummy
2010,Cocoa,beverage,VEN,ベネズエラ,8692,MT,15.1,38212000,JPY_1000,15.1,AgriChart_Dummy
2010,Cocoa,beverage,DOM,ドミニカ共和国,6575,MT,11.4,28830052,JPY_1000,11.4,AgriChart_Dummy
2010,Cocoa,beverage,IDN,インドネシア,4626,MT,8.0,20280240,JPY_1000,8.0,AgriChart_Dummy
2011,Cocoa,beverage,ECU,エクアドル,21895,MT,37.0,95905408,JPY_1000,37.0,AgriChart_Dummy
2011,Cocoa,beverage,GHA,ガーナ,16700,MT,28.2,73185940,JPY_1000,28.2,AgriChart_Dummy
2011,Cocoa,beverage,VEN,ベネズエラ,8946,MT,15.1,39330400,JPY_1000,15.2,AgriChart_Dummy
2011,Cocoa,beverage,DOM,ドミニカ共和国,6809,MT,11.5,29859707,JPY_1000,11.5,AgriChart_Dummy
2011,Cocoa,beverage,IDN,インドネシア,4824,MT,8.2,21147264,JPY_1000,8.2,AgriChart_Dummy
2012,Cocoa,beverage,ECU,エクアドル,22265,MT,36.7,97528480,JPY_1000,36.7,AgriChart_Dummy
2012,Cocoa,beverage,GHA,ガーナ,17076,MT,28.2,74831148,JPY_1000,28.2,AgriChart_Dummy
2012,Cocoa,beverage,VEN,ベネズエラ,9200,MT,15.2,40448800,JPY_1000,15.2,AgriChart_Dummy
2012,Cocoa,beverage,DOM,ドミニカ共和国,7047,MT,11.6,30899932,JPY_1000,11.6,AgriChart_Dummy
2012,Cocoa,beverage,IDN,インドネシア,5026,MT,8.3,22029840,JPY_1000,8.3,AgriChart_Dummy
2013,Cocoa,beverage,ECU,エクアドル,22622,MT,36.5,99090495,JPY_1000,36.4,AgriChart_Dummy
2013,Cocoa,beverage,GHA,ガーナ,17446,MT,28.1,76452249,JPY_1000,28.1,AgriChart_Dummy
2013,Cocoa,beverage,VEN,ベネズエラ,9455,MT,15.2,41567199,JPY_1000,15.3,AgriChart_Dummy
