year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Coffee,beverage,BRA,ブラジル,139554,MT,29.3,94221280,JPY_1000,29.2,AgriChart_Dummy
2010,Coffee,beverage,COL,コロンビア,119621,MT,25.1,81342688,JPY_1000,25.2,AgriChart_Dummy
2010,Coffee,beverage,VNM,ベトナム,105780,MT,22.2,71094000,JPY_1000,22.0,AgriChart_Dummy
2010,Coffee,beverage,GTM,グアテマラ,65751,MT,13.8,44619808,JPY_1000,13.8,AgriChart_Dummy
2010,Coffee,beverage,IDN,インドネシア,46268,MT,9.7,31396816,JPY_1000,9.7,AgriChart_Dummy
2011,Coffee,beverage,BRA,ブラジル,142048,MT,29.0,95905408,JPY_1000,29.0,AgriChart_Dummy
2011,Coffee,beverage,COL,コロンビア,122413,MT,25.0,83241356,JPY_1000,25.1,AgriChart_Dummy
2011,Coffee,beverage,VNM,ベトナム,108876,MT,22.2,73174800,JPY_1000,22.1,AgriChart_Dummy
2011,Coffee,beverage,GTM,グアテマラ,68099,MT,13.9,46213388,JPY_1000,14.0,AgriChart_Dummy
2011,Coffee,beverage,IDN,インドネシア,48247,MT,9.9,32739097,JPY_1000,9.9,AgriChart_Dummy
2012,Coffee,beverage,BRA,ブラジル,144452,MT,28.8,97528480,JPY_1000,28.7,AgriChart_Dummy
2012,Coffee,beverage,COL,コロンビア,125165,MT,24.9,85112608,JPY_1000,25.0,AgriChart_Dummy
2012,Coffee,beverage,VNM,ベトナム,111972,MT,22.3,75255600,JPY_1000,22.1,AgriChart_Dummy
2012,Coffee,beverage,GTM,グアテマラ,70472,MT,14.0,47823328,JPY_1000,14.1,AgriChart_Dummy
2012,Coffee,beverage,IDN,インドネシア,50260,MT,10.0,34105456,JPY_1000,10.0,AgriChart_Dummy
2013,Coffee,beverage,BRA,ブラジル,146766,MT,28.5,99090495,JPY_1000,28.4,AgriChart_Dummy
2013,Coffee,beverage,COL,コロンビア,127877,MT,24.8,86956441,JPY_1000,25.0,AgriChart_Dummy
2013,Coffee,beverage,VNM,ベトナム,115067,MT,22.3,77336399,JPY_1000,22.2,AgriChart_Dummy
2013,Coffee,beverage,GTM,グアテマラ,72868,MT,14.2,49449625,JPY_1000,14.2,AgriChart_Dummy
2013,Coffee,beverage,IDN,インドネシア,52309,MT,10.2,35495891,JPY_1000,10.2,AgriChart_Dummy
2014,Coffee,beverage,BRA,ブラジル,148989,MT,28.3,100591455,JPY_1000,28.2,AgriChart_Dummy
2014,Coffee,beverage,COL,コロンビア,130548,MT,24.8,88772857,JPY_1000,24.9,AgriChart_Dummy
2014,Coffee,beverage,VNM,ベトナム,118163,MT,22.4,79417200,JPY_1000,22.3,AgriChart_Dummy
2014,Coffee,beverage,GTM,グアテマラ,75289,MT,14.3,51092281,JPY_1000,14.3,AgriChart_Dummy
2014,Coffee,beverage,IDN,インドネシア,54394,MT,10.3,36910403,JPY_1000,10.3,AgriChart_Dummy
2015,Coffee,beverage,BRA,ブラジル,151121,MT,28.0,102031360,JPY_1000,27.9,AgriChart_Dummy
2015,Coffee,beverage,COL,コロンビア,133179,MT,24.7,90561856,JPY_1000,24.8,AgriChart_Dummy
2015,Coffee,beverage,VNM,ベトナム,121260,MT,22.5,81498000,JPY_1000,22.3,AgriChart_Dummy
