year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Corn,grain,USA,アメリカ合衆国,11910992,MT,88.8,942212800,JPY_1000,88.9,AgriChart_Dummy
2010,Corn,grain,BRA,ブラジル,905706,MT,6.8,71516628,JPY_1000,6.7,AgriChart_Dummy
2010,Corn,grain,ARG,アルゼンチン,407540,MT,3.0,32143999,JPY_1000,3.0,AgriChart_Dummy
2010,Corn,grain,UKR,ウクライナ,123332,MT,0.9,9740944,JPY_1000,0.9,AgriChart_Dummy
2010,Corn,grain,RUS,ロシア,60690,MT,0.5,4792145,JPY_1000,0.5,AgriChart_Dummy
2011,Corn,grain,USA,アメリカ合衆国,12123891,MT,88.7,959054080,JPY_1000,88.8,AgriChart_Dummy
2011,Corn,grain,BRA,ブラジル,926847,MT,6.8,73185940,JPY_1000,6.8,AgriChart_Dummy
2011,Corn,grain,ARG,アルゼンチン,419468,MT,3.1,33084800,JPY_1000,3.1,AgriChart_Dummy
2011,Corn,grain,UKR,ウクライナ,127737,MT,0.9,10088838,JPY_1000,0.9,AgriChart_Dummy
2011,Corn,grain,RUS,ロシア,63285,MT,0.5,4997020,JPY_1000,0.5,AgriChart_Dummy
2012,Corn,grain,USA,アメリカ合衆国,12329072,MT,88.7,975284800,JPY_1000,88.7,AgriChart_Dummy
2012,Corn,grain,BRA,ブラジル,947682,MT,6.8,74831148,JPY_1000,6.8,AgriChart_Dummy
2012,Corn,grain,ARG,アルゼンチン,431396,MT,3.1,34025600,JPY_1000,3.1,AgriChart_Dummy
2012,Corn,grain,UKR,ウクライナ,132187,MT,1.0,10440304,JPY_1000,0.9,AgriChart_Dummy
2012,Corn,grain,RUS,ロシア,65926,MT,0.5,5205569,JPY_1000,0.5,AgriChart_Dummy
2013,Corn,grain,USA,アメリカ合衆国,12526534,MT,88.6,990904959,JPY_1000,88.6,AgriChart_Dummy
2013,Corn,grain,BRA,ブラジル,968212,MT,6.8,76452249,JPY_1000,6.8,AgriChart_Dummy
