year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Cotton,fiber,USA,アメリカ合衆国,139554,MT,44.5,74399256,JPY_1000,44.4,AgriChart_Dummy
2010,Cotton,fiber,AUS,オーストラリア,90570,MT,28.9,48532192,JPY_1000,29.0,AgriChart_Dummy
2010,Cotton,fiber,BRA,ブラジル,43542,MT,13.9,23288000,JPY_1000,13.9,AgriChart_Dummy
2010,Cotton,fiber,IND,インド,25687,MT,8.2,13668744,JPY_1000,8.2,AgriChart_Dummy
2010,Cotton,fiber,EGY,エジプト,14346,MT,4.6,7661423,JPY_1000,4.6,AgriChart_Dummy
2011,Cotton,fiber,USA,アメリカ合衆国,142048,MT,44.2,75729081,JPY_1000,44.2,AgriChart_Dummy
2011,Cotton,fiber,AUS,オーストラリア,92684,MT,28.9,49665011,JPY_1000,29.0,AgriChart_Dummy
2011,Cotton,fiber,BRA,ブラジル,44816,MT,14.0,23969600,JPY_1000,14.0,AgriChart_Dummy
2011,Cotton,fiber,IND,インド,26605,MT,8.3,14156918,JPY_1000,8.3,AgriChart_Dummy
2011,Cotton,fiber,EGY,エジプト,14959,MT,4.7,7988966,JPY_1000,4.7,AgriChart_Dummy
2012,Cotton,fiber,USA,アメリカ合衆国,144452,MT,44.0,77010696,JPY_1000,43.9,AgriChart_Dummy
2012,Cotton,fiber,AUS,オーストラリア,94768,MT,28.9,50781472,JPY_1000,28.9,AgriChart_Dummy
2012,Cotton,fiber,BRA,ブラジル,46090,MT,14.0,24651200,JPY_1000,14.1,AgriChart_Dummy
2012,Cotton,fiber,IND,インド,27532,MT,8.4,14650104,JPY_1000,8.4,AgriChart_Dummy
2012,Cotton,fiber,EGY,エジプト,15584,MT,4.7,8322383,JPY_1000,4.7,AgriChart_Dummy
2013,Cotton,fiber,USA,アメリカ合衆国,146766,MT,43.7,78244099,JPY_1000,43.6,AgriChart_Dummy
2013,Cotton,fiber,AUS,オーストラリア,96821,MT,28.8,51881574,JPY_1000,28.9,AgriChart_Dummy
2013,Cotton,fiber,BRA,ブラジル,47365,MT,14.1,25332799,JPY_1000,14.1,AgriChart_Dummy
2013,Cotton,fiber,IND,インド,28468,MT,8.5,15148300,JPY_1000,8.5,AgriChart_Dummy
2013,Cotton,fiber,EGY,エジプト,16219,MT,4.8,8661676,JPY_1000,4.8,AgriChart_Dummy
2014,Cotton,fiber,USA,アメリカ合衆国,148989,MT,43.5,79429291,JPY_1000,43.4,AgriChart_Dummy
2014,Cotton,fiber,AUS,オーストラリア,98843,MT,28.8,52965318,JPY_1000,28.9,AgriChart_Dummy
2014,Cotton,fiber,BRA,ブラジル,48639,MT,14.2,26014399,JPY_1000,14.2,AgriChart_Dummy
2014,Cotton,fiber,IND,インド,29414,MT,8.6,15651508,JPY_1000,8.5,AgriChart_Dummy
2014,Cotton,fiber,EGY,エジプト,16865,MT,4.9,9006844,JPY_1000,4.9,AgriChart_Dummy
2015,Cotton,fiber,USA,アメリカ合衆国,151121,MT,43.2,80566272,JPY_1000,43.1,AgriChart_Dummy
2015,Cotton,fiber,AUS,オーストラリア,100835,MT,28.8,54032704,JPY_1000,28.9,AgriChart_Dummy
2015,Cotton,fiber,BRA,ブラジル,49914,MT,14.3,26696000,JPY_1000,14.3,AgriChart_Dummy
2015,Cotton,fiber,IND,インド,30369,MT,8.7,16159728,JPY_1000,8.7,AgriChart_Dummy
2015,Cotton,fiber,EGY,エジプト,17523,MT,5.0,9357888,JPY_1000,5.0,AgriChart_Dummy
2016,Cotton,fiber,USA,アメリカ合衆国,153164,MT,42.9,81655041,JPY_1000,42.9,AgriChart_Dummy
2016,Cotton,fiber,AUS,オーストラリア,102797,MT,28.8,55083731,JPY_1000,28.9,AgriChart_Dummy
2016,Cotton,fiber,BRA,ブラジル,51188,MT,14.4,27377600,JPY_1000,14.4,AgriChart_Dummy
2016,Cotton,fiber,IND,インド,31333,MT,8.8,16672958,JPY_1000,8.8,AgriChart_Dummy
2016,Cotton,fiber,EGY,エジプト,18191,MT,5.1,9714806,JPY_1000,5.1,AgriChart_Dummy
2017,Cotton,fiber,USA,アメリカ合衆国,155116,MT,42.7,82695600,JPY_1000,42.6,AgriChart_Dummy
2017,Cotton,fiber,AUS,オーストラリア,104728,MT,28.8,56118400,JPY_1000,28.9,AgriChart_Dummy
2017,Cotton,fiber,BRA,ブラジル,52462,MT,14.4,28059200,JPY_1000,14.5,AgriChart_Dummy
2017,Cotton,fiber,IND,インド,32307,MT,8.9,17191200,JPY_1000,8.9,AgriChart_Dummy
2017,Cotton,fiber,EGY,エジプト,18870,MT,5.2,10077600,JPY_1000,5.2,AgriChart_Dummy
2018,Cotton,fiber,USA,アメリカ合衆国,156977,MT,42.4,83687947,JPY_1000,42.3,AgriChart_Dummy
2018,Cotton,fiber,AUS,オーストラリア,106628,MT,28.8,57136710,JPY_1000,28.9,AgriChart_Dummy
2018,Cotton,fiber,BRA,ブラジル,53737,MT,14.5,28740800,JPY_1000,14.5,AgriChart_Dummy
2018,Cotton,fiber,IND,インド,33290,MT,9.0,17714452,JPY_1000,9.0,AgriChart_Dummy
2018,Cotton,fiber,EGY,エジプト,19561,MT,5.3,10446268,JPY_1000,5.3,AgriChart_Dummy
2019,Cotton,fiber,USA,アメリカ合衆国,158748,MT,42.1,84632083,JPY_1000,42.1,AgriChart_Dummy
2019,Cotton,fiber,AUS,オーストラリア,108498,MT,28.8,58138662,JPY_1000,28.9,AgriChart_Dummy
2019,Cotton,fiber,BRA,ブラジル,55011,MT,14.6,29422400,JPY_1000,14.6,AgriChart_Dummy
2019,Cotton,fiber,IND,インド,34283,MT,9.1,18242716,JPY_1000,9.1,AgriChart_Dummy
2019,Cotton,fiber,EGY,エジプト,20262,MT,5.4,10820812,JPY_1000,5.4,AgriChart_Dummy
2020,Cotton,fiber,USA,アメリカ合衆国,160428,MT,41.9,85528008,JPY_1000,41.8,AgriChart_Dummy
2020,Cotton,fiber,AUS,オーストラリア,110337,MT,28.8,59124256,JPY_1000,28.9,AgriChart_Dummy
2020,Cotton,fiber,BRA,ブラジル,56286,MT,14.7,30104000,JPY_1000,14.7,AgriChart_Dummy
2020,Cotton,fiber,IND,インド,35285,MT,9.2,18775992,JPY_1000,9.2,AgriChart_Dummy
2020,Cotton,fiber,EGY,エジプト,20974,MT,5.5,11201232,JPY_1000,5.5,AgriChart_Dummy
2021,Cotton,fiber,USA,アメリカ合衆国,162018,MT,41.6,86375721,JPY_1000,41.5,AgriChart_Dummy
2021,Cotton,fiber,AUS,オーストラリア,112146,MT,28.8,60093491,JPY_1000,28.9,AgriChart_Dummy
2021,Cotton,fiber,BRA,ブラジル,57560,MT,14.8,30785599,JPY_1000,14.8,AgriChart_Dummy
2021,Cotton,fiber,IND,インド,36297,MT,9.3,19314278,JPY_1000,9.3,AgriChart_Dummy
2021,Cotton,fiber,EGY,エジプト,21698,MT,5.6,11587526,JPY_1000,5.6,AgriChart_Dummy
2022,Cotton,fiber,USA,アメリカ合衆国,163518,MT,41.3,87175223,JPY_1000,41.2,AgriChart_Dummy
2022,Cotton,fiber,AUS,オーストラリア,113924,MT,28.8,61046367,JPY_1000,28.9,AgriChart_Dummy
2022,Cotton,fiber,BRA,ブラジル,58834,MT,14.9,31467199,JPY_1000,14.9,AgriChart_Dummy
2022,Cotton,fiber,IND,インド,37318,MT,9.4,19857575,JPY_1000,9.4,AgriChart_Dummy
2022,Cotton,fiber,EGY,エジプト,22432,MT,5.7,11979695,JPY_1000,5.7,AgriChart_Dummy
2023,Cotton,fiber,USA,アメリカ合衆国,164927,MT,41.0,87926515,JPY_1000,40.9,AgriChart_Dummy
2023,Cotton,fiber,AUS,オーストラリア,115672,MT,28.8,61982886,JPY_1000,28.9,AgriChart_Dummy
2023,Cotton,fiber,BRA,ブラジル,60109,MT,14.9,32148799,JPY_1000,15.0,AgriChart_Dummy
2023,Cotton,fiber,IND,インド,38348,MT,9.5,20405884,JPY_1000,9.5,AgriChart_Dummy
2023,Cotton,fiber,EGY,エジプト,23177,MT,5.8,12377740,JPY_1000,5.8,AgriChart_Dummy
2024,Cotton,fiber,USA,アメリカ合衆国,166246,MT,40.7,88629595,JPY_1000,40.6,AgriChart_Dummy
2024,Cotton,fiber,AUS,オーストラリア,117389,MT,28.7,62903046,JPY_1000,28.8,AgriChart_Dummy
2024,Cotton,fiber,BRA,ブラジル,61383,MT,15.0,32830399,JPY_1000,15.1,AgriChart_Dummy
2024,Cotton,fiber,IND,インド,39388,MT,9.6,20959204,JPY_1000,9.6,AgriChart_Dummy
2024,Cotton,fiber,EGY,エジプト,23934,MT,5.9,12781660,JPY_1000,5.9,AgriChart_Dummy
2025,Cotton,fiber,USA,アメリカ合衆国,167475,MT,40.4,89284464,JPY_1000,40.3,AgriChart_Dummy
2025,Cotton,fiber,AUS,オーストラリア,119076,MT,28.7,63806848,JPY_1000,28.8,AgriChart_Dummy
2025,Cotton,fiber,BRA,ブラジル,62658,MT,15.1,33512000,JPY_1000,15.1,AgriChart_Dummy
2025,Cotton,fiber,IND,インド,40438,MT,9.8,21517536,JPY_1000,9.7,AgriChart_Dummy
2025,Cotton,fiber,EGY,エジプト,24701,MT,6.0,13191456,JPY_1000,6.0,AgriChart_Dummy
