year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Salmon,fish,CHL,チリ,215108,MT,59.1,94221280,JPY_1000,59.0,AgriChart_Dummy
2010,Salmon,fish,NOR,ノルウェー,119621,MT,32.9,52633504,JPY_1000,32.9,AgriChart_Dummy
2010,Salmon,fish,RUS,ロシア,15661,MT,4.3,6871600,JPY_1000,4.3,AgriChart_Dummy
2010,Salmon,fish,GBR,英国,8326,MT,2.3,3660709,JPY_1000,2.3,AgriChart_Dummy
2010,Salmon,fish,CAN,カナダ,5423,MT,1.5,2381050,JPY_1000,1.5,AgriChart_Dummy
2011,Salmon,fish,CHL,チリ,218953,MT,58.9,95905408,JPY_1000,58.8,AgriChart_Dummy
2011,Salmon,fish,NOR,ノルウェー,122413,MT,32.9,53862054,JPY_1000,33.0,AgriChart_Dummy
2011,Salmon,fish,RUS,ロシア,16120,MT,4.3,7072720,JPY_1000,4.3,AgriChart_Dummy
2011,Salmon,fish,GBR,英国,8624,MT,2.3,3791450,JPY_1000,2.3,AgriChart_Dummy
2011,Salmon,fish,CAN,カナダ,5654,MT,1.5,2482845,JPY_1000,1.5,AgriChart_Dummy
2012,Salmon,fish,CHL,チリ,222659,MT,58.7,97528480,JPY_1000,58.6,AgriChart_Dummy
2012,Salmon,fish,NOR,ノルウェー,125165,MT,33.0,55072864,JPY_1000,33.1,AgriChart_Dummy
2012,Salmon,fish,RUS,ロシア,16578,MT,4.4,7273840,JPY_1000,4.4,AgriChart_Dummy
2012,Salmon,fish,GBR,英国,8924,MT,2.4,3923533,JPY_1000,2.4,AgriChart_Dummy
2012,Salmon,fish,CAN,カナダ,5890,MT,1.6,2586466,JPY_1000,1.6,AgriChart_Dummy
2013,Salmon,fish,CHL,チリ,226225,MT,58.5,99090495,JPY_1000,58.4,AgriChart_Dummy
2013,Salmon,fish,NOR,ノルウェー,127877,MT,33.1,56265932,JPY_1000,33.2,AgriChart_Dummy
2013,Salmon,fish,RUS,ロシア,17037,MT,4.4,7474959,JPY_1000,4.4,AgriChart_Dummy
2013,Salmon,fish,GBR,英国,9228,MT,2.4,4056958,JPY_1000,2.4,AgriChart_Dummy
2013,Salmon,fish,CAN,カナダ,6131,MT,1.6,2691913,JPY_1000,1.6,AgriChart_Dummy
2014,Salmon,fish,CHL,チリ,229652,MT,58.3,100591455,JPY_1000,58.2,AgriChart_Dummy
2014,Salmon,fish,NOR,ノルウェー,130548,MT,33.2,57441260,JPY_1000,33.3,AgriChart_Dummy
2014,Salmon,fish,RUS,ロシア,17495,MT,4.4,7676079,JPY_1000,4.4,AgriChart_Dummy
2014,Salmon,fish,GBR,英国,9534,MT,2.4,4191725,JPY_1000,2.4,AgriChart_Dummy
2014,Salmon,fish,CAN,カナダ,6375,MT,1.6,2799186,JPY_1000,1.6,AgriChart_Dummy
2015,Salmon,fish,CHL,チリ,232939,MT,58.2,102031360,JPY_1000,58.1,AgriChart_Dummy
2015,Salmon,fish,NOR,ノルウェー,133179,MT,33.2,58598848,JPY_1000,33.3,AgriChart_Dummy
2015,Salmon,fish,RUS,ロシア,17954,MT,4.5,7877200,JPY_1000,4.5,AgriChart_Dummy
2015,Salmon,fish,GBR,英国,9844,MT,2.5,4327835,JPY_1000,2.5,AgriChart_Dummy
2015,Salmon,fish,CAN,カナダ,6623,MT,1.7,2908284,JPY_1000,1.7,AgriChart_Dummy
2016,Salmon,fish,CHL,チリ,236087,MT,58.0,103410208,JPY_1000,57.9,AgriChart_Dummy
2016,Salmon,fish,NOR,ノルウェー,135769,MT,33.3,59738694,JPY_1000,33.4,AgriChart_Dummy
2016,Salmon,fish,RUS,ロシア,18412,MT,4.5,8078320,JPY_1000,4.5,AgriChart_Dummy
2016,Salmon,fish,GBR,英国,10157,MT,2.5,4465286,JPY_1000,2.5,AgriChart_Dummy
2016,Salmon,fish,CAN,カナダ,6876,MT,1.7,3019209,JPY_1000,1.7,AgriChart_Dummy
2017,Salmon,fish,CHL,チリ,239096,MT,57.8,104728000,JPY_1000,57.7,AgriChart_Dummy
2017,Salmon,fish,NOR,ノルウェー,138320,MT,33.4,60860800,JPY_1000,33.5,AgriChart_Dummy
2017,Salmon,fish,RUS,ロシア,18870,MT,4.6,8279440,JPY_1000,4.6,AgriChart_Dummy
2017,Salmon,fish,GBR,英国,10472,MT,2.5,4604080,JPY_1000,2.5,AgriChart_Dummy
2017,Salmon,fish,CAN,カナダ,7133,MT,1.7,3131960,JPY_1000,1.7,AgriChart_Dummy
2018,Salmon,fish,CHL,チリ,241965,MT,57.6,105984736,JPY_1000,57.5,AgriChart_Dummy
2018,Salmon,fish,NOR,ノルウェー,140829,MT,33.5,61965164,JPY_1000,33.6,AgriChart_Dummy
2018,Salmon,fish,RUS,ロシア,19329,MT,4.6,8480560,JPY_1000,4.6,AgriChart_Dummy
2018,Salmon,fish,GBR,英国,10791,MT,2.6,4744215,JPY_1000,2.6,AgriChart_Dummy
2018,Salmon,fish,CAN,カナダ,7394,MT,1.8,3246536,JPY_1000,1.8,AgriChart_Dummy
2019,Salmon,fish,CHL,チリ,244694,MT,57.4,107180416,JPY_1000,57.3,AgriChart_Dummy
2019,Salmon,fish,NOR,ノルウェー,143299,MT,33.6,63051788,JPY_1000,33.7,AgriChart_Dummy
2019,Salmon,fish,RUS,ロシア,19787,MT,4.6,8681680,JPY_1000,4.6,AgriChart_Dummy
2019,Salmon,fish,GBR,英国,11113,MT,2.6,4885693,JPY_1000,2.6,AgriChart_Dummy
2019,Salmon,fish,CAN,カナダ,7659,MT,1.8,3362938,JPY_1000,1.8,AgriChart_Dummy
2020,Salmon,fish,CHL,チリ,247285,MT,57.2,108315040,JPY_1000,57.1,AgriChart_Dummy
2020,Salmon,fish,NOR,ノルウェー,145728,MT,33.7,64120672,JPY_1000,33.8,AgriChart_Dummy
2020,Salmon,fish,RUS,ロシア,20246,MT,4.7,8882800,JPY_1000,4.7,AgriChart_Dummy
