year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Shrimp,fish,VNM,ベトナム,94221,MT,32.3,94221280,JPY_1000,32.3,AgriChart_Dummy
2010,Shrimp,fish,IND,インド,71516,MT,24.5,71516628,JPY_1000,24.5,AgriChart_Dummy
2010,Shrimp,fish,IDN,インドネシア,59368,MT,20.4,59368000,JPY_1000,20.4,AgriChart_Dummy
2010,Shrimp,fish,THA,タイ,41713,MT,14.3,41713236,JPY_1000,14.3,AgriChart_Dummy
2010,Shrimp,fish,ECU,エクアドル,24561,MT,8.4,24561624,JPY_1000,8.4,AgriChart_Dummy
2011,Shrimp,fish,VNM,ベトナム,95905,MT,32.1,95905408,JPY_1000,32.1,AgriChart_Dummy
2011,Shrimp,fish,IND,インド,73185,MT,24.5,73185940,JPY_1000,24.5,AgriChart_Dummy
2011,Shrimp,fish,IDN,インドネシア,61105,MT,20.4,61105600,JPY_1000,20.4,AgriChart_Dummy
2011,Shrimp,fish,THA,タイ,43203,MT,14.4,43203009,JPY_1000,14.4,AgriChart_Dummy
2011,Shrimp,fish,ECU,エクアドル,25611,MT,8.6,25611686,JPY_1000,8.6,AgriChart_Dummy
2012,Shrimp,fish,VNM,ベトナム,97528,MT,31.8,97528480,JPY_1000,31.8,AgriChart_Dummy
2012,Shrimp,fish,IND,インド,74831,MT,24.4,74831148,JPY_1000,24.4,AgriChart_Dummy
2012,Shrimp,fish,IDN,インドネシア,62843,MT,20.5,62843200,JPY_1000,20.5,AgriChart_Dummy
2012,Shrimp,fish,THA,タイ,44708,MT,14.6,44708076,JPY_1000,14.6,AgriChart_Dummy
2012,Shrimp,fish,ECU,エクアドル,26680,MT,8.7,26680584,JPY_1000,8.7,AgriChart_Dummy
2013,Shrimp,fish,VNM,ベトナム,99090,MT,31.5,99090495,JPY_1000,31.5,AgriChart_Dummy
2013,Shrimp,fish,IND,インド,76452,MT,24.3,76452249,JPY_1000,24.3,AgriChart_Dummy
2013,Shrimp,fish,IDN,インドネシア,64580,MT,20.6,64580799,JPY_1000,20.6,AgriChart_Dummy
2013,Shrimp,fish,THA,タイ,46228,MT,14.7,46228435,JPY_1000,14.7,AgriChart_Dummy
2013,Shrimp,fish,ECU,エクアドル,27768,MT,8.8,27768316,JPY_1000,8.8,AgriChart_Dummy
2014,Shrimp,fish,VNM,ベトナム,100591,MT,31.3,100591455,JPY_1000,31.3,AgriChart_Dummy
2014,Shrimp,fish,IND,インド,78049,MT,24.3,78049245,JPY_1000,24.3,AgriChart_Dummy
2014,Shrimp,fish,IDN,インドネシア,66318,MT,20.6,66318399,JPY_1000,20.6,AgriChart_Dummy
2014,Shrimp,fish,THA,タイ,47764,MT,14.9,47764087,JPY_1000,14.9,AgriChart_Dummy
