year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Soybean,bean,USA,アメリカ合衆国,2453308,MT,72.4,215108960,JPY_1000,72.4,AgriChart_Dummy
2010,Soybean,bean,BRA,ブラジル,598962,MT,17.7,52548060,JPY_1000,17.7,AgriChart_Dummy
2010,Soybean,bean,CAN,カナダ,198440,MT,5.9,17384000,JPY_1000,5.9,AgriChart_Dummy
2010,Soybean,bean,CHN,中華人民共和国,83269,MT,2.5,7274285,JPY_1000,2.4,AgriChart_Dummy
2010,Soybean,bean,ARG,アルゼンチン,54230,MT,1.6,4754589,JPY_1000,1.6,AgriChart_Dummy
2011,Soybean,bean,USA,アメリカ合衆国,2497159,MT,72.2,218953856,JPY_1000,72.2,AgriChart_Dummy
2011,Soybean,bean,BRA,ブラジル,612943,MT,17.7,53774616,JPY_1000,17.7,AgriChart_Dummy
2011,Soybean,bean,CAN,カナダ,204248,MT,5.9,17892800,JPY_1000,5.9,AgriChart_Dummy
2011,Soybean,bean,CHN,中華人民共和国,86243,MT,2.5,7534084,JPY_1000,2.5,AgriChart_Dummy
2011,Soybean,bean,ARG,アルゼンチン,56549,MT,1.6,4957858,JPY_1000,1.6,AgriChart_Dummy
2012,Soybean,bean,USA,アメリカ合衆国,2539420,MT,72.1,222659360,JPY_1000,72.1,AgriChart_Dummy
2012,Soybean,bean,BRA,ブラジル,626722,MT,17.8,54983460,JPY_1000,17.8,AgriChart_Dummy
2012,Soybean,bean,CAN,カナダ,210056,MT,6.0,18401600,JPY_1000,6.0,AgriChart_Dummy
2012,Soybean,bean,CHN,中華人民共和国,89247,MT,2.5,7796549,JPY_1000,2.5,AgriChart_Dummy
2012,Soybean,bean,ARG,アルゼンチン,58909,MT,1.7,5164773,JPY_1000,1.7,AgriChart_Dummy
2013,Soybean,bean,USA,アメリカ合衆国,2580092,MT,71.9,226225471,JPY_1000,71.9,AgriChart_Dummy
2013,Soybean,bean,BRA,ブラジル,640299,MT,17.8,56174591,JPY_1000,17.8,AgriChart_Dummy
2013,Soybean,bean,CAN,カナダ,215863,MT,6.0,18910399,JPY_1000,6.0,AgriChart_Dummy
2013,Soybean,bean,CHN,中華人民共和国,92282,MT,2.6,8061681,JPY_1000,2.6,AgriChart_Dummy
2013,Soybean,bean,ARG,アルゼンチン,61311,MT,1.7,5375334,JPY_1000,1.7,AgriChart_Dummy
2014,Soybean,bean,USA,アメリカ合衆国,2619173,MT,71.7,229652191,JPY_1000,71.7,AgriChart_Dummy
2014,Soybean,bean,BRA,ブラジル,653674,MT,17.9,57348011,JPY_1000,17.9,AgriChart_Dummy
2014,Soybean,bean,CAN,カナダ,221671,MT,6.1,19419200,JPY_1000,6.1,AgriChart_Dummy
2014,Soybean,bean,CHN,中華人民共和国,95348,MT,2.6,8329481,JPY_1000,2.6,AgriChart_Dummy
2014,Soybean,bean,ARG,アルゼンチン,63754,MT,1.7,5589541,JPY_1000,1.7,AgriChart_Dummy
2015,Soybean,bean,USA,アメリカ合衆国,2656665,MT,71.5,232939520,JPY_1000,71.5,AgriChart_Dummy
2015,Soybean,bean,BRA,ブラジル,666847,MT,17.9,58503720,JPY_1000,18.0,AgriChart_Dummy
2015,Soybean,bean,CAN,カナダ,227480,MT,6.1,19928000,JPY_1000,6.1,AgriChart_Dummy
2015,Soybean,bean,CHN,中華人民共和国,98444,MT,2.6,8599947,JPY_1000,2.6,AgriChart_Dummy
2015,Soybean,bean,ARG,アルゼンチン,66239,MT,1.8,5807395,JPY_1000,1.8,AgriChart_Dummy
2016,Soybean,bean,USA,アメリカ合衆国,2692567,MT,71.3,236087456,JPY_1000,71.3,AgriChart_Dummy
2016,Soybean,bean,BRA,ブラジル,679818,MT,18.0,59641716,JPY_1000,18.0,AgriChart_Dummy
2016,Soybean,bean,CAN,カナダ,233288,MT,6.2,20436800,JPY_1000,6.2,AgriChart_Dummy
2016,Soybean,bean,CHN,中華人民共和国,101570,MT,2.7,8873080,JPY_1000,2.7,AgriChart_Dummy
2016,Soybean,bean,ARG,アルゼンチン,68765,MT,1.8,6028894,JPY_1000,1.8,AgriChart_Dummy
2017,Soybean,bean,USA,アメリカ合衆国,2726880,MT,71.1,239096000,JPY_1000,71.1,AgriChart_Dummy
2017,Soybean,bean,BRA,ブラジル,692588,MT,18.1,60762000,JPY_1000,18.1,AgriChart_Dummy
2017,Soybean,bean,CAN,カナダ,239096,MT,6.2,20945600,JPY_1000,6.2,AgriChart_Dummy
2017,Soybean,bean,CHN,中華人民共和国,104728,MT,2.7,9148880,JPY_1000,2.7,AgriChart_Dummy
2017,Soybean,bean,ARG,アルゼンチン,71333,MT,1.9,6254040,JPY_1000,1.9,AgriChart_Dummy
2018,Soybean,bean,USA,アメリカ合衆国,2759602,MT,70.9,241965152,JPY_1000,70.9,AgriChart_Dummy
2018,Soybean,bean,BRA,ブラジル,705155,MT,18.1,61864572,JPY_1000,18.1,AgriChart_Dummy
2018,Soybean,bean,CAN,カナダ,244904,MT,6.3,21454400,JPY_1000,6.3,AgriChart_Dummy
2018,Soybean,bean,CHN,中華人民共和国,107915,MT,2.8,9427346,JPY_1000,2.8,AgriChart_Dummy
2018,Soybean,bean,ARG,アルゼンチン,73943,MT,1.9,6482831,JPY_1000,1.9,AgriChart_Dummy
2019,Soybean,bean,USA,アメリカ合衆国,2790735,MT,70.7,244694912,JPY_1000,70.7,AgriChart_Dummy
