year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Wheat,grain,USA,アメリカ合衆国,2453308,MT,54.2,215108960,JPY_1000,54.2,AgriChart_Dummy
2010,Wheat,grain,CAN,カナダ,1435459,MT,31.7,125602680,JPY_1000,31.7,AgriChart_Dummy
2010,Wheat,grain,AUS,オーストラリア,435420,MT,9.6,38212000,JPY_1000,9.6,AgriChart_Dummy
2010,Wheat,grain,UKR,ウクライナ,123332,MT,2.7,10840728,JPY_1000,2.7,AgriChart_Dummy
2010,Wheat,grain,RUS,ロシア,79618,MT,1.8,6955371,JPY_1000,1.8,AgriChart_Dummy
2011,Wheat,grain,USA,アメリカ合衆国,2497159,MT,54.0,218953856,JPY_1000,54.0,AgriChart_Dummy
2011,Wheat,grain,CAN,カナダ,1468965,MT,31.8,128534448,JPY_1000,31.7,AgriChart_Dummy
2011,Wheat,grain,AUS,オーストラリア,448164,MT,9.7,39330400,JPY_1000,9.7,AgriChart_Dummy
2011,Wheat,grain,UKR,ウクライナ,127737,MT,2.8,11227900,JPY_1000,2.8,AgriChart_Dummy
2011,Wheat,grain,RUS,ロシア,83022,MT,1.8,7252728,JPY_1000,1.8,AgriChart_Dummy
2012,Wheat,grain,USA,アメリカ合衆国,2539420,MT,53.8,222659360,JPY_1000,53.8,AgriChart_Dummy
2012,Wheat,grain,CAN,カナダ,1501987,MT,31.8,131423880,JPY_1000,31.8,AgriChart_Dummy
2012,Wheat,grain,AUS,オーストラリア,460908,MT,9.8,40448800,JPY_1000,9.8,AgriChart_Dummy
2012,Wheat,grain,UKR,ウクライナ,132187,MT,2.8,11619048,JPY_1000,2.8,AgriChart_Dummy
2012,Wheat,grain,RUS,ロシア,86487,MT,1.8,7555419,JPY_1000,1.8,AgriChart_Dummy
2013,Wheat,grain,USA,アメリカ合衆国,2580092,MT,53.6,226225471,JPY_1000,53.6,AgriChart_Dummy
2013,Wheat,grain,CAN,カナダ,1534525,MT,31.9,134270976,JPY_1000,31.8,AgriChart_Dummy
2013,Wheat,grain,AUS,オーストラリア,473651,MT,9.8,41567199,JPY_1000,9.9,AgriChart_Dummy
2013,Wheat,grain,UKR,ウクライナ,136682,MT,2.8,12014169,JPY_1000,2.8,AgriChart_Dummy
2013,Wheat,grain,RUS,ロシア,90013,MT,1.9,7863443,JPY_1000,1.9,AgriChart_Dummy
2014,Wheat,grain,USA,アメリカ合衆国,2619173,MT,53.4,229652191,JPY_1000,53.4,AgriChart_Dummy
2014,Wheat,grain,CAN,カナダ,1566579,MT,31.9,137075736,JPY_1000,31.9,AgriChart_Dummy
2014,Wheat,grain,AUS,オーストラリア,486395,MT,9.9,42685600,JPY_1000,9.9,AgriChart_Dummy
2014,Wheat,grain,UKR,ウクライナ,141223,MT,2.9,12413265,JPY_1000,2.9,AgriChart_Dummy
2014,Wheat,grain,RUS,ロシア,93600,MT,1.9,8176802,JPY_1000,1.9,AgriChart_Dummy
2015,Wheat,grain,USA,アメリカ合衆国,2656665,MT,53.2,232939520,JPY_1000,53.2,AgriChart_Dummy
2015,Wheat,grain,CAN,カナダ,1598150,MT,32.0,139838160,JPY_1000,31.9,AgriChart_Dummy
2015,Wheat,grain,AUS,オーストラリア,499140,MT,10.0,43804000,JPY_1000,10.0,AgriChart_Dummy
2015,Wheat,grain,UKR,ウクライナ,145809,MT,2.9,12816336,JPY_1000,2.9,AgriChart_Dummy
2015,Wheat,grain,RUS,ロシア,97248,MT,1.9,8495494,JPY_1000,1.9,AgriChart_Dummy
2016,Wheat,grain,USA,アメリカ合衆国,2692567,MT,53.0,236087456,JPY_1000,53.0,AgriChart_Dummy
2016,Wheat,grain,CAN,カナダ,1629237,MT,32.0,142558248,JPY_1000,32.0,AgriChart_Dummy
2016,Wheat,grain,AUS,オーストラリア,511884,MT,10.1,44922400,JPY_1000,10.1,AgriChart_Dummy
2016,Wheat,grain,UKR,ウクライナ,150439,MT,3.0,13223380,JPY_1000,3.0,AgriChart_Dummy
2016,Wheat,grain,RUS,ロシア,100957,MT,2.0,8819520,JPY_1000,2.0,AgriChart_Dummy
2017,Wheat,grain,USA,アメリカ合衆国,2726880,MT,52.7,239096000,JPY_1000,52.8,AgriChart_Dummy
2017,Wheat,grain,CAN,カナダ,1659840,MT,32.1,145236000,JPY_1000,32.0,AgriChart_Dummy
2017,Wheat,grain,AUS,オーストラリア,524628,MT,10.1,46040800,JPY_1000,10.2,AgriChart_Dummy
2017,Wheat,grain,UKR,ウクライナ,155116,MT,3.0,13634400,JPY_1000,3.0,AgriChart_Dummy
2017,Wheat,grain,RUS,ロシア,104728,MT,2.0,9148880,JPY_1000,2.0,AgriChart_Dummy
