year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Coffee,beverage,BRA,ブラジル,3288856,MT,50.7,2222200000,JPY_1000,50.6,AgriChart_Dummy
2010,Coffee,beverage,VNM,ベトナム,1580714,MT,24.3,1068049999,JPY_1000,24.3,AgriChart_Dummy
2010,Coffee,beverage,COL,コロンビア,697000,MT,10.7,471500000,JPY_1000,10.7,AgriChart_Dummy
2010,Coffee,beverage,IDN,インドネシア,565603,MT,8.7,382567720,JPY_1000,8.7,AgriChart_Dummy
2010,Coffee,beverage,ETH,エチオピア,360537,MT,5.6,243362879,JPY_1000,5.5,AgriChart_Dummy
2011,Coffee,beverage,BRA,ブラジル,3347641,MT,50.4,2261920000,JPY_1000,50.4,AgriChart_Dummy
2011,Coffee,beverage,VNM,ベトナム,1617610,MT,24.3,1092980000,JPY_1000,24.3,AgriChart_Dummy
2011,Coffee,beverage,COL,コロンビア,717400,MT,10.8,485300000,JPY_1000,10.8,AgriChart_Dummy
2011,Coffee,beverage,IDN,インドネシア,585803,MT,8.8,396230992,JPY_1000,8.8,AgriChart_Dummy
2011,Coffee,beverage,ETH,エチオピア,375951,MT,5.7,253767167,JPY_1000,5.7,AgriChart_Dummy
2012,Coffee,beverage,BRA,ブラジル,3404296,MT,50.1,2300200000,JPY_1000,50.1,AgriChart_Dummy
2012,Coffee,beverage,VNM,ベトナム,1653974,MT,24.3,1117550000,JPY_1000,24.3,AgriChart_Dummy
2012,Coffee,beverage,COL,コロンビア,737800,MT,10.9,499100000,JPY_1000,10.9,AgriChart_Dummy
2012,Coffee,beverage,IDN,インドネシア,606211,MT,8.9,410034520,JPY_1000,8.9,AgriChart_Dummy
2012,Coffee,beverage,ETH,エチオピア,391641,MT,5.8,264358079,JPY_1000,5.8,AgriChart_Dummy
2013,Coffee,beverage,BRA,ブラジル,3458819,MT,49.8,2337039999,JPY_1000,49.8,AgriChart_Dummy
2013,Coffee,beverage,VNM,ベトナム,1689804,MT,24.3,1141759999,JPY_1000,24.3,AgriChart_Dummy
2013,Coffee,beverage,COL,コロンビア,758199,MT,10.9,512899999,JPY_1000,10.9,AgriChart_Dummy
2013,Coffee,beverage,IDN,インドネシア,626826,MT,9.0,423978303,JPY_1000,9.0,AgriChart_Dummy
2013,Coffee,beverage,ETH,エチオピア,407608,MT,5.9,275135615,JPY_1000,5.9,AgriChart_Dummy
2014,Coffee,beverage,BRA,ブラジル,3511211,MT,49.5,2372440000,JPY_1000,49.5,AgriChart_Dummy
