year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Corn,grain,USA,アメリカ合衆国,337774400,MT,44.9,33777440000,JPY_1000,44.9,AgriChart_Dummy
2010,Corn,grain,CHN,中華人民共和国,239243200,MT,31.8,23924320000,JPY_1000,31.8,AgriChart_Dummy
2010,Corn,grain,BRA,ブラジル,106600000,MT,14.2,10660000000,JPY_1000,14.2,AgriChart_Dummy
2010,Corn,grain,ARG,アルゼンチン,45562480,MT,6.1,4556248000,JPY_1000,6.1,AgriChart_Dummy
2010,Corn,grain,UKR,ウクライナ,22533600,MT,3.0,2253360000,JPY_1000,3.0,AgriChart_Dummy
2011,Corn,grain,USA,アメリカ合衆国,343811840,MT,44.7,34381184000,JPY_1000,44.7,AgriChart_Dummy
2011,Corn,grain,CHN,中華人民共和国,244827520,MT,31.8,24482752000,JPY_1000,31.8,AgriChart_Dummy
2011,Corn,grain,BRA,ブラジル,109720000,MT,14.3,10972000000,JPY_1000,14.3,AgriChart_Dummy
2011,Corn,grain,ARG,アルゼンチン,47189728,MT,6.1,4718972800,JPY_1000,6.1,AgriChart_Dummy
2011,Corn,grain,UKR,ウクライナ,23496960,MT,3.1,2349696000,JPY_1000,3.1,AgriChart_Dummy
2012,Corn,grain,USA,アメリカ合衆国,349630400,MT,44.5,34963040000,JPY_1000,44.5,AgriChart_Dummy
2012,Corn,grain,CHN,中華人民共和国,250331200,MT,31.8,25033120000,JPY_1000,31.8,AgriChart_Dummy
2012,Corn,grain,BRA,ブラジル,112840000,MT,14.4,11284000000,JPY_1000,14.4,AgriChart_Dummy
2012,Corn,grain,ARG,アルゼンチン,48833680,MT,6.2,4883368000,JPY_1000,6.2,AgriChart_Dummy
2012,Corn,grain,UKR,ウクライナ,24477600,MT,3.1,2447760000,JPY_1000,3.1,AgriChart_Dummy
2013,Corn,grain,USA,アメリカ合衆国,355230079,MT,44.2,35523008000,JPY_1000,44.2,AgriChart_Dummy
2013,Corn,grain,CHN,中華人民共和国,255754239,MT,31.9,25575423999,JPY_1000,31.9,AgriChart_Dummy
2013,Corn,grain,BRA,ブラジル,115959999,MT,14.4,11595999999,JPY_1000,14.4,AgriChart_Dummy
2013,Corn,grain,ARG,アルゼンチン,50494335,MT,6.3,5049433599,JPY_1000,6.3,AgriChart_Dummy
