year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Pork,meat,CHN,中華人民共和国,47999520,MT,57.0,23999760000,JPY_1000,57.0,AgriChart_Dummy
2010,Pork,meat,EU,EU,20506560,MT,24.3,10253280000,JPY_1000,24.3,AgriChart_Dummy
2010,Pork,meat,USA,アメリカ合衆国,10660000,MT,12.7,5330000000,JPY_1000,12.7,AgriChart_Dummy
2010,Pork,meat,BRA,ブラジル,3299352,MT,3.9,1649676000,JPY_1000,3.9,AgriChart_Dummy
2010,Pork,meat,RUS,ロシア,1802687,MT,2.1,901344000,JPY_1000,2.1,AgriChart_Dummy
2011,Pork,meat,CHN,中華人民共和国,48857472,MT,56.7,24428736000,JPY_1000,56.7,AgriChart_Dummy
2011,Pork,meat,EU,EU,20985216,MT,24.4,10492608000,JPY_1000,24.4,AgriChart_Dummy
2011,Pork,meat,USA,アメリカ合衆国,10972000,MT,12.7,5486000000,JPY_1000,12.7,AgriChart_Dummy
2011,Pork,meat,BRA,ブラジル,3417187,MT,4.0,1708593600,JPY_1000,4.0,AgriChart_Dummy
2011,Pork,meat,RUS,ロシア,1879756,MT,2.2,939878399,JPY_1000,2.2,AgriChart_Dummy
2012,Pork,meat,CHN,中華人民共和国,49684320,MT,56.5,24842160000,JPY_1000,56.5,AgriChart_Dummy
2012,Pork,meat,EU,EU,21456960,MT,24.4,10728480000,JPY_1000,24.4,AgriChart_Dummy
2012,Pork,meat,USA,アメリカ合衆国,11284000,MT,12.8,5642000000,JPY_1000,12.8,AgriChart_Dummy
2012,Pork,meat,BRA,ブラジル,3536232,MT,4.0,1768116000,JPY_1000,4.0,AgriChart_Dummy
2012,Pork,meat,RUS,ロシア,1958208,MT,2.2,979104000,JPY_1000,2.2,AgriChart_Dummy
2013,Pork,meat,CHN,中華人民共和国,50480063,MT,56.3,25240031999,JPY_1000,56.3,AgriChart_Dummy
2013,Pork,meat,EU,EU,21921791,MT,24.4,10960895999,JPY_1000,24.4,AgriChart_Dummy
2013,Pork,meat,USA,アメリカ合衆国,11595999,MT,12.9,5797999999,JPY_1000,12.9,AgriChart_Dummy
2013,Pork,meat,BRA,ブラジル,3656486,MT,4.1,1828243199,JPY_1000,4.1,AgriChart_Dummy
2013,Pork,meat,RUS,ロシア,2038041,MT,2.3,1019020799,JPY_1000,2.3,AgriChart_Dummy
2014,Pork,meat,CHN,中華人民共和国,51244703,MT,56.0,25622351999,JPY_1000,56.0,AgriChart_Dummy
2014,Pork,meat,EU,EU,22379712,MT,24.5,11189856000,JPY_1000,24.5,AgriChart_Dummy
2014,Pork,meat,USA,アメリカ合衆国,11907999,MT,13.0,5953999999,JPY_1000,13.0,AgriChart_Dummy
2014,Pork,meat,BRA,ブラジル,3777950,MT,4.1,1888975199,JPY_1000,4.1,AgriChart_Dummy
2014,Pork,meat,RUS,ロシア,2119257,MT,2.3,1059628800,JPY_1000,2.3,AgriChart_Dummy
2015,Pork,meat,CHN,中華人民共和国,51978240,MT,55.8,25989120000,JPY_1000,55.8,AgriChart_Dummy
2015,Pork,meat,EU,EU,22830720,MT,24.5,11415360000,JPY_1000,24.5,AgriChart_Dummy
2015,Pork,meat,USA,アメリカ合衆国,12220000,MT,13.1,6110000000,JPY_1000,13.1,AgriChart_Dummy
2015,Pork,meat,BRA,ブラジル,3900624,MT,4.2,1950312000,JPY_1000,4.2,AgriChart_Dummy
2015,Pork,meat,RUS,ロシア,2201856,MT,2.4,1100928000,JPY_1000,2.4,AgriChart_Dummy
2016,Pork,meat,CHN,中華人民共和国,52680672,MT,55.6,26340336000,JPY_1000,55.6,AgriChart_Dummy
2016,Pork,meat,EU,EU,23274816,MT,24.6,11637408000,JPY_1000,24.6,AgriChart_Dummy
2016,Pork,meat,USA,アメリカ合衆国,12532000,MT,13.2,6266000000,JPY_1000,13.2,AgriChart_Dummy
2016,Pork,meat,BRA,ブラジル,4024507,MT,4.2,2012253600,JPY_1000,4.2,AgriChart_Dummy
2016,Pork,meat,RUS,ロシア,2285836,MT,2.4,1142918400,JPY_1000,2.4,AgriChart_Dummy
2017,Pork,meat,CHN,中華人民共和国,53352000,MT,55.3,26676000000,JPY_1000,55.3,AgriChart_Dummy
2017,Pork,meat,EU,EU,23712000,MT,24.6,11856000000,JPY_1000,24.6,AgriChart_Dummy
2017,Pork,meat,USA,アメリカ合衆国,12844000,MT,13.3,6422000000,JPY_1000,13.3,AgriChart_Dummy
2017,Pork,meat,BRA,ブラジル,4149600,MT,4.3,2074800000,JPY_1000,4.3,AgriChart_Dummy
2017,Pork,meat,RUS,ロシア,2371200,MT,2.5,1185600000,JPY_1000,2.5,AgriChart_Dummy
2018,Pork,meat,CHN,中華人民共和国,53992224,MT,55.1,26996112000,JPY_1000,55.1,AgriChart_Dummy
2018,Pork,meat,EU,EU,24142272,MT,24.6,12071136000,JPY_1000,24.6,AgriChart_Dummy
2018,Pork,meat,USA,アメリカ合衆国,13156000,MT,13.4,6578000000,JPY_1000,13.4,AgriChart_Dummy
2018,Pork,meat,BRA,ブラジル,4275902,MT,4.4,2137951200,JPY_1000,4.4,AgriChart_Dummy
2018,Pork,meat,RUS,ロシア,2457945,MT,2.5,1228972800,JPY_1000,2.5,AgriChart_Dummy
2019,Pork,meat,CHN,中華人民共和国,54601344,MT,54.8,27300672000,JPY_1000,54.8,AgriChart_Dummy
2019,Pork,meat,EU,EU,24565632,MT,24.7,12282816000,JPY_1000,24.7,AgriChart_Dummy
2019,Pork,meat,USA,アメリカ合衆国,13468000,MT,13.5,6734000000,JPY_1000,13.5,AgriChart_Dummy
2019,Pork,meat,BRA,ブラジル,4403414,MT,4.4,2201707200,JPY_1000,4.4,AgriChart_Dummy
2019,Pork,meat,RUS,ロシア,2546073,MT,2.6,1273036800,JPY_1000,2.6,AgriChart_Dummy
2020,Pork,meat,CHN,中華人民共和国,55179360,MT,54.6,27589680000,JPY_1000,54.6,AgriChart_Dummy
2020,Pork,meat,EU,EU,24982080,MT,24.7,12491040000,JPY_1000,24.7,AgriChart_Dummy
2020,Pork,meat,USA,アメリカ合衆国,13780000,MT,13.6,6890000000,JPY_1000,13.6,AgriChart_Dummy
2020,Pork,meat,BRA,ブラジル,4532136,MT,4.5,2266068000,JPY_1000,4.5,AgriChart_Dummy
2020,Pork,meat,RUS,ロシア,2635584,MT,2.6,1317792000,JPY_1000,2.6,AgriChart_Dummy
2021,Pork,meat,CHN,中華人民共和国,55726271,MT,54.3,27863135999,JPY_1000,54.3,AgriChart_Dummy
2021,Pork,meat,EU,EU,25391615,MT,24.7,12695807999,JPY_1000,24.7,AgriChart_Dummy
2021,Pork,meat,USA,アメリカ合衆国,14091999,MT,13.7,7045999999,JPY_1000,13.7,AgriChart_Dummy
2021,Pork,meat,BRA,ブラジル,4662067,MT,4.5,2331033599,JPY_1000,4.5,AgriChart_Dummy
2021,Pork,meat,RUS,ロシア,2726476,MT,2.7,1363238399,JPY_1000,2.7,AgriChart_Dummy
2022,Pork,meat,CHN,中華人民共和国,56242079,MT,54.1,28121039999,JPY_1000,54.1,AgriChart_Dummy
2022,Pork,meat,EU,EU,25794239,MT,24.8,12897119999,JPY_1000,24.8,AgriChart_Dummy
2022,Pork,meat,USA,アメリカ合衆国,14403999,MT,13.8,7201999999,JPY_1000,13.8,AgriChart_Dummy
2022,Pork,meat,BRA,ブラジル,4793207,MT,4.6,2396603999,JPY_1000,4.6,AgriChart_Dummy
2022,Pork,meat,RUS,ロシア,2818751,MT,2.7,1409375999,JPY_1000,2.7,AgriChart_Dummy
2023,Pork,meat,CHN,中華人民共和国,56726783,MT,53.8,28363391999,JPY_1000,53.8,AgriChart_Dummy
2023,Pork,meat,EU,EU,26189951,MT,24.8,13094975999,JPY_1000,24.8,AgriChart_Dummy
2023,Pork,meat,USA,アメリカ合衆国,14715999,MT,14.0,7357999999,JPY_1000,14.0,AgriChart_Dummy
2023,Pork,meat,BRA,ブラジル,4925558,MT,4.7,2462779200,JPY_1000,4.7,AgriChart_Dummy
2023,Pork,meat,RUS,ロシア,2912409,MT,2.8,1456204799,JPY_1000,2.8,AgriChart_Dummy
2024,Pork,meat,CHN,中華人民共和国,57180383,MT,53.5,28590191999,JPY_1000,53.5,AgriChart_Dummy
2024,Pork,meat,EU,EU,26578751,MT,24.9,13289375999,JPY_1000,24.9,AgriChart_Dummy
2024,Pork,meat,USA,アメリカ合衆国,15027999,MT,14.1,7513999999,JPY_1000,14.1,AgriChart_Dummy
2024,Pork,meat,BRA,ブラジル,5059118,MT,4.7,2529559200,JPY_1000,4.7,AgriChart_Dummy
2024,Pork,meat,RUS,ロシア,3007449,MT,2.8,1503724800,JPY_1000,2.8,AgriChart_Dummy
2025,Pork,meat,CHN,中華人民共和国,57602880,MT,53.2,28801440000,JPY_1000,53.2,AgriChart_Dummy
2025,Pork,meat,EU,EU,26960640,MT,24.9,13480320000,JPY_1000,24.9,AgriChart_Dummy
2025,Pork,meat,USA,アメリカ合衆国,15340000,MT,14.2,7670000000,JPY_1000,14.2,AgriChart_Dummy
2025,Pork,meat,BRA,ブラジル,5193888,MT,4.8,2596944000,JPY_1000,4.8,AgriChart_Dummy
2025,Pork,meat,RUS,ロシア,3103872,MT,2.9,1551936000,JPY_1000,2.9,AgriChart_Dummy
