year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Rice,grain,CHN,中華人民共和国,186664800,MT,39.4,3733296000,JPY_1000,39.4,AgriChart_Dummy
2010,Rice,grain,IND,インド,166615800,MT,35.2,3332316000,JPY_1000,35.2,AgriChart_Dummy
2010,Rice,grain,IDN,インドネシア,45100000,MT,9.5,902000000,JPY_1000,9.5,AgriChart_Dummy
2010,Rice,grain,BGD,バングラデシュ,43205800,MT,9.1,864116000,JPY_1000,9.1,AgriChart_Dummy
2010,Rice,grain,VNM,ベトナム,32298160,MT,6.8,645963200,JPY_1000,6.8,AgriChart_Dummy
2011,Rice,grain,CHN,中華人民共和国,190001280,MT,39.1,3800025600,JPY_1000,39.1,AgriChart_Dummy
2011,Rice,grain,IND,インド,170504880,MT,35.1,3410097600,JPY_1000,35.1,AgriChart_Dummy
2011,Rice,grain,IDN,インドネシア,46420000,MT,9.6,928400000,JPY_1000,9.6,AgriChart_Dummy
2011,Rice,grain,BGD,バングラデシュ,44748880,MT,9.2,894977600,JPY_1000,9.2,AgriChart_Dummy
2011,Rice,grain,VNM,ベトナム,33678976,MT,6.9,673579520,JPY_1000,6.9,AgriChart_Dummy
2012,Rice,grain,CHN,中華人民共和国,193216800,MT,38.9,3864336000,JPY_1000,38.9,AgriChart_Dummy
2012,Rice,grain,IND,インド,174337800,MT,35.1,3486756000,JPY_1000,35.1,AgriChart_Dummy
2012,Rice,grain,IDN,インドネシア,47740000,MT,9.6,954800000,JPY_1000,9.6,AgriChart_Dummy
2012,Rice,grain,BGD,バングラデシュ,46307800,MT,9.3,926156000,JPY_1000,9.3,AgriChart_Dummy
2012,Rice,grain,VNM,ベトナム,35084560,MT,7.1,701691200,JPY_1000,7.1,AgriChart_Dummy
2013,Rice,grain,CHN,中華人民共和国,196311359,MT,38.7,3926227199,JPY_1000,38.7,AgriChart_Dummy
2013,Rice,grain,IND,インド,178114559,MT,35.1,3562291199,JPY_1000,35.1,AgriChart_Dummy
2013,Rice,grain,IDN,インドネシア,49059999,MT,9.7,981199999,JPY_1000,9.7,AgriChart_Dummy
2013,Rice,grain,BGD,バングラデシュ,47882559,MT,9.4,957651199,JPY_1000,9.4,AgriChart_Dummy
2013,Rice,grain,VNM,ベトナム,36514911,MT,7.2,730298239,JPY_1000,7.2,AgriChart_Dummy
2014,Rice,grain,CHN,中華人民共和国,199284959,MT,38.4,3985699199,JPY_1000,38.4,AgriChart_Dummy
2014,Rice,grain,IND,インド,181835160,MT,35.0,3636703199,JPY_1000,35.0,AgriChart_Dummy
2014,Rice,grain,IDN,インドネシア,50379999,MT,9.7,1007599999,JPY_1000,9.7,AgriChart_Dummy
2014,Rice,grain,BGD,バングラデシュ,49473159,MT,9.5,989463199,JPY_1000,9.5,AgriChart_Dummy
2014,Rice,grain,VNM,ベトナム,37970032,MT,7.3,759400639,JPY_1000,7.3,AgriChart_Dummy
2015,Rice,grain,CHN,中華人民共和国,202137600,MT,38.1,4042752000,JPY_1000,38.1,AgriChart_Dummy
2015,Rice,grain,IND,インド,185499600,MT,35.0,3709992000,JPY_1000,35.0,AgriChart_Dummy
2015,Rice,grain,IDN,インドネシア,51700000,MT,9.8,1034000000,JPY_1000,9.8,AgriChart_Dummy
