year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Sugarcane,sugar,BRA,ブラジル,666660000,MT,53.5,12177656000,JPY_1000,53.5,AgriChart_Dummy
2010,Sugarcane,sugar,IND,インド,346048200,MT,27.8,6322856000,JPY_1000,27.8,AgriChart_Dummy
2010,Sugarcane,sugar,CHN,中華人民共和国,88560000,MT,7.1,1615400000,JPY_1000,7.1,AgriChart_Dummy
2010,Sugarcane,sugar,THA,タイ,82483800,MT,6.6,1508275200,JPY_1000,6.6,AgriChart_Dummy
2010,Sugarcane,sugar,PAK,パキスタン,62342960,MT,5.0,1141702400,JPY_1000,5.0,AgriChart_Dummy
2011,Sugarcane,sugar,BRA,ブラジル,678576000,MT,53.3,12395321600,JPY_1000,53.2,AgriChart_Dummy
2011,Sugarcane,sugar,IND,インド,354125520,MT,27.8,6470441600,JPY_1000,27.8,AgriChart_Dummy
2011,Sugarcane,sugar,CHN,中華人民共和国,91152000,MT,7.2,1662680000,JPY_1000,7.1,AgriChart_Dummy
2011,Sugarcane,sugar,THA,タイ,85429680,MT,6.7,1562142720,JPY_1000,6.7,AgriChart_Dummy
2011,Sugarcane,sugar,PAK,パキスタン,65008255,MT,5.1,1190512640,JPY_1000,5.1,AgriChart_Dummy
2012,Sugarcane,sugar,BRA,ブラジル,690060000,MT,53.0,12605096000,JPY_1000,53.0,AgriChart_Dummy
2012,Sugarcane,sugar,IND,インド,362086200,MT,27.8,6615896000,JPY_1000,27.8,AgriChart_Dummy
2012,Sugarcane,sugar,CHN,中華人民共和国,93744000,MT,7.2,1709960000,JPY_1000,7.2,AgriChart_Dummy
2012,Sugarcane,sugar,THA,タイ,88405800,MT,6.8,1616563200,JPY_1000,6.8,AgriChart_Dummy
2012,Sugarcane,sugar,PAK,パキスタン,67721360,MT,5.2,1240198400,JPY_1000,5.2,AgriChart_Dummy
2013,Sugarcane,sugar,BRA,ブラジル,701111999,MT,52.7,12806979199,JPY_1000,52.7,AgriChart_Dummy
2013,Sugarcane,sugar,IND,インド,369930239,MT,27.8,6759219199,JPY_1000,27.8,AgriChart_Dummy
2013,Sugarcane,sugar,CHN,中華人民共和国,96335999,MT,7.2,1757239999,JPY_1000,7.2,AgriChart_Dummy
2013,Sugarcane,sugar,THA,タイ,91412159,MT,6.9,1671536639,JPY_1000,6.9,AgriChart_Dummy
2013,Sugarcane,sugar,PAK,パキスタン,70482271,MT,5.3,1290759679,JPY_1000,5.3,AgriChart_Dummy
2014,Sugarcane,sugar,BRA,ブラジル,711732000,MT,52.5,13000971199,JPY_1000,52.5,AgriChart_Dummy
2014,Sugarcane,sugar,IND,インド,377657639,MT,27.8,6900411199,JPY_1000,27.9,AgriChart_Dummy
2014,Sugarcane,sugar,CHN,中華人民共和国,98927999,MT,7.3,1804519999,JPY_1000,7.3,AgriChart_Dummy
