year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Wheat,grain,CHN,中華人民共和国,124443200,MT,34.8,2488864000,JPY_1000,34.8,AgriChart_Dummy
2010,Wheat,grain,IND,インド,93988400,MT,26.3,1879768000,JPY_1000,26.3,AgriChart_Dummy
2010,Wheat,grain,RUS,ロシア,74620000,MT,20.9,1492400000,JPY_1000,20.9,AgriChart_Dummy
2010,Wheat,grain,USA,アメリカ合衆国,38492440,MT,10.8,769848800,JPY_1000,10.8,AgriChart_Dummy
2010,Wheat,grain,FRA,フランス,26289200,MT,7.3,525784000,JPY_1000,7.3,AgriChart_Dummy
2011,Wheat,grain,CHN,中華人民共和国,126667520,MT,34.5,2533350400,JPY_1000,34.5,AgriChart_Dummy
2011,Wheat,grain,IND,インド,96182240,MT,26.2,1923644800,JPY_1000,26.2,AgriChart_Dummy
2011,Wheat,grain,RUS,ロシア,76804000,MT,20.9,1536080000,JPY_1000,20.9,AgriChart_Dummy
2011,Wheat,grain,USA,アメリカ合衆国,39867184,MT,10.9,797343680,JPY_1000,10.9,AgriChart_Dummy
2011,Wheat,grain,FRA,フランス,27413119,MT,7.5,548262400,JPY_1000,7.5,AgriChart_Dummy
2012,Wheat,grain,CHN,中華人民共和国,128811200,MT,34.3,2576224000,JPY_1000,34.3,AgriChart_Dummy
2012,Wheat,grain,IND,インド,98344400,MT,26.2,1966888000,JPY_1000,26.2,AgriChart_Dummy
2012,Wheat,grain,RUS,ロシア,78988000,MT,21.0,1579760000,JPY_1000,21.0,AgriChart_Dummy
2012,Wheat,grain,USA,アメリカ合衆国,41256040,MT,11.0,825120800,JPY_1000,11.0,AgriChart_Dummy
2012,Wheat,grain,FRA,フランス,28557200,MT,7.6,571144000,JPY_1000,7.6,AgriChart_Dummy
2013,Wheat,grain,CHN,中華人民共和国,130874239,MT,34.0,2617484799,JPY_1000,34.0,AgriChart_Dummy
2013,Wheat,grain,IND,インド,100474879,MT,26.1,2009497599,JPY_1000,26.1,AgriChart_Dummy
2013,Wheat,grain,RUS,ロシア,81171999,MT,21.1,1623439999,JPY_1000,21.1,AgriChart_Dummy
2013,Wheat,grain,USA,アメリカ合衆国,42659007,MT,11.1,853180159,JPY_1000,11.1,AgriChart_Dummy
2013,Wheat,grain,FRA,フランス,29721439,MT,7.7,594428799,JPY_1000,7.7,AgriChart_Dummy
2014,Wheat,grain,CHN,中華人民共和国,132856639,MT,33.7,2657132800,JPY_1000,33.7,AgriChart_Dummy
2014,Wheat,grain,IND,インド,102573679,MT,26.0,2051473599,JPY_1000,26.0,AgriChart_Dummy
2014,Wheat,grain,RUS,ロシア,83356000,MT,21.2,1667119999,JPY_1000,21.2,AgriChart_Dummy
2014,Wheat,grain,USA,アメリカ合衆国,44076088,MT,11.2,881521759,JPY_1000,11.2,AgriChart_Dummy
