year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Gold,precious,CHE,スイス,90,MT,30.4,215108960,JPY_1000,34.1,MetalChart_AgriChart_Dummy
2010,Gold,precious,AUS,オーストラリア,69,MT,23.3,143545920,JPY_1000,22.7,MetalChart_AgriChart_Dummy
2010,Gold,precious,CAN,カナダ,61,MT,20.6,122180000,JPY_1000,19.4,MetalChart_AgriChart_Dummy
2010,Gold,precious,ZAF,南アフリカ共和国,43,MT,14.5,87982720,JPY_1000,13.9,MetalChart_AgriChart_Dummy
2010,Gold,precious,PER,ペルー,33,MT,11.1,62342960,JPY_1000,9.9,MetalChart_AgriChart_Dummy
2011,Gold,precious,CHE,スイス,92,MT,30.3,218953856,JPY_1000,33.8,MetalChart_AgriChart_Dummy
2011,Gold,precious,AUS,オーストラリア,70,MT,23.0,146896512,JPY_1000,22.7,MetalChart_AgriChart_Dummy
2011,Gold,precious,CAN,カナダ,63,MT,20.7,125756000,JPY_1000,19.4,MetalChart_AgriChart_Dummy
2011,Gold,precious,ZAF,南アフリカ共和国,44,MT,14.5,91124992,JPY_1000,14.1,MetalChart_AgriChart_Dummy
2011,Gold,precious,PER,ペルー,35,MT,11.5,65008255,JPY_1000,10.0,MetalChart_AgriChart_Dummy
2012,Gold,precious,CHE,スイス,93,MT,29.8,222659360,JPY_1000,33.5,MetalChart_AgriChart_Dummy
2012,Gold,precious,AUS,オーストラリア,72,MT,23.1,150198720,JPY_1000,22.6,MetalChart_AgriChart_Dummy
2012,Gold,precious,CAN,カナダ,65,MT,20.8,129332000,JPY_1000,19.5,MetalChart_AgriChart_Dummy
2012,Gold,precious,ZAF,南アフリカ共和国,46,MT,14.7,94299520,JPY_1000,14.2,MetalChart_AgriChart_Dummy
2012,Gold,precious,PER,ペルー,36,MT,11.5,67721360,JPY_1000,10.2,MetalChart_AgriChart_Dummy
2013,Gold,precious,CHE,スイス,95,MT,29.8,226225471,JPY_1000,33.2,MetalChart_AgriChart_Dummy
2013,Gold,precious,AUS,オーストラリア,73,MT,22.9,153452543,JPY_1000,22.5,MetalChart_AgriChart_Dummy
2013,Gold,precious,CAN,カナダ,66,MT,20.7,132907999,JPY_1000,19.5,MetalChart_AgriChart_Dummy
2013,Gold,precious,ZAF,南アフリカ共和国,47,MT,14.7,97506303,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2013,Gold,precious,PER,ペルー,38,MT,11.9,70482271,JPY_1000,10.4,MetalChart_AgriChart_Dummy
2014,Gold,precious,CHE,スイス,96,MT,29.4,229652191,JPY_1000,33.0,MetalChart_AgriChart_Dummy
2014,Gold,precious,AUS,オーストラリア,75,MT,22.9,156657984,JPY_1000,22.5,MetalChart_AgriChart_Dummy
2014,Gold,precious,CAN,カナダ,68,MT,20.8,136484000,JPY_1000,19.6,MetalChart_AgriChart_Dummy
2014,Gold,precious,ZAF,南アフリカ共和国,49,MT,15.0,100745343,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2014,Gold,precious,PER,ペルー,39,MT,11.9,73290992,JPY_1000,10.5,MetalChart_AgriChart_Dummy
2015,Gold,precious,CHE,スイス,98,MT,29.1,232939520,JPY_1000,32.7,MetalChart_AgriChart_Dummy
2015,Gold,precious,AUS,オーストラリア,77,MT,22.8,159815040,JPY_1000,22.4,MetalChart_AgriChart_Dummy
2015,Gold,precious,CAN,カナダ,70,MT,20.8,140060000,JPY_1000,19.6,MetalChart_AgriChart_Dummy
2015,Gold,precious,ZAF,南アフリカ共和国,51,MT,15.1,104016640,JPY_1000,14.6,MetalChart_AgriChart_Dummy
2015,Gold,precious,PER,ペルー,41,MT,12.2,76147520,JPY_1000,10.7,MetalChart_AgriChart_Dummy
2016,Gold,precious,CHE,スイス,99,MT,28.9,236087456,JPY_1000,32.4,MetalChart_AgriChart_Dummy
2016,Gold,precious,AUS,オーストラリア,78,MT,22.7,162923712,JPY_1000,22.3,MetalChart_AgriChart_Dummy
2016,Gold,precious,CAN,カナダ,72,MT,21.0,143636000,JPY_1000,19.7,MetalChart_AgriChart_Dummy
2016,Gold,precious,ZAF,南アフリカ共和国,52,MT,15.2,107320192,JPY_1000,14.7,MetalChart_AgriChart_Dummy
2016,Gold,precious,PER,ペルー,42,MT,12.2,79051856,JPY_1000,10.8,MetalChart_AgriChart_Dummy
2017,Gold,precious,CHE,スイス,100,MT,28.4,239096000,JPY_1000,32.1,MetalChart_AgriChart_Dummy
2017,Gold,precious,AUS,オーストラリア,80,MT,22.7,165984000,JPY_1000,22.3,MetalChart_AgriChart_Dummy
2017,Gold,precious,CAN,カナダ,74,MT,21.0,147212000,JPY_1000,19.8,MetalChart_AgriChart_Dummy
2017,Gold,precious,ZAF,南アフリカ共和国,54,MT,15.3,110656000,JPY_1000,14.9,MetalChart_AgriChart_Dummy
2017,Gold,precious,PER,ペルー,44,MT,12.5,82004000,JPY_1000,11.0,MetalChart_AgriChart_Dummy
2018,Gold,precious,CHE,スイス,101,MT,28.2,241965152,JPY_1000,31.8,MetalChart_AgriChart_Dummy
2018,Gold,precious,AUS,オーストラリア,81,MT,22.6,168995904,JPY_1000,22.2,MetalChart_AgriChart_Dummy
2018,Gold,precious,CAN,カナダ,75,MT,20.9,150788000,JPY_1000,19.8,MetalChart_AgriChart_Dummy
2018,Gold,precious,ZAF,南アフリカ共和国,55,MT,15.4,114024064,JPY_1000,15.0,MetalChart_AgriChart_Dummy
2018,Gold,precious,PER,ペルー,46,MT,12.8,85003952,JPY_1000,11.2,MetalChart_AgriChart_Dummy
2019,Gold,precious,CHE,スイス,103,MT,28.1,244694912,JPY_1000,31.5,MetalChart_AgriChart_Dummy
2019,Gold,precious,AUS,オーストラリア,82,MT,22.4,171959424,JPY_1000,22.1,MetalChart_AgriChart_Dummy
2019,Gold,precious,CAN,カナダ,77,MT,21.0,154364000,JPY_1000,19.9,MetalChart_AgriChart_Dummy
2019,Gold,precious,ZAF,南アフリカ共和国,57,MT,15.6,117424384,JPY_1000,15.1,MetalChart_AgriChart_Dummy
