year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Nickel,ferrous,IDN,インドネシア,592882,MT,39.9,94221280,JPY_1000,39.7,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,PHL,フィリピン,308452,MT,20.8,49386632,JPY_1000,20.8,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,AUS,オーストラリア,268140,MT,18.0,42886000,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,RUS,ロシア,198746,MT,13.4,31736623,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2010,Nickel,ferrous,NCL,ニューカレドニア（仏）,117925,MT,7.9,18928224,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,IDN,インドネシア,603480,MT,39.6,95905408,JPY_1000,39.4,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,PHL,フィリピン,315652,MT,20.7,50539395,JPY_1000,20.8,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,AUS,オーストラリア,275988,MT,18.1,44141200,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,RUS,ロシア,205844,MT,13.5,32870086,JPY_1000,13.5,MetalChart_AgriChart_Dummy
2011,Nickel,ferrous,NCL,ニューカレドニア（仏）,122967,MT,8.1,19737446,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,IDN,インドネシア,613693,MT,39.3,97528480,JPY_1000,39.1,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,PHL,フィリピン,322748,MT,20.7,51675512,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,AUS,オーストラリア,283836,MT,18.2,45396400,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,RUS,ロシア,213015,MT,13.6,34015184,JPY_1000,13.7,MetalChart_AgriChart_Dummy
2012,Nickel,ferrous,NCL,ニューカレドニア（仏）,128099,MT,8.2,20561184,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,IDN,インドネシア,623522,MT,39.0,99090495,JPY_1000,38.8,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,PHL,フィリピン,329740,MT,20.6,52794982,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,AUS,オーストラリア,291683,MT,18.2,46651599,JPY_1000,18.3,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,RUS,ロシア,220259,MT,13.8,35171916,JPY_1000,13.8,MetalChart_AgriChart_Dummy
2013,Nickel,ferrous,NCL,ニューカレドニア（仏）,133321,MT,8.3,21399436,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,IDN,インドネシア,632966,MT,38.7,100591455,JPY_1000,38.5,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,PHL,フィリピン,336628,MT,20.6,53897806,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,AUS,オーストラリア,299532,MT,18.3,47906799,JPY_1000,18.4,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,RUS,ロシア,227576,MT,13.9,36340284,JPY_1000,13.9,MetalChart_AgriChart_Dummy
2014,Nickel,ferrous,NCL,ニューカレドニア（仏）,138634,MT,8.5,22252204,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,IDN,インドネシア,642027,MT,38.4,102031360,JPY_1000,38.2,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,PHL,フィリピン,343412,MT,20.5,54983984,JPY_1000,20.6,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,AUS,オーストラリア,307380,MT,18.4,49162000,JPY_1000,18.4,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,RUS,ロシア,234966,MT,14.1,37520288,JPY_1000,14.1,MetalChart_AgriChart_Dummy
2015,Nickel,ferrous,NCL,ニューカレドニア（仏）,144038,MT,8.6,23119488,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,IDN,インドネシア,650703,MT,38.1,103410208,JPY_1000,37.9,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,PHL,フィリピン,350092,MT,20.5,56053515,JPY_1000,20.6,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,AUS,オーストラリア,315228,MT,18.5,50417200,JPY_1000,18.5,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,RUS,ロシア,242428,MT,14.2,38711926,JPY_1000,14.2,MetalChart_AgriChart_Dummy
2016,Nickel,ferrous,NCL,ニューカレドニア（仏）,149531,MT,8.8,24001286,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,IDN,インドネシア,658996,MT,37.8,104728000,JPY_1000,37.6,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,PHL,フィリピン,356668,MT,20.5,57106400,JPY_1000,20.5,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,AUS,オーストラリア,323076,MT,18.5,51672400,JPY_1000,18.6,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,RUS,ロシア,249964,MT,14.3,39915200,JPY_1000,14.3,MetalChart_AgriChart_Dummy
2017,Nickel,ferrous,NCL,ニューカレドニア（仏）,155116,MT,8.9,24897600,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,IDN,インドネシア,666903,MT,37.5,105984736,JPY_1000,37.3,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,PHL,フィリピン,363140,MT,20.4,58142638,JPY_1000,20.5,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,AUS,オーストラリア,330924,MT,18.6,52927600,JPY_1000,18.6,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,RUS,ロシア,257572,MT,14.5,41130108,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2018,Nickel,ferrous,NCL,ニューカレドニア（仏）,160790,MT,9.0,25808428,JPY_1000,9.1,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,IDN,インドネシア,674427,MT,37.2,107180416,JPY_1000,37.0,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,PHL,フィリピン,369508,MT,20.4,59162230,JPY_1000,20.4,MetalChart_AgriChart_Dummy
2019,Nickel,ferrous,AUS,オーストラリア,338772,MT,18.7,54182800,JPY_1000,18.7,MetalChart_AgriChart_Dummy
