year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Palladium,precious,RUS,ロシア,62,MT,45.3,139554160,JPY_1000,45.0,MetalChart_AgriChart_Dummy
2010,Palladium,precious,ZAF,南アフリカ共和国,51,MT,37.2,115485520,JPY_1000,37.2,MetalChart_AgriChart_Dummy
2010,Palladium,precious,CAN,カナダ,15,MT,10.9,33555384,JPY_1000,10.8,MetalChart_AgriChart_Dummy
2010,Palladium,precious,USA,アメリカ合衆国,9,MT,6.6,21557144,JPY_1000,7.0,MetalChart_AgriChart_Dummy
2011,Palladium,precious,RUS,ロシア,63,MT,45.0,142048576,JPY_1000,44.7,MetalChart_AgriChart_Dummy
2011,Palladium,precious,ZAF,南アフリカ共和国,52,MT,37.1,118403072,JPY_1000,37.3,MetalChart_AgriChart_Dummy
2011,Palladium,precious,CAN,カナダ,15,MT,10.7,34679622,JPY_1000,10.9,MetalChart_AgriChart_Dummy
2011,Palladium,precious,USA,アメリカ合衆国,10,MT,7.1,22478758,JPY_1000,7.1,MetalChart_AgriChart_Dummy
2012,Palladium,precious,RUS,ロシア,64,MT,44.4,144452560,JPY_1000,44.5,MetalChart_AgriChart_Dummy
2012,Palladium,precious,ZAF,南アフリカ共和国,54,MT,37.5,121294320,JPY_1000,37.3,MetalChart_AgriChart_Dummy
2012,Palladium,precious,CAN,カナダ,16,MT,11.1,35811944,JPY_1000,11.0,MetalChart_AgriChart_Dummy
2012,Palladium,precious,USA,アメリカ合衆国,10,MT,6.9,23416904,JPY_1000,7.2,MetalChart_AgriChart_Dummy
2013,Palladium,precious,RUS,ロシア,65,MT,44.2,146766111,JPY_1000,44.2,MetalChart_AgriChart_Dummy
2013,Palladium,precious,ZAF,南アフリカ共和国,55,MT,37.4,124159263,JPY_1000,37.4,MetalChart_AgriChart_Dummy
2013,Palladium,precious,CAN,カナダ,16,MT,10.9,36952348,JPY_1000,11.1,MetalChart_AgriChart_Dummy
2013,Palladium,precious,USA,アメリカ合衆国,11,MT,7.5,24371580,JPY_1000,7.3,MetalChart_AgriChart_Dummy
2014,Palladium,precious,RUS,ロシア,66,MT,44.0,148989232,JPY_1000,43.9,MetalChart_AgriChart_Dummy
2014,Palladium,precious,ZAF,南アフリカ共和国,56,MT,37.3,126997903,JPY_1000,37.4,MetalChart_AgriChart_Dummy
2014,Palladium,precious,CAN,カナダ,17,MT,11.3,38100836,JPY_1000,11.2,MetalChart_AgriChart_Dummy
2014,Palladium,precious,USA,アメリカ合衆国,11,MT,7.3,25342788,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2015,Palladium,precious,RUS,ロシア,67,MT,44.1,151121920,JPY_1000,43.6,MetalChart_AgriChart_Dummy
2015,Palladium,precious,ZAF,南アフリカ共和国,57,MT,37.5,129810240,JPY_1000,37.5,MetalChart_AgriChart_Dummy
2015,Palladium,precious,CAN,カナダ,17,MT,11.2,39257408,JPY_1000,11.3,MetalChart_AgriChart_Dummy
2015,Palladium,precious,USA,アメリカ合衆国,11,MT,7.2,26330528,JPY_1000,7.6,MetalChart_AgriChart_Dummy
2016,Palladium,precious,RUS,ロシア,68,MT,43.3,153164176,JPY_1000,43.3,MetalChart_AgriChart_Dummy
2016,Palladium,precious,ZAF,南アフリカ共和国,59,MT,37.6,132596272,JPY_1000,37.5,MetalChart_AgriChart_Dummy
2016,Palladium,precious,CAN,カナダ,18,MT,11.5,40422062,JPY_1000,11.4,MetalChart_AgriChart_Dummy
2016,Palladium,precious,USA,アメリカ合衆国,12,MT,7.6,27334798,JPY_1000,7.7,MetalChart_AgriChart_Dummy
2017,Palladium,precious,RUS,ロシア,69,MT,43.4,155116000,JPY_1000,43.0,MetalChart_AgriChart_Dummy
2017,Palladium,precious,ZAF,南アフリカ共和国,60,MT,37.7,135356000,JPY_1000,37.6,MetalChart_AgriChart_Dummy
2017,Palladium,precious,CAN,カナダ,18,MT,11.3,41594800,JPY_1000,11.5,MetalChart_AgriChart_Dummy
2017,Palladium,precious,USA,アメリカ合衆国,12,MT,7.5,28355600,JPY_1000,7.9,MetalChart_AgriChart_Dummy
2018,Palladium,precious,RUS,ロシア,69,MT,42.6,156977392,JPY_1000,42.7,MetalChart_AgriChart_Dummy
2018,Palladium,precious,ZAF,南アフリカ共和国,61,MT,37.7,138089424,JPY_1000,37.6,MetalChart_AgriChart_Dummy
2018,Palladium,precious,CAN,カナダ,19,MT,11.7,42775620,JPY_1000,11.6,MetalChart_AgriChart_Dummy
2018,Palladium,precious,USA,アメリカ合衆国,13,MT,8.0,29392932,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2019,Palladium,precious,RUS,ロシア,70,MT,42.7,158748352,JPY_1000,42.5,MetalChart_AgriChart_Dummy
2019,Palladium,precious,ZAF,南アフリカ共和国,62,MT,37.8,140796544,JPY_1000,37.7,MetalChart_AgriChart_Dummy
2019,Palladium,precious,CAN,カナダ,19,MT,11.6,43964524,JPY_1000,11.8,MetalChart_AgriChart_Dummy
2019,Palladium,precious,USA,アメリカ合衆国,13,MT,7.9,30446796,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2020,Palladium,precious,RUS,ロシア,71,MT,42.3,160428880,JPY_1000,42.2,MetalChart_AgriChart_Dummy
2020,Palladium,precious,ZAF,南アフリカ共和国,63,MT,37.5,143477360,JPY_1000,37.7,MetalChart_AgriChart_Dummy
2020,Palladium,precious,CAN,カナダ,20,MT,11.9,45161512,JPY_1000,11.9,MetalChart_AgriChart_Dummy
2020,Palladium,precious,USA,アメリカ合衆国,14,MT,8.3,31517192,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2021,Palladium,precious,RUS,ロシア,72,MT,42.1,162018975,JPY_1000,41.9,MetalChart_AgriChart_Dummy
2021,Palladium,precious,ZAF,南アフリカ共和国,65,MT,38.0,146131871,JPY_1000,37.7,MetalChart_AgriChart_Dummy
2021,Palladium,precious,CAN,カナダ,20,MT,11.7,46366582,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2021,Palladium,precious,USA,アメリカ合衆国,14,MT,8.2,32604118,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2022,Palladium,precious,RUS,ロシア,72,MT,41.4,163518639,JPY_1000,41.5,MetalChart_AgriChart_Dummy
2022,Palladium,precious,ZAF,南アフリカ共和国,66,MT,37.9,148760079,JPY_1000,37.8,MetalChart_AgriChart_Dummy
2022,Palladium,precious,CAN,カナダ,21,MT,12.1,47579735,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2022,Palladium,precious,USA,アメリカ合衆国,15,MT,8.6,33707576,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2023,Palladium,precious,RUS,ロシア,73,MT,41.2,164927871,JPY_1000,41.2,MetalChart_AgriChart_Dummy
2023,Palladium,precious,ZAF,南アフリカ共和国,67,MT,37.9,151361984,JPY_1000,37.8,MetalChart_AgriChart_Dummy
2023,Palladium,precious,CAN,カナダ,22,MT,12.4,48800972,JPY_1000,12.2,MetalChart_AgriChart_Dummy
2023,Palladium,precious,USA,アメリカ合衆国,15,MT,8.5,34827564,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2024,Palladium,precious,RUS,ロシア,74,MT,41.1,166246672,JPY_1000,40.9,MetalChart_AgriChart_Dummy
2024,Palladium,precious,ZAF,南アフリカ共和国,68,MT,37.8,153937584,JPY_1000,37.9,MetalChart_AgriChart_Dummy
2024,Palladium,precious,CAN,カナダ,22,MT,12.2,50030292,JPY_1000,12.3,MetalChart_AgriChart_Dummy
2024,Palladium,precious,USA,アメリカ合衆国,16,MT,8.9,35964084,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2025,Palladium,precious,RUS,ロシア,74,MT,40.7,167475040,JPY_1000,40.6,MetalChart_AgriChart_Dummy
2025,Palladium,precious,ZAF,南アフリカ共和国,69,MT,37.9,156486880,JPY_1000,38.0,MetalChart_AgriChart_Dummy
