year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Platinum,precious,ZAF,南アフリカ共和国,94,MT,75.2,139554160,JPY_1000,75.3,MetalChart_AgriChart_Dummy
2010,Platinum,precious,RUS,ロシア,16,MT,12.8,23265696,JPY_1000,12.5,MetalChart_AgriChart_Dummy
2010,Platinum,precious,ZWE,ジンバブエ,10,MT,8.0,15064056,JPY_1000,8.1,MetalChart_AgriChart_Dummy
2010,Platinum,precious,CAN,カナダ,5,MT,4.0,7511199,JPY_1000,4.1,MetalChart_AgriChart_Dummy
2011,Platinum,precious,ZAF,南アフリカ共和国,95,MT,75.4,142048576,JPY_1000,75.0,MetalChart_AgriChart_Dummy
2011,Platinum,precious,RUS,ロシア,16,MT,12.7,23853465,JPY_1000,12.6,MetalChart_AgriChart_Dummy
2011,Platinum,precious,ZWE,ジンバブエ,10,MT,7.9,15568761,JPY_1000,8.2,MetalChart_AgriChart_Dummy
2011,Platinum,precious,CAN,カナダ,5,MT,4.0,7832319,JPY_1000,4.1,MetalChart_AgriChart_Dummy
2012,Platinum,precious,ZAF,南アフリカ共和国,97,MT,75.2,144452560,JPY_1000,74.8,MetalChart_AgriChart_Dummy
2012,Platinum,precious,RUS,ロシア,16,MT,12.4,24435936,JPY_1000,12.7,MetalChart_AgriChart_Dummy
2012,Platinum,precious,ZWE,ジンバブエ,11,MT,8.5,16077096,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2012,Platinum,precious,CAN,カナダ,5,MT,3.9,8159200,JPY_1000,4.2,MetalChart_AgriChart_Dummy
2013,Platinum,precious,ZAF,南アフリカ共和国,99,MT,75.0,146766111,JPY_1000,74.6,MetalChart_AgriChart_Dummy
2013,Platinum,precious,RUS,ロシア,17,MT,12.9,25013107,JPY_1000,12.7,MetalChart_AgriChart_Dummy
2013,Platinum,precious,ZWE,ジンバブエ,11,MT,8.3,16589059,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2013,Platinum,precious,CAN,カナダ,5,MT,3.8,8491839,JPY_1000,4.3,MetalChart_AgriChart_Dummy
2014,Platinum,precious,ZAF,南アフリカ共和国,100,MT,74.6,148989232,JPY_1000,74.3,MetalChart_AgriChart_Dummy
2014,Platinum,precious,RUS,ロシア,17,MT,12.7,25584979,JPY_1000,12.8,MetalChart_AgriChart_Dummy
2014,Platinum,precious,ZWE,ジンバブエ,11,MT,8.2,17104651,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2014,Platinum,precious,CAN,カナダ,6,MT,4.5,8830240,JPY_1000,4.4,MetalChart_AgriChart_Dummy
2015,Platinum,precious,ZAF,南アフリカ共和国,102,MT,73.9,151121920,JPY_1000,74.1,MetalChart_AgriChart_Dummy
2015,Platinum,precious,RUS,ロシア,18,MT,13.0,26151552,JPY_1000,12.8,MetalChart_AgriChart_Dummy
2015,Platinum,precious,ZWE,ジンバブエ,12,MT,8.7,17623872,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2015,Platinum,precious,CAN,カナダ,6,MT,4.3,9174400,JPY_1000,4.5,MetalChart_AgriChart_Dummy
2016,Platinum,precious,ZAF,南アフリカ共和国,103,MT,74.1,153164176,JPY_1000,73.8,MetalChart_AgriChart_Dummy
2016,Platinum,precious,RUS,ロシア,18,MT,12.9,26712825,JPY_1000,12.9,MetalChart_AgriChart_Dummy
2016,Platinum,precious,ZWE,ジンバブエ,12,MT,8.6,18146721,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2016,Platinum,precious,CAN,カナダ,6,MT,4.3,9524320,JPY_1000,4.6,MetalChart_AgriChart_Dummy
2017,Platinum,precious,ZAF,南アフリカ共和国,104,MT,74.3,155116000,JPY_1000,73.5,MetalChart_AgriChart_Dummy
2017,Platinum,precious,RUS,ロシア,18,MT,12.9,27268800,JPY_1000,12.9,MetalChart_AgriChart_Dummy
2017,Platinum,precious,ZWE,ジンバブエ,12,MT,8.6,18673200,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2017,Platinum,precious,CAN,カナダ,6,MT,4.3,9880000,JPY_1000,4.7,MetalChart_AgriChart_Dummy
2018,Platinum,precious,ZAF,南アフリカ共和国,105,MT,72.9,156977392,JPY_1000,73.3,MetalChart_AgriChart_Dummy
2018,Platinum,precious,RUS,ロシア,19,MT,13.2,27819475,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2018,Platinum,precious,ZWE,ジンバブエ,13,MT,9.0,19203307,JPY_1000,9.0,MetalChart_AgriChart_Dummy
2018,Platinum,precious,CAN,カナダ,7,MT,4.9,10241440,JPY_1000,4.8,MetalChart_AgriChart_Dummy
2019,Platinum,precious,ZAF,南アフリカ共和国,107,MT,73.3,158748352,JPY_1000,73.0,MetalChart_AgriChart_Dummy
2019,Platinum,precious,RUS,ロシア,19,MT,13.0,28364851,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2019,Platinum,precious,ZWE,ジンバブエ,13,MT,8.9,19737043,JPY_1000,9.1,MetalChart_AgriChart_Dummy
2019,Platinum,precious,CAN,カナダ,7,MT,4.8,10608640,JPY_1000,4.9,MetalChart_AgriChart_Dummy
2020,Platinum,precious,ZAF,南アフリカ共和国,108,MT,73.5,160428880,JPY_1000,72.7,MetalChart_AgriChart_Dummy
2020,Platinum,precious,RUS,ロシア,19,MT,12.9,28904928,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2020,Platinum,precious,ZWE,ジンバブエ,13,MT,8.8,20274408,JPY_1000,9.2,MetalChart_AgriChart_Dummy
2020,Platinum,precious,CAN,カナダ,7,MT,4.8,10981600,JPY_1000,5.0,MetalChart_AgriChart_Dummy
2021,Platinum,precious,ZAF,南アフリカ共和国,109,MT,72.7,162018975,JPY_1000,72.4,MetalChart_AgriChart_Dummy
2021,Platinum,precious,RUS,ロシア,20,MT,13.3,29439705,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2021,Platinum,precious,ZWE,ジンバブエ,14,MT,9.3,20815401,JPY_1000,9.3,MetalChart_AgriChart_Dummy
2021,Platinum,precious,CAN,カナダ,7,MT,4.7,11360319,JPY_1000,5.1,MetalChart_AgriChart_Dummy
2022,Platinum,precious,ZAF,南アフリカ共和国,110,MT,72.4,163518639,JPY_1000,72.2,MetalChart_AgriChart_Dummy
2022,Platinum,precious,RUS,ロシア,20,MT,13.2,29969183,JPY_1000,13.2,MetalChart_AgriChart_Dummy
2022,Platinum,precious,ZWE,ジンバブエ,14,MT,9.2,21360023,JPY_1000,9.4,MetalChart_AgriChart_Dummy
2022,Platinum,precious,CAN,カナダ,8,MT,5.3,11744799,JPY_1000,5.2,MetalChart_AgriChart_Dummy
2023,Platinum,precious,ZAF,南アフリカ共和国,111,MT,72.1,164927871,JPY_1000,71.9,MetalChart_AgriChart_Dummy
2023,Platinum,precious,RUS,ロシア,20,MT,13.0,30493363,JPY_1000,13.3,MetalChart_AgriChart_Dummy
2023,Platinum,precious,ZWE,ジンバブエ,15,MT,9.7,21908275,JPY_1000,9.5,MetalChart_AgriChart_Dummy
2023,Platinum,precious,CAN,カナダ,8,MT,5.2,12135039,JPY_1000,5.3,MetalChart_AgriChart_Dummy
2024,Platinum,precious,ZAF,南アフリカ共和国,112,MT,71.8,166246672,JPY_1000,71.6,MetalChart_AgriChart_Dummy
2024,Platinum,precious,RUS,ロシア,21,MT,13.5,31012243,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2024,Platinum,precious,ZWE,ジンバブエ,15,MT,9.6,22460155,JPY_1000,9.7,MetalChart_AgriChart_Dummy
2024,Platinum,precious,CAN,カナダ,8,MT,5.1,12531040,JPY_1000,5.4,MetalChart_AgriChart_Dummy
2025,Platinum,precious,ZAF,南アフリカ共和国,113,MT,71.5,167475040,JPY_1000,71.3,MetalChart_AgriChart_Dummy
2025,Platinum,precious,RUS,ロシア,21,MT,13.3,31525824,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2025,Platinum,precious,ZWE,ジンバブエ,15,MT,9.5,23015664,JPY_1000,9.8,MetalChart_AgriChart_Dummy
2025,Platinum,precious,CAN,カナダ,9,MT,5.7,12932800,JPY_1000,5.5,MetalChart_AgriChart_Dummy
