year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Tungsten,light,CHN,中華人民共和国,51732,MT,85.9,94221280,JPY_1000,85.9,MetalChart_AgriChart_Dummy
2010,Tungsten,light,VNM,ベトナム,4494,MT,7.5,8202623,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2010,Tungsten,light,RUS,ロシア,1984,MT,3.3,3624400,JPY_1000,3.3,MetalChart_AgriChart_Dummy
2010,Tungsten,light,BOL,ボリビア,1233,MT,2.0,2254557,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2010,Tungsten,light,AUT,オーストリア,766,MT,1.3,1397083,JPY_1000,1.3,MetalChart_AgriChart_Dummy
2011,Tungsten,light,CHN,中華人民共和国,52657,MT,85.8,95905408,JPY_1000,85.8,MetalChart_AgriChart_Dummy
2011,Tungsten,light,VNM,ベトナム,4599,MT,7.5,8394086,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2011,Tungsten,light,RUS,ロシア,2042,MT,3.3,3730480,JPY_1000,3.3,MetalChart_AgriChart_Dummy
2011,Tungsten,light,BOL,ボリビア,1277,MT,2.1,2335077,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2011,Tungsten,light,AUT,オーストリア,798,MT,1.3,1456811,JPY_1000,1.3,MetalChart_AgriChart_Dummy
2012,Tungsten,light,CHN,中華人民共和国,53548,MT,85.7,97528480,JPY_1000,85.6,MetalChart_AgriChart_Dummy
2012,Tungsten,light,VNM,ベトナム,4702,MT,7.5,8582784,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2012,Tungsten,light,RUS,ロシア,2100,MT,3.4,3836560,JPY_1000,3.4,MetalChart_AgriChart_Dummy
2012,Tungsten,light,BOL,ボリビア,1321,MT,2.1,2416425,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2012,Tungsten,light,AUT,オーストリア,832,MT,1.3,1517611,JPY_1000,1.3,MetalChart_AgriChart_Dummy
