year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Zinc,base,PER,ペルー,139554,MT,34.6,94221280,JPY_1000,34.7,MetalChart_AgriChart_Dummy
2010,Zinc,base,AUS,オーストラリア,110222,MT,27.3,74079948,JPY_1000,27.3,MetalChart_AgriChart_Dummy
2010,Zinc,base,USA,アメリカ合衆国,68224,MT,16.9,45838000,JPY_1000,16.9,MetalChart_AgriChart_Dummy
2010,Zinc,base,IND,インド,48076,MT,11.9,32286516,JPY_1000,11.9,MetalChart_AgriChart_Dummy
2010,Zinc,base,MEX,メキシコ,36955,MT,9.2,24786960,JPY_1000,9.1,MetalChart_AgriChart_Dummy
2011,Zinc,base,PER,ペルー,142048,MT,34.4,95905408,JPY_1000,34.5,MetalChart_AgriChart_Dummy
2011,Zinc,base,AUS,オーストラリア,112795,MT,27.3,75809092,JPY_1000,27.3,MetalChart_AgriChart_Dummy
2011,Zinc,base,USA,アメリカ合衆国,70220,MT,17.0,47179600,JPY_1000,17.0,MetalChart_AgriChart_Dummy
2011,Zinc,base,IND,インド,49793,MT,12.0,33439617,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2011,Zinc,base,MEX,メキシコ,38535,MT,9.3,25846656,JPY_1000,9.3,MetalChart_AgriChart_Dummy
2012,Zinc,base,PER,ペルー,144452,MT,34.1,97528480,JPY_1000,34.2,MetalChart_AgriChart_Dummy
2012,Zinc,base,AUS,オーストラリア,115331,MT,27.2,77513268,JPY_1000,27.2,MetalChart_AgriChart_Dummy
2012,Zinc,base,USA,アメリカ合衆国,72217,MT,17.0,48521200,JPY_1000,17.0,MetalChart_AgriChart_Dummy
2012,Zinc,base,IND,インド,51527,MT,12.2,34604556,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2012,Zinc,base,MEX,メキシコ,40143,MT,9.5,26925360,JPY_1000,9.4,MetalChart_AgriChart_Dummy
2013,Zinc,base,PER,ペルー,146766,MT,33.8,99090495,JPY_1000,33.9,MetalChart_AgriChart_Dummy
2013,Zinc,base,AUS,オーストラリア,117829,MT,27.2,79192473,JPY_1000,27.1,MetalChart_AgriChart_Dummy
2013,Zinc,base,USA,アメリカ合衆国,74214,MT,17.1,49862799,JPY_1000,17.1,MetalChart_AgriChart_Dummy
2013,Zinc,base,IND,インド,53280,MT,12.3,35781331,JPY_1000,12.3,MetalChart_AgriChart_Dummy
2013,Zinc,base,MEX,メキシコ,41779,MT,9.6,28023071,JPY_1000,9.6,MetalChart_AgriChart_Dummy
2014,Zinc,base,PER,ペルー,148989,MT,33.6,100591455,JPY_1000,33.7,MetalChart_AgriChart_Dummy
2014,Zinc,base,AUS,オーストラリア,120290,MT,27.1,80846709,JPY_1000,27.1,MetalChart_AgriChart_Dummy
2014,Zinc,base,USA,アメリカ合衆国,76211,MT,17.2,51204399,JPY_1000,17.1,MetalChart_AgriChart_Dummy
2014,Zinc,base,IND,インド,55050,MT,12.4,36969943,JPY_1000,12.4,MetalChart_AgriChart_Dummy
