year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Cobalt,battery,COD,コンゴ民主共和国,115554,MT,86.8,346663200,JPY_1000,86.8,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,IND,インド,2734,MT,2.1,8202623,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,RUS,ロシア,7298,MT,5.5,21894000,JPY_1000,5.5,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,AUS,オーストラリア,4634,MT,3.5,13904412,JPY_1000,3.5,MetalChart_AgriChart_Dummy
2010,Cobalt,battery,CAN,カナダ,2929,MT,2.2,8788104,JPY_1000,2.2,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,COD,コンゴ民主共和国,117619,MT,86.6,352859520,JPY_1000,86.6,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,IND,インド,2798,MT,2.1,8394086,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,RUS,ロシア,7511,MT,5.5,22534800,JPY_1000,5.5,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,AUS,オーストラリア,4800,MT,3.5,14401003,JPY_1000,3.5,MetalChart_AgriChart_Dummy
2011,Cobalt,battery,CAN,カナダ,3054,MT,2.2,9163814,JPY_1000,2.2,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,COD,コンゴ民主共和国,119610,MT,86.5,358831200,JPY_1000,86.5,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,IND,インド,2860,MT,2.1,8582784,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,RUS,ロシア,7725,MT,5.6,23175600,JPY_1000,5.6,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,AUS,オーストラリア,4967,MT,3.6,14902692,JPY_1000,3.6,MetalChart_AgriChart_Dummy
2012,Cobalt,battery,CAN,カナダ,3182,MT,2.3,9546264,JPY_1000,2.3,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,COD,コンゴ民主共和国,121526,MT,86.3,364578239,JPY_1000,86.3,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,IND,インド,2922,MT,2.1,8768716,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,RUS,ロシア,7938,MT,5.6,23816399,JPY_1000,5.6,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,AUS,オーストラリア,5136,MT,3.6,15409478,JPY_1000,3.6,MetalChart_AgriChart_Dummy
2013,Cobalt,battery,CAN,カナダ,3311,MT,2.4,9935452,JPY_1000,2.4,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,COD,コンゴ民主共和国,123366,MT,86.1,370100640,JPY_1000,86.1,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,IND,インド,2983,MT,2.1,8951884,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,RUS,ロシア,8152,MT,5.7,24457199,JPY_1000,5.7,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,AUS,オーストラリア,5307,MT,3.7,15921362,JPY_1000,3.7,MetalChart_AgriChart_Dummy
2014,Cobalt,battery,CAN,カナダ,3443,MT,2.4,10331380,JPY_1000,2.4,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,COD,コンゴ民主共和国,125132,MT,85.9,375398400,JPY_1000,85.9,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,IND,インド,3044,MT,2.1,9132288,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,RUS,ロシア,8366,MT,5.7,25098000,JPY_1000,5.7,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,AUS,オーストラリア,5479,MT,3.8,16438343,JPY_1000,3.8,MetalChart_AgriChart_Dummy
2015,Cobalt,battery,CAN,カナダ,3578,MT,2.5,10734048,JPY_1000,2.5,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,COD,コンゴ民主共和国,126823,MT,85.8,380471520,JPY_1000,85.8,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,IND,インド,3103,MT,2.1,9309926,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,RUS,ロシア,8579,MT,5.8,25738800,JPY_1000,5.8,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,AUS,オーストラリア,5653,MT,3.8,16960423,JPY_1000,3.8,MetalChart_AgriChart_Dummy
2016,Cobalt,battery,CAN,カナダ,3714,MT,2.5,11143454,JPY_1000,2.5,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,COD,コンゴ民主共和国,128440,MT,85.6,385320000,JPY_1000,85.6,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,IND,インド,3161,MT,2.1,9484800,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,RUS,ロシア,8793,MT,5.9,26379600,JPY_1000,5.9,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,AUS,オーストラリア,5829,MT,3.9,17487600,JPY_1000,3.9,MetalChart_AgriChart_Dummy
2017,Cobalt,battery,CAN,カナダ,3853,MT,2.6,11559600,JPY_1000,2.6,MetalChart_AgriChart_Dummy
2018,Cobalt,battery,COD,コンゴ民主共和国,129981,MT,85.4,389943840,JPY_1000,85.4,MetalChart_AgriChart_Dummy
2018,Cobalt,battery,IND,インド,3218,MT,2.1,9656908,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2018,Cobalt,battery,RUS,ロシア,9006,MT,5.9,27020400,JPY_1000,5.9,MetalChart_AgriChart_Dummy
2018,Cobalt,battery,AUS,オーストラリア,6006,MT,3.9,18019874,JPY_1000,3.9,MetalChart_AgriChart_Dummy
2018,Cobalt,battery,CAN,カナダ,3994,MT,2.6,11982484,JPY_1000,2.6,MetalChart_AgriChart_Dummy
2019,Cobalt,battery,COD,コンゴ民主共和国,131447,MT,85.2,394343040,JPY_1000,85.2,MetalChart_AgriChart_Dummy
2019,Cobalt,battery,IND,インド,3275,MT,2.1,9826252,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2019,Cobalt,battery,RUS,ロシア,9220,MT,6.0,27661200,JPY_1000,6.0,MetalChart_AgriChart_Dummy
2019,Cobalt,battery,AUS,オーストラリア,6185,MT,4.0,18557246,JPY_1000,4.0,MetalChart_AgriChart_Dummy
2019,Cobalt,battery,CAN,カナダ,4137,MT,2.7,12412108,JPY_1000,2.7,MetalChart_AgriChart_Dummy
2020,Cobalt,battery,COD,コンゴ民主共和国,132839,MT,85.0,398517600,JPY_1000,85.0,MetalChart_AgriChart_Dummy
2020,Cobalt,battery,IND,インド,3330,MT,2.1,9992832,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2020,Cobalt,battery,RUS,ロシア,9434,MT,6.0,28302000,JPY_1000,6.0,MetalChart_AgriChart_Dummy
2020,Cobalt,battery,AUS,オーストラリア,6366,MT,4.1,19099716,JPY_1000,4.1,MetalChart_AgriChart_Dummy
2020,Cobalt,battery,CAN,カナダ,4282,MT,2.7,12848472,JPY_1000,2.7,MetalChart_AgriChart_Dummy
2021,Cobalt,battery,COD,コンゴ民主共和国,134155,MT,84.8,402467519,JPY_1000,84.8,MetalChart_AgriChart_Dummy
2021,Cobalt,battery,IND,インド,3385,MT,2.1,10156646,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2021,Cobalt,battery,RUS,ロシア,9647,MT,6.1,28942799,JPY_1000,6.1,MetalChart_AgriChart_Dummy
2021,Cobalt,battery,AUS,オーストラリア,6549,MT,4.1,19647283,JPY_1000,4.1,MetalChart_AgriChart_Dummy
2021,Cobalt,battery,CAN,カナダ,4430,MT,2.8,13291574,JPY_1000,2.8,MetalChart_AgriChart_Dummy
2022,Cobalt,battery,COD,コンゴ民主共和国,135397,MT,84.6,406192799,JPY_1000,84.6,MetalChart_AgriChart_Dummy
2022,Cobalt,battery,IND,インド,3439,MT,2.1,10317695,JPY_1000,2.1,MetalChart_AgriChart_Dummy
2022,Cobalt,battery,RUS,ロシア,9861,MT,6.2,29583599,JPY_1000,6.2,MetalChart_AgriChart_Dummy
2022,Cobalt,battery,AUS,オーストラリア,6733,MT,4.2,20199947,JPY_1000,4.2,MetalChart_AgriChart_Dummy
2022,Cobalt,battery,CAN,カナダ,4580,MT,2.9,13741415,JPY_1000,2.9,MetalChart_AgriChart_Dummy
2023,Cobalt,battery,COD,コンゴ民主共和国,136564,MT,84.4,409693439,JPY_1000,84.4,MetalChart_AgriChart_Dummy
2023,Cobalt,battery,IND,インド,3491,MT,2.2,10475980,JPY_1000,2.2,MetalChart_AgriChart_Dummy
2023,Cobalt,battery,RUS,ロシア,10074,MT,6.2,30224399,JPY_1000,6.2,MetalChart_AgriChart_Dummy
2023,Cobalt,battery,AUS,オーストラリア,6919,MT,4.3,20757710,JPY_1000,4.3,MetalChart_AgriChart_Dummy
2023,Cobalt,battery,CAN,カナダ,4732,MT,2.9,14197996,JPY_1000,2.9,MetalChart_AgriChart_Dummy
2024,Cobalt,battery,COD,コンゴ民主共和国,137656,MT,84.2,412969439,JPY_1000,84.2,MetalChart_AgriChart_Dummy
2024,Cobalt,battery,IND,インド,3543,MT,2.2,10631500,JPY_1000,2.2,MetalChart_AgriChart_Dummy
2024,Cobalt,battery,RUS,ロシア,10288,MT,6.3,30865199,JPY_1000,6.3,MetalChart_AgriChart_Dummy
2024,Cobalt,battery,AUS,オーストラリア,7106,MT,4.3,21320570,JPY_1000,4.3,MetalChart_AgriChart_Dummy
2024,Cobalt,battery,CAN,カナダ,4887,MT,3.0,14661316,JPY_1000,3.0,MetalChart_AgriChart_Dummy
2025,Cobalt,battery,COD,コンゴ民主共和国,138673,MT,84.0,416020800,JPY_1000,84.0,MetalChart_AgriChart_Dummy
2025,Cobalt,battery,IND,インド,3594,MT,2.2,10784256,JPY_1000,2.2,MetalChart_AgriChart_Dummy
2025,Cobalt,battery,RUS,ロシア,10502,MT,6.4,31506000,JPY_1000,6.4,MetalChart_AgriChart_Dummy
2025,Cobalt,battery,AUS,オーストラリア,7296,MT,4.4,21888528,JPY_1000,4.4,MetalChart_AgriChart_Dummy
2025,Cobalt,battery,CAN,カナダ,5043,MT,3.1,15131376,JPY_1000,3.1,MetalChart_AgriChart_Dummy
