year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Iron,ferrous,AUS,オーストラリア,799992000,MT,45.9,79999200000,JPY_1000,45.9,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,BRA,ブラジル,350320400,MT,20.1,35032040000,JPY_1000,20.1,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,CHN,中華人民共和国,311600000,MT,17.9,31160000000,JPY_1000,17.9,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,IND,インド,204245600,MT,11.7,20424560000,JPY_1000,11.7,MetalChart_AgriChart_Dummy
2010,Iron,ferrous,RUS,ロシア,75112000,MT,4.3,7511199999,JPY_1000,4.3,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,AUS,オーストラリア,814291200,MT,45.7,81429120000,JPY_1000,45.7,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,BRA,ブラジル,358497440,MT,20.1,35849744000,JPY_1000,20.1,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,CHN,中華人民共和国,320720000,MT,18.0,32072000000,JPY_1000,18.0,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,IND,インド,211540160,MT,11.9,21154016000,JPY_1000,11.9,MetalChart_AgriChart_Dummy
2011,Iron,ferrous,RUS,ロシア,78323200,MT,4.4,7832319999,JPY_1000,4.4,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,AUS,オーストラリア,828072000,MT,45.4,82807200000,JPY_1000,45.4,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,BRA,ブラジル,366556400,MT,20.1,36655640000,JPY_1000,20.1,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,CHN,中華人民共和国,329840000,MT,18.1,32984000000,JPY_1000,18.1,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,IND,インド,218909600,MT,12.0,21890960000,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2012,Iron,ferrous,RUS,ロシア,81592000,MT,4.5,8159200000,JPY_1000,4.5,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,AUS,オーストラリア,841334399,MT,45.1,84133439999,JPY_1000,45.1,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,BRA,ブラジル,374497279,MT,20.1,37449727999,JPY_1000,20.1,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,CHN,中華人民共和国,338959999,MT,18.2,33895999999,JPY_1000,18.2,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,IND,インド,226353919,MT,12.1,22635391999,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2013,Iron,ferrous,RUS,ロシア,84918399,MT,4.6,8491839999,JPY_1000,4.6,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,AUS,オーストラリア,854078399,MT,44.8,85407840000,JPY_1000,44.8,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,BRA,ブラジル,382320079,MT,20.1,38232008000,JPY_1000,20.1,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,CHN,中華人民共和国,348080000,MT,18.3,34808000000,JPY_1000,18.3,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,IND,インド,233873119,MT,12.3,23387311999,JPY_1000,12.3,MetalChart_AgriChart_Dummy
2014,Iron,ferrous,RUS,ロシア,88302399,MT,4.6,8830240000,JPY_1000,4.6,MetalChart_AgriChart_Dummy
