year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Lead,base,CHN,中華人民共和国,1866648,MT,63.0,746659200,JPY_1000,63.0,MetalChart_AgriChart_Dummy
2010,Lead,base,AUS,オーストラリア,427220,MT,14.4,170888000,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2010,Lead,base,USA,アメリカ合衆国,245999,MT,8.3,98400000,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2010,Lead,base,PER,ペルー,243523,MT,8.2,97409440,JPY_1000,8.2,MetalChart_AgriChart_Dummy
2010,Lead,base,MEX,メキシコ,180268,MT,6.1,72107520,JPY_1000,6.1,MetalChart_AgriChart_Dummy
2011,Lead,base,CHN,中華人民共和国,1900012,MT,62.7,760005120,JPY_1000,62.7,MetalChart_AgriChart_Dummy
2011,Lead,base,AUS,オーストラリア,437192,MT,14.4,174876800,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2011,Lead,base,USA,アメリカ合衆国,253200,MT,8.4,101280000,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2011,Lead,base,PER,ペルー,252220,MT,8.3,100888384,JPY_1000,8.3,MetalChart_AgriChart_Dummy
2011,Lead,base,MEX,メキシコ,187975,MT,6.2,75190272,JPY_1000,6.2,MetalChart_AgriChart_Dummy
2012,Lead,base,CHN,中華人民共和国,1932168,MT,62.4,772867200,JPY_1000,62.4,MetalChart_AgriChart_Dummy
2012,Lead,base,AUS,オーストラリア,447020,MT,14.4,178808000,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2012,Lead,base,USA,アメリカ合衆国,260400,MT,8.4,104160000,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2012,Lead,base,PER,ペルー,261007,MT,8.4,104403040,JPY_1000,8.4,MetalChart_AgriChart_Dummy
2012,Lead,base,MEX,メキシコ,195820,MT,6.3,78328320,JPY_1000,6.3,MetalChart_AgriChart_Dummy
2013,Lead,base,CHN,中華人民共和国,1963113,MT,62.1,785245439,JPY_1000,62.1,MetalChart_AgriChart_Dummy
2013,Lead,base,AUS,オーストラリア,456703,MT,14.4,182681599,JPY_1000,14.4,MetalChart_AgriChart_Dummy
2013,Lead,base,USA,アメリカ合衆国,267600,MT,8.5,107039999,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2013,Lead,base,PER,ペルー,269883,MT,8.5,107953407,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2013,Lead,base,MEX,メキシコ,203804,MT,6.4,81521663,JPY_1000,6.4,MetalChart_AgriChart_Dummy
2014,Lead,base,CHN,中華人民共和国,1992849,MT,61.8,797139839,JPY_1000,61.8,MetalChart_AgriChart_Dummy
2014,Lead,base,AUS,オーストラリア,466243,MT,14.5,186497599,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2014,Lead,base,USA,アメリカ合衆国,274800,MT,8.5,109919999,JPY_1000,8.5,MetalChart_AgriChart_Dummy
2014,Lead,base,PER,ペルー,278848,MT,8.6,111539487,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2014,Lead,base,MEX,メキシコ,211925,MT,6.6,84770304,JPY_1000,6.6,MetalChart_AgriChart_Dummy
2015,Lead,base,CHN,中華人民共和国,2021376,MT,61.5,808550400,JPY_1000,61.5,MetalChart_AgriChart_Dummy
2015,Lead,base,AUS,オーストラリア,475640,MT,14.5,190256000,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2015,Lead,base,USA,アメリカ合衆国,282000,MT,8.6,112800000,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2015,Lead,base,PER,ペルー,287903,MT,8.8,115161280,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2015,Lead,base,MEX,メキシコ,220185,MT,6.7,88074240,JPY_1000,6.7,MetalChart_AgriChart_Dummy
2016,Lead,base,CHN,中華人民共和国,2048692,MT,61.2,819477120,JPY_1000,61.2,MetalChart_AgriChart_Dummy
2016,Lead,base,AUS,オーストラリア,484892,MT,14.5,193956800,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2016,Lead,base,USA,アメリカ合衆国,289200,MT,8.6,115680000,JPY_1000,8.6,MetalChart_AgriChart_Dummy
2016,Lead,base,PER,ペルー,297046,MT,8.9,118818784,JPY_1000,8.9,MetalChart_AgriChart_Dummy
2016,Lead,base,MEX,メキシコ,228583,MT,6.8,91433472,JPY_1000,6.8,MetalChart_AgriChart_Dummy
2017,Lead,base,CHN,中華人民共和国,2074800,MT,60.9,829920000,JPY_1000,60.9,MetalChart_AgriChart_Dummy
2017,Lead,base,AUS,オーストラリア,494000,MT,14.5,197600000,JPY_1000,14.5,MetalChart_AgriChart_Dummy
2017,Lead,base,USA,アメリカ合衆国,296400,MT,8.7,118560000,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2017,Lead,base,PER,ペルー,306280,MT,9.0,122512000,JPY_1000,9.0,MetalChart_AgriChart_Dummy
